Year,Municipality,Godine,UNIT_MEASURE,Spol,Value
2013,Jajce,Total,Broj,Žene,13402
2013,Jezero,Total,Broj,Oba spola,1144
2013,Jezero,Total,Broj,Muškarci,601
2013,Jezero,Total,Broj,Žene,543
2013,Kakanj,Total,Broj,Oba spola,37441
2013,Kakanj,Total,Broj,Muškarci,18651
2013,Kakanj,Total,Broj,Žene,18790
2013,Kalesija,Total,Broj,Oba spola,33053
2013,Kalesija,Total,Broj,Muškarci,16597
2013,Kalesija,Total,Broj,Žene,16456
2013,Kalinovik,Total,Broj,Oba spola,2029
2013,Kalinovik,Total,Broj,Muškarci,987
2013,Kalinovik,Total,Broj,Žene,1042
2013,Kiseljak,Total,Broj,Oba spola,20722
2013,Kiseljak,Total,Broj,Muškarci,10285
2013,Kiseljak,Total,Broj,Žene,10437
2013,Kladanj,Total,Broj,Oba spola,12348
2013,Kladanj,Total,Broj,Muškarci,6108
2013,Kladanj,Total,Broj,Žene,6240
2013,Ključ,Total,Broj,Oba spola,16744
2013,Ključ,Total,Broj,Muškarci,8365
2013,Ključ,Total,Broj,Žene,8379
2013,Kneževo,Total,Broj,Oba spola,9793
2013,Kneževo,Total,Broj,Muškarci,4892
2013,Kneževo,Total,Broj,Žene,4901
2013,Konjic,Total,Broj,Oba spola,25148
2013,Konjic,Total,Broj,Muškarci,12360
2013,Konjic,Total,Broj,Žene,12788
2013,Kostajnica,Total,Broj,Oba spola,5977
2013,Kostajnica,Total,Broj,Muškarci,2967
2013,Kostajnica,Total,Broj,Žene,3010
2013,Kotor Varoš,Total,Broj,Oba spola,19710
2013,Kotor Varoš,Total,Broj,Muškarci,9818
2013,Kotor Varoš,Total,Broj,Žene,9892
2013,Kozarska Dubica,Total,Broj,Oba spola,21524
2013,Kozarska Dubica,Total,Broj,Muškarci,10516
2013,Kozarska Dubica,Total,Broj,Žene,11008
2013,Kreševo,Total,Broj,Oba spola,5273
2013,Kreševo,Total,Broj,Muškarci,2597
2013,Kreševo,Total,Broj,Žene,2676
2013,Krupa Na Uni,Total,Broj,Oba spola,1597
2013,Krupa Na Uni,Total,Broj,Muškarci,862
2013,Krupa Na Uni,Total,Broj,Žene,735
2013,Kupres - FBiH,Total,Broj,Oba spola,5057
2013,Kupres - FBiH,Total,Broj,Muškarci,2541
2013,Kupres - FBiH,Total,Broj,Žene,2516
2013,Kupres - RS,Total,Broj,Oba spola,300
2013,Kupres - RS,Total,Broj,Muškarci,160
2013,Kupres - RS,Total,Broj,Žene,140
2013,Laktaši,Total,Broj,Oba spola,34966
2013,Laktaši,Total,Broj,Muškarci,17320
2013,Laktaši,Total,Broj,Žene,17646
2013,Livno,Total,Broj,Oba spola,34133
2013,Livno,Total,Broj,Muškarci,17024
2013,Livno,Total,Broj,Žene,17109
2013,Lopare,Total,Broj,Oba spola,15357
2013,Lopare,Total,Broj,Muškarci,7749
2013,Lopare,Total,Broj,Žene,7608
2013,Lukavac,Total,Broj,Oba spola,44520
2013,Lukavac,Total,Broj,Muškarci,21786
2013,Lukavac,Total,Broj,Žene,22734
2013,Ljubinje,Total,Broj,Oba spola,3511
2013,Ljubinje,Total,Broj,Muškarci,1725
2013,Ljubinje,Total,Broj,Žene,1786
2013,Ljubuški,Total,Broj,Oba spola,28184
2013,Ljubuški,Total,Broj,Muškarci,14022
2013,Ljubuški,Total,Broj,Žene,14162
2013,Maglaj,Total,Broj,Oba spola,23146
2013,Maglaj,Total,Broj,Muškarci,11430
2013,Maglaj,Total,Broj,Žene,11716
2013,Milići,Total,Broj,Oba spola,11441
2013,Milići,Total,Broj,Muškarci,5798
2013,Milići,Total,Broj,Žene,5643
2013,Modriča,Total,Broj,Oba spola,25720
2013,Modriča,Total,Broj,Muškarci,12561
2013,Modriča,Total,Broj,Žene,13159
2013,Mostar,Total,Broj,Oba spola,105797
2013,Mostar,Total,Broj,Muškarci,51210
2013,Mostar,Total,Broj,Žene,54587
2013,Mrkonjić Grad,Total,Broj,Oba spola,16671
2013,Mrkonjić Grad,Total,Broj,Muškarci,8096
2013,Mrkonjić Grad,Total,Broj,Žene,8575
2013,Neum,Total,Broj,Oba spola,4653
2013,Neum,Total,Broj,Muškarci,2344
2013,Neum,Total,Broj,Žene,2309
2013,Nevesinje,Total,Broj,Oba spola,12961
2013,Nevesinje,Total,Broj,Muškarci,6462
2013,Nevesinje,Total,Broj,Žene,6499
2013,Novi Grad,Total,Broj,Oba spola,27115
2013,Novi Grad,Total,Broj,Muškarci,13594
2013,Novi Grad,Total,Broj,Žene,13521
2013,Sarajevo - Novi Grad,Total,Broj,Oba spola,118553
2013,Sarajevo - Novi Grad,Total,Broj,Muškarci,55735
2013,Sarajevo - Novi Grad,Total,Broj,Žene,62818
2013,Novi Travnik,Total,Broj,Oba spola,23832
2013,Novi Travnik,Total,Broj,Muškarci,11862
2013,Novi Travnik,Total,Broj,Žene,11970
2013,Novo Goražde,Total,Broj,Oba spola,3117
2013,Novo Goražde,Total,Broj,Muškarci,1618
2013,Novo Goražde,Total,Broj,Žene,1499
2013,Sarajevo - Novo Sarajevo,Total,Broj,Oba spola,64814
2013,Sarajevo - Novo Sarajevo,Total,Broj,Muškarci,29580
2013,Sarajevo - Novo Sarajevo,Total,Broj,Žene,35234
2013,Odžak,Total,Broj,Oba spola,18821
2013,Odžak,Total,Broj,Muškarci,9373
2013,Odžak,Total,Broj,Žene,9448
2013,Olovo,Total,Broj,Oba spola,10175
2013,Olovo,Total,Broj,Muškarci,5084
2013,Olovo,Total,Broj,Žene,5091
2013,Orašje,Total,Broj,Oba spola,19861
2013,Orašje,Total,Broj,Muškarci,10059
2013,Orašje,Total,Broj,Žene,9802
2013,Osmaci,Total,Broj,Oba spola,6016
2013,Osmaci,Total,Broj,Muškarci,3065
2013,Osmaci,Total,Broj,Žene,2951
2013,Oštra Luka,Total,Broj,Oba spola,2786
2013,Oštra Luka,Total,Broj,Muškarci,1440
2013,Oštra Luka,Total,Broj,Žene,1346
2013,Pale - FBiH,Total,Broj,Oba spola,904
2013,Pale - FBiH,Total,Broj,Muškarci,456
2013,Pale - FBiH,Total,Broj,Žene,448
2013,Pale - RS,Total,Broj,Oba spola,20909
2013,Pale - RS,Total,Broj,Muškarci,10038
2013,Pale - RS,Total,Broj,Žene,10871
2013,Pelagićevo,Total,Broj,Oba spola,5220
2013,Pelagićevo,Total,Broj,Muškarci,2609
2013,Pelagićevo,Total,Broj,Žene,2611
2013,Petrovac,Total,Broj,Oba spola,361
2013,Petrovac,Total,Broj,Muškarci,172
2013,Petrovac,Total,Broj,Žene,189
2013,Petrovo,Total,Broj,Oba spola,6474
2013,Petrovo,Total,Broj,Muškarci,3124
2013,Petrovo,Total,Broj,Žene,3350
2013,Posušje,Total,Broj,Oba spola,20477
2013,Posušje,Total,Broj,Muškarci,10287
2013,Posušje,Total,Broj,Žene,10190
2013,Prijedor,Total,Broj,Oba spola,89397
2013,Prijedor,Total,Broj,Muškarci,43863
2013,Prijedor,Total,Broj,Žene,45534
2013,Prnjavor,Total,Broj,Oba spola,35956
2013,Prnjavor,Total,Broj,Muškarci,17572
2013,Prnjavor,Total,Broj,Žene,18384
2013,Prozor,Total,Broj,Oba spola,14280
2013,Prozor,Total,Broj,Muškarci,7210
2013,Prozor,Total,Broj,Žene,7070
2013,Ravno,Total,Broj,Oba spola,3219
2013,Ravno,Total,Broj,Muškarci,1657
2013,Ravno,Total,Broj,Žene,1562
2013,Ribnik,Total,Broj,Oba spola,6048
2013,Ribnik,Total,Broj,Muškarci,3009
2013,Ribnik,Total,Broj,Žene,3039
2013,Rogatica,Total,Broj,Oba spola,10723
2013,Rogatica,Total,Broj,Muškarci,5270
