Year,UNIT_MEASURE,Sex,Age,Value
1991,Number,Both sexes,29,71862
1991,Number,Both sexes,30,71702
1991,Number,Both sexes,31,68913
1991,Number,Both sexes,32,70992
1991,Number,Both sexes,33,65886
1991,Number,Both sexes,34,65769
1991,Number,Both sexes,35,64904
1991,Number,Both sexes,36,68679
1991,Number,Both sexes,37,60518
1991,Number,Both sexes,38,66180
1991,Number,Both sexes,39,50627
1991,Number,Both sexes,40,54989
1991,Number,Both sexes,41,54080
1991,Number,Both sexes,42,47761
1991,Number,Both sexes,43,44484
1991,Number,Both sexes,44,47685
1991,Number,Both sexes,45,34566
1991,Number,Both sexes,46,34330
1991,Number,Both sexes,47,35315
1991,Number,Both sexes,48,37144
1991,Number,Both sexes,49,42966
1991,Number,Both sexes,50,47496
1991,Number,Both sexes,51,49238
1991,Number,Both sexes,52,47272
1991,Number,Both sexes,53,49628
1991,Number,Both sexes,54,49149
1991,Number,Both sexes,55,49502
1991,Number,Both sexes,56,48937
1991,Number,Both sexes,57,47310
1991,Number,Both sexes,58,44742
1991,Number,Both sexes,59,42557
1991,Number,Both sexes,60,44157
1991,Number,Both sexes,61,42001
1991,Number,Both sexes,62,40853
1991,Number,Both sexes,63,36630
1991,Number,Both sexes,64,32878
1991,Number,Both sexes,65,29739
1991,Number,Both sexes,66,26525
1991,Number,Both sexes,67,24528
1991,Number,Both sexes,68,23225
1991,Number,Both sexes,69,20157
1991,Number,Both sexes,70,20604
1991,Number,Both sexes,71,18037
1991,Number,Both sexes,72,9370
1991,Number,Both sexes,73,7833
1991,Number,Both sexes,74,6855
1991,Number,Both sexes,75,8380
1991,Number,Both sexes,76,12499
1991,Number,Both sexes,77,10635
1991,Number,Both sexes,78,10578
1991,Number,Both sexes,79,8577
1991,Number,Both sexes,80,8905
1991,Number,Both sexes,81,7090
1991,Number,Both sexes,82,5437
1991,Number,Both sexes,83,5124
1991,Number,Both sexes,84,4203
1991,Number,Both sexes,85,3599
1991,Number,Both sexes,86,2920
1991,Number,Both sexes,87,2136
1991,Number,Both sexes,88,1701
1991,Number,Both sexes,89,1168
1991,Number,Both sexes,90,1395
1991,Number,Both sexes,91,656
1991,Number,Both sexes,92,385
1991,Number,Both sexes,93,271
1991,Number,Both sexes,94,179
1991,Number,Both sexes,95,149
1991,Number,Both sexes,96,105
1991,Number,Both sexes,97,76
1991,Number,Both sexes,98,67
1991,Number,Both sexes,99,38
1991,Number,Both sexes,100,41
1991,Number,Both sexes,101,24
1991,Number,Both sexes,102,11
1991,Number,Both sexes,103,17
1991,Number,Both sexes,104,6
1991,Number,Both sexes,105,7
1991,Number,Both sexes,106,3
1991,Number,Both sexes,107,4
1991,Number,Both sexes,108,3
1991,Number,Both sexes,109,2
1991,Number,Both sexes,110,3
1991,Number,Both sexes,111,3
1991,Number,Both sexes,112,2
1991,Number,Both sexes,113,3
1991,Number,Both sexes,114,2
1991,Number,Both sexes,115,3
1991,Number,Both sexes,116,1
1991,Number,Both sexes,117,0
1991,Number,Both sexes,118,0
1991,Number,Both sexes,119,0
1991,Number,Both sexes,120,0
1991,Number,Both sexes,Unknown,70227
