Year,UNIT_MEASURE,Godine,Spol,Municipality,Value
2013,Broj,0-4,Oba spola,Istočni Stari Grad,40
2013,Broj,0-4,Oba spola,Istočno Novo Sarajevo,625
2013,Broj,0-4,Oba spola,Jablanica,440
2013,Broj,0-4,Oba spola,Jajce,1311
2013,Broj,0-4,Oba spola,Jezero,44
2013,Broj,0-4,Oba spola,Kakanj,2102
2013,Broj,0-4,Oba spola,Kalesija,1841
2013,Broj,0-4,Oba spola,Kalinovik,52
2013,Broj,0-4,Oba spola,Kiseljak,1082
2013,Broj,0-4,Oba spola,Kladanj,606
2013,Broj,0-4,Oba spola,Ključ,699
2013,Broj,0-4,Oba spola,Kneževo,406
2013,Broj,0-4,Oba spola,Konjic,1046
2013,Broj,0-4,Oba spola,Kostajnica,222
2013,Broj,0-4,Oba spola,Kotor Varoš,922
2013,Broj,0-4,Oba spola,Kozarska Dubica,800
2013,Broj,0-4,Oba spola,Kreševo,240
2013,Broj,0-4,Oba spola,Krupa Na Uni,49
2013,Broj,0-4,Oba spola,Kupres - FBIH,164
2013,Broj,0-4,Oba spola,Kupres - RS,6
2013,Broj,0-4,Oba spola,Laktaši,1687
2013,Broj,0-4,Oba spola,Livno,1334
2013,Broj,0-4,Oba spola,Lopare,517
2013,Broj,0-4,Oba spola,Lukavac,1968
2013,Broj,0-4,Oba spola,Ljubinje,155
2013,Broj,0-4,Oba spola,Ljubuški,1352
2013,Broj,0-4,Oba spola,Maglaj,1215
2013,Broj,0-4,Oba spola,Milići,489
2013,Broj,0-4,Oba spola,Modriča,1001
2013,Broj,0-4,Oba spola,Mostar,5335
2013,Broj,0-4,Oba spola,Mrkonjić Grad,681
2013,Broj,0-4,Oba spola,Neum,206
2013,Broj,0-4,Oba spola,Nevesinje,561
2013,Broj,0-4,Oba spola,Novi Grad,981
2013,Broj,0-4,Oba spola,Sarajevo - Novi Grad,6754
2013,Broj,0-4,Oba spola,Novi Travnik,1318
2013,Broj,0-4,Oba spola,Novo Goražde,103
2013,Broj,0-4,Oba spola,Sarajevo - Novo Sarajevo,3295
2013,Broj,0-4,Oba spola,Odžak,693
2013,Broj,0-4,Oba spola,Olovo,417
2013,Broj,0-4,Oba spola,Orašje,726
2013,Broj,0-4,Oba spola,Osmaci,275
2013,Broj,0-4,Oba spola,Oštra Luka,107
2013,Broj,0-4,Oba spola,Pale - FBIH,35
2013,Broj,0-4,Oba spola,Pale - RS,904
2013,Broj,0-4,Oba spola,Pelagićevo,133
2013,Broj,0-4,Oba spola,Petrovac,13
2013,Broj,0-4,Oba spola,Petrovo,264
2013,Broj,0-4,Oba spola,Posušje,1237
2013,Broj,0-4,Oba spola,Prijedor,3468
2013,Broj,0-4,Oba spola,Prnjavor,1600
2013,Broj,0-4,Oba spola,Prozor,687
2013,Broj,0-4,Oba spola,Ravno,118
2013,Broj,0-4,Oba spola,Ribnik,245
2013,Broj,0-4,Oba spola,Rogatica,514
2013,Broj,0-4,Oba spola,Rudo,289
2013,Broj,0-4,Oba spola,Sanski Most,1681
2013,Broj,0-4,Oba spola,Sapna,651
2013,Broj,0-4,Oba spola,Sokolac,508
2013,Broj,0-4,Oba spola,Srbac,836
2013,Broj,0-4,Oba spola,Srebrenica,526
2013,Broj,0-4,Oba spola,Srebrenik,2214
2013,Broj,0-4,Oba spola,Sarajevo - Stari Grad,1623
2013,Broj,0-4,Oba spola,Stolac,650
2013,Broj,0-4,Oba spola,Šamac,584
2013,Broj,0-4,Oba spola,Šekovići,249
2013,Broj,0-4,Oba spola,Šipovo,431
2013,Broj,0-4,Oba spola,Široki Brijeg,1623
2013,Broj,0-4,Oba spola,Teočak,351
2013,Broj,0-4,Oba spola,Teslić,1969
2013,Broj,0-4,Oba spola,Tešanj,2689
2013,Broj,0-4,Oba spola,Tomislavgrad,1490
2013,Broj,0-4,Oba spola,Travnik,2797
2013,Broj,0-4,Oba spola,Trebinje,1415
2013,Broj,0-4,Oba spola,Trnovo - FBIH,40
2013,Broj,0-4,Oba spola,Trnovo - RS,66
2013,Broj,0-4,Oba spola,Tuzla,5105
2013,Broj,0-4,Oba spola,Ugljevik,675
2013,Broj,0-4,Oba spola,Usora,251
2013,Broj,0-4,Oba spola,Vareš,256
2013,Broj,0-4,Oba spola,Velika Kladuša,2756
2013,Broj,0-4,Oba spola,Visoko,2309
2013,Broj,0-4,Oba spola,Višegrad,344
2013,Broj,0-4,Oba spola,Vitez,1447
2013,Broj,0-4,Oba spola,Vlasenica,499
2013,Broj,0-4,Oba spola,Sarajevo - Vogošća,1600
2013,Broj,0-4,Oba spola,Vukosavlje,207
2013,Broj,0-4,Oba spola,Zavidovići,2005
2013,Broj,0-4,Oba spola,Zenica,6072
2013,Broj,0-4,Oba spola,Zvornik,3061
2013,Broj,0-4,Oba spola,Žepče,1657
2013,Broj,0-4,Oba spola,Živinice,3389
2013,Broj,5-9,Oba spola,Banja Luka,8736
2013,Broj,5-9,Oba spola,Banovići,1212
2013,Broj,5-9,Oba spola,Berkovići,130
2013,Broj,5-9,Oba spola,Bihać,2806
2013,Broj,5-9,Oba spola,Bijeljina,5136
2013,Broj,5-9,Oba spola,Bileća,483
2013,Broj,5-9,Oba spola,Bosanska Krupa,1495
2013,Broj,5-9,Oba spola,Bosanski Petrovac,324
2013,Broj,5-9,Oba spola,Bosansko Grahovo,49
2013,Broj,5-9,Oba spola,Bratunac,1096
2013,Broj,5-9,Oba spola,Brčko,4312
2013,Broj,5-9,Oba spola,Breza,661
2013,Broj,5-9,Oba spola,Brod,731
2013,Broj,5-9,Oba spola,Bugojno,1681
2013,Broj,5-9,Oba spola,Busovača,1079
2013,Broj,5-9,Oba spola,Bužim,1345
2013,Broj,5-9,Oba spola,Cazin,4192
2013,Broj,5-9,Oba spola,Sarajevo - Centar,2432
2013,Broj,5-9,Oba spola,Čajniče,212
2013,Broj,5-9,Oba spola,Čapljina,1359
2013,Broj,5-9,Oba spola,Čelić,573
2013,Broj,5-9,Oba spola,Čelinac,741
2013,Broj,5-9,Oba spola,Čitluk,1090
2013,Broj,5-9,Oba spola,Derventa,1223
2013,Broj,5-9,Oba spola,Doboj,3311
2013,Broj,5-9,Oba spola,Doboj-Istok,570
2013,Broj,5-9,Oba spola,Doboj-Jug,288
2013,Broj,5-9,Oba spola,Dobretići,54
2013,Broj,5-9,Oba spola,Domaljevac-Šamac,237
2013,Broj,5-9,Oba spola,Donji Vakuf,861
2013,Broj,5-9,Oba spola,Donji Žabar,185
2013,Broj,5-9,Oba spola,Drvar,250
2013,Broj,5-9,Oba spola,Foča - FBIH,71
