Year,UNIT_MEASURE,Spol,AGE,Value
2013.0,2013.0,Ž,20-24,111173.0
2013.0,2013.0,Ž,25-29,123070.0
2013.0,2013.0,Ž,30-34,124040.0
2013.0,2013.0,Ž,35-39,123121.0
2013.0,2013.0,Ž,40-44,119543.0
2013.0,2013.0,Ž,45-49,130841.0
2013.0,2013.0,Ž,50-54,140422.0
2013.0,2013.0,Ž,55-59,132961.0
2013.0,2013.0,Ž,60-64,118281.0
2013.0,2013.0,Ž,65-69,84503.0
2013.0,2013.0,Ž,70-74,80601.0
2013.0,2013.0,Ž,75-79,69864.0
2013.0,2013.0,Ž,80-84,38867.0
2013.0,2013.0,Ž,85-89,14967.0
2013.0,2013.0,Ž,90-94,3551.0
2013.0,2013.0,Ž,95-99,376.0
2013.0,2013.0,Ž,100-104,79.0
2013.0,2013.0,Ž,105-109,17.0
2013.0,2013.0,Ž,110-114,27.0
2013.0,2013.0,Ž,115-120,0.0
,,,,
