Year,Entity,AGE,UNIT_MEASURE,Year.1,Value
2008,BD,13 - 14,NUMBER,2008,7
2008,BD,15 - 19,NUMBER,2008,53
2008,BiH,13 - 14,NUMBER,2008,13
2008,BiH,15 - 19,NUMBER,2008,2096
2009,FBIH,13 - 14,NUMBER,2009,4
2009,FBIH,15 - 19,NUMBER,2009,1411
2009,RS,13 - 14,NUMBER,2009,3
2009,RS,15 - 19,NUMBER,2009,499
2009,BD,13 - 14,NUMBER,2009,5
2009,BD,15 - 19,NUMBER,2009,58
2009,BiH,13 - 14,NUMBER,2009,12
2009,BiH,15 - 19,NUMBER,2009,1968
2010,FBIH,13 - 14,NUMBER,2010,5
2010,FBIH,15 - 19,NUMBER,2010,1285
2010,RS,13 - 14,NUMBER,2010,0
2010,RS,15 - 19,NUMBER,2010,436
2010,BD,13 - 14,NUMBER,2010,3
2010,BD,15 - 19,NUMBER,2010,64
2010,BiH,13 - 14,NUMBER,2010,8
2010,BiH,15 - 19,NUMBER,2010,1785
2011,FBIH,13 - 14,NUMBER,2011,5
2011,FBIH,15 - 19,NUMBER,2011,1136
2011,RS,13 - 14,NUMBER,2011,0
2011,RS,15 - 19,NUMBER,2011,407
2011,BD,13 - 14,NUMBER,2011,4
2011,BD,15 - 19,NUMBER,2011,71
2011,BiH,13 - 14,NUMBER,2011,9
2011,BiH,15 - 19,NUMBER,2011,1614
2012,FBIH,13 - 14,NUMBER,2012,2
2012,FBIH,15 - 19,NUMBER,2012,1040
2012,RS,13 - 14,NUMBER,2012,1
2012,RS,15 - 19,NUMBER,2012,452
2012,BD,13 - 14,NUMBER,2012,2
2012,BD,15 - 19,NUMBER,2012,54
2012,BiH,13 - 14,NUMBER,2012,5
2012,BiH,15 - 19,NUMBER,2012,1546
2013,FBIH,13 - 14,NUMBER,2013,4
2013,FBIH,15 - 19,NUMBER,2013,950
2013,RS,13 - 14,NUMBER,2013,0
2013,RS,15 - 19,NUMBER,2013,376
2013,BD,13 - 14,NUMBER,2013,1
2013,BD,15 - 19,NUMBER,2013,56
2013,BiH,13 - 14,NUMBER,2013,5
2013,BiH,15 - 19,NUMBER,2013,1382
2014,FBIH,13 - 14,NUMBER,2014,3
2014,FBIH,15 - 19,NUMBER,2014,932
2014,RS,13 - 14,NUMBER,2014,0
2014,RS,15 - 19,NUMBER,2014,362
2014,BD,13 - 14,NUMBER,2014,1
2014,BD,15 - 19,NUMBER,2014,48
2014,BiH,13 - 14,NUMBER,2014,4
2014,BiH,15 - 19,NUMBER,2014,1342
2015,FBIH,13 - 14,NUMBER,2015,3
2015,FBIH,15 - 19,NUMBER,2015,948
2015,RS,13 - 14,NUMBER,2015,1
2015,RS,15 - 19,NUMBER,2015,311
2015,BD,13 - 14,NUMBER,2015,1
2015,BD,15 - 19,NUMBER,2015,55
2015,BiH,13 - 14,NUMBER,2015,5
2015,BiH,15 - 19,NUMBER,2015,1314
2016,FBIH,13 - 14,NUMBER,2016,3
2016,FBIH,15 - 19,NUMBER,2016,906
2016,RS,13 - 14,NUMBER,2016,1
2016,RS,15 - 19,NUMBER,2016,337
2016,BD,13 - 14,NUMBER,2016,0
2016,BD,15 - 19,NUMBER,2016,45
2016,BiH,13 - 14,NUMBER,2016,4
2016,BiH,15 - 19,NUMBER,2016,1288
2017,FBIH,13 - 14,NUMBER,2017,6
2017,FBIH,15 - 19,NUMBER,2017,734
2017,RS,13 - 14,NUMBER,2017,0
2017,RS,15 - 19,NUMBER,2017,280
2017,BD,13 - 14,NUMBER,2017,4
2017,BD,15 - 19,NUMBER,2017,50
2017,BiH,13 - 14,NUMBER,2017,10
2017,BiH,15 - 19,NUMBER,2017,1064
2018,FBIH,13 - 14,NUMBER,2018,4
2018,FBIH,15 - 19,NUMBER,2018,643
2018,RS,13 - 14,NUMBER,2018,1
2018,RS,15 - 19,NUMBER,2018,219
2018,BD,13 - 14,NUMBER,2018,0
2018,BD,15 - 19,NUMBER,2018,35
2018,BiH,13 - 14,NUMBER,2018,5
2018,BiH,15 - 19,NUMBER,2018,897
2019,FBIH,13 - 14,NUMBER,2019,1
2019,FBIH,15 - 19,NUMBER,2019,580
2019,RS,13 - 14,NUMBER,2019,1
2019,RS,15 - 19,NUMBER,2019,223
2019,BD,13 - 14,NUMBER,2019,2
2019,BD,15 - 19,NUMBER,2019,42
2019,BiH,13 - 14,NUMBER,2019,4
2019,BiH,15 - 19,NUMBER,2019,845
Year,Entity,AGE,UNIT_MEASURE,Year,Value
1997,FBIH,13 - 14,NUMBER,1997,11
1997,FBIH,15 - 19,NUMBER,1997,3128
1997,RS,13 - 14,NUMBER,1997,0
1997,RS,15 - 19,NUMBER,1997,0
1997,BD,13 - 14,NUMBER,1997,0
1997,BD,15 - 19,NUMBER,1997,0
1997,BiH,13 - 14,NUMBER,1997,11
1997,BiH,15 - 19,NUMBER,1997,3128
1998,FBIH,13 - 14,NUMBER,1998,2
1998,FBIH,15 - 19,NUMBER,1998,2395
1998,RS,13 - 14,NUMBER,1998,0
1998,RS,15 - 19,NUMBER,1998,796
1998,BD,13 - 14,NUMBER,1998,0
1998,BD,15 - 19,NUMBER,1998,0
1998,BiH,13 - 14,NUMBER,1998,2
1998,BiH,15 - 19,NUMBER,1998,3191
1999,FBIH,13 - 14,NUMBER,1999,0
1999,FBIH,15 - 19,NUMBER,1999,2073
1999,RS,13 - 14,NUMBER,1999,1
1999,RS,15 - 19,NUMBER,1999,907
1999,BD,13 - 14,NUMBER,1999,0
1999,BD,15 - 19,NUMBER,1999,0
1999,BiH,13 - 14,NUMBER,1999,1
1999,BiH,15 - 19,NUMBER,1999,2980
2000,FBIH,13 - 14,NUMBER,2000,3
2000,FBIH,15 - 19,NUMBER,2000,1806
2000,RS,13 - 14,NUMBER,2000,1
2000,RS,15 - 19,NUMBER,2000,722
2000,BD,13 - 14,NUMBER,2000,0
2000,BD,15 - 19,NUMBER,2000,0
2000,BiH,13 - 14,NUMBER,2000,4
2000,BiH,15 - 19,NUMBER,2000,2528
2001,FBIH,13 - 14,NUMBER,2001,13
2001,FBIH,15 - 19,NUMBER,2001,1679
2001,RS,13 - 14,NUMBER,2001,2
2001,RS,15 - 19,NUMBER,2001,938
2001,BD,13 - 14,NUMBER,2001,0
2001,BD,15 - 19,NUMBER,2001,0
2001,BiH,13 - 14,NUMBER,2001,15
2001,BiH,15 - 19,NUMBER,2001,2617
2002,FBIH,13 - 14,NUMBER,2002,10
2002,FBIH,15 - 19,NUMBER,2002,1561
2002,RS,13 - 14,NUMBER,2002,4
2002,RS,15 - 19,NUMBER,2002,787
2002,BD,13 - 14,NUMBER,2002,0
