Year,UNIT_MEASURE,Пол,Године,Municipality,Value
2013,Број,Жене,Total,Šekovići,3401
2013,Број,Оба пола,Total,Šipovo,10293
2013,Број,Мушкарци,Total,Šipovo,5221
2013,Број,Жене,Total,Šipovo,5072
2013,Број,Оба пола,Total,Široki Brijeg,28929
2013,Број,Мушкарци,Total,Široki Brijeg,14381
2013,Број,Жене,Total,Široki Brijeg,14548
2013,Број,Оба пола,Total,Teočak,7424
2013,Број,Мушкарци,Total,Teočak,3767
2013,Број,Жене,Total,Teočak,3657
2013,Број,Оба пола,Total,Teslić,38536
2013,Број,Мушкарци,Total,Teslić,18679
2013,Број,Жене,Total,Teslić,19857
2013,Број,Оба пола,Total,Tešanj,43063
2013,Број,Мушкарци,Total,Tešanj,21376
2013,Број,Жене,Total,Tešanj,21687
2013,Број,Оба пола,Total,Tomislavgrad,31592
2013,Број,Мушкарци,Total,Tomislavgrad,16055
2013,Број,Жене,Total,Tomislavgrad,15537
2013,Број,Оба пола,Total,Travnik,53482
2013,Број,Мушкарци,Total,Travnik,26574
2013,Број,Жене,Total,Travnik,26908
2013,Број,Оба пола,Total,Trebinje,29198
2013,Број,Мушкарци,Total,Trebinje,14251
2013,Број,Жене,Total,Trebinje,14947
2013,Број,Оба пола,Total,Trnovo - FBiH,1502
2013,Број,Мушкарци,Total,Trnovo - FBiH,735
2013,Број,Жене,Total,Trnovo - FBiH,767
2013,Број,Оба пола,Total,Trnovo - RS,2050
2013,Број,Мушкарци,Total,Trnovo - RS,989
2013,Број,Жене,Total,Trnovo - RS,1061
2013,Број,Оба пола,Total,Tuzla,110979
2013,Број,Мушкарци,Total,Tuzla,52745
2013,Број,Жене,Total,Tuzla,58234
2013,Број,Оба пола,Total,Ugljevik,15710
2013,Број,Мушкарци,Total,Ugljevik,7937
2013,Број,Жене,Total,Ugljevik,7773
2013,Број,Оба пола,Total,Usora,6603
2013,Број,Мушкарци,Total,Usora,3266
2013,Број,Жене,Total,Usora,3337
2013,Број,Оба пола,Total,Vareš,8892
2013,Број,Мушкарци,Total,Vareš,4373
2013,Број,Жене,Total,Vareš,4519
2013,Број,Оба пола,Total,Velika Kladuša,40419
2013,Број,Мушкарци,Total,Velika Kladuša,19889
2013,Број,Жене,Total,Velika Kladuša,20530
2013,Број,Оба пола,Total,Visoko,39938
2013,Број,Мушкарци,Total,Visoko,19705
2013,Број,Жене,Total,Visoko,20233
2013,Број,Оба пола,Total,Višegrad,10668
2013,Број,Мушкарци,Total,Višegrad,5106
2013,Број,Жене,Total,Višegrad,5562
2013,Број,Оба пола,Total,Vitez,25836
2013,Број,Мушкарци,Total,Vitez,12767
2013,Број,Жене,Total,Vitez,13069
2013,Број,Оба пола,Total,Vlasenica,11467
2013,Број,Мушкарци,Total,Vlasenica,5638
2013,Број,Жене,Total,Vlasenica,5829
2013,Број,Оба пола,Total,Sarajevo - Vogošća,26343
2013,Број,Мушкарци,Total,Sarajevo - Vogošća,12606
2013,Број,Жене,Total,Sarajevo - Vogošća,13737
2013,Број,Оба пола,Total,Vukosavlje,4667
2013,Број,Мушкарци,Total,Vukosavlje,2340
2013,Број,Жене,Total,Vukosavlje,2327
2013,Број,Оба пола,Total,Zavidovići,35988
2013,Број,Мушкарци,Total,Zavidovići,17883
2013,Број,Жене,Total,Zavidovići,18105
2013,Број,Оба пола,Total,Zenica,110663
2013,Број,Мушкарци,Total,Zenica,54660
2013,Број,Жене,Total,Zenica,56003
2013,Број,Оба пола,Total,Zvornik,58856
2013,Број,Мушкарци,Total,Zvornik,29270
2013,Број,Жене,Total,Zvornik,29586
2013,Број,Оба пола,Total,Žepče,30219
2013,Број,Мушкарци,Total,Žepče,15335
2013,Број,Жене,Total,Žepče,14884
2013,Број,Оба пола,Total,Živinice,57765
2013,Број,Мушкарци,Total,Živinice,28714
2013,Број,Жене,Total,Živinice,29051
