Year,UNIT_MEASURE,Пол,Старосна доб,Value
2018,% од укупно,Оба пола,116,0.0
2018,% од укупно,Оба пола,117,0.0
2018,% од укупно,Оба пола,118,0.0
2018,% од укупно,Оба пола,119,0.0
2018,% од укупно,Оба пола,120+,0.0
2020,% од укупно,Оба пола,Total,100.0
2020,% од укупно,Оба пола,0,0.85
2020,% од укупно,Оба пола,1,0.86
2020,% од укупно,Оба пола,2,0.84
2020,% од укупно,Оба пола,3,0.86
2020,% од укупно,Оба пола,4,0.86
2020,% од укупно,Оба пола,5,0.85
2020,% од укупно,Оба пола,6,0.87
2020,% од укупно,Оба пола,7,0.88
2020,% од укупно,Оба пола,8,1.0
2020,% од укупно,Оба пола,9,0.99
2020,% од укупно,Оба пола,10,1.03
2020,% од укупно,Оба пола,11,1.06
2020,% од укупно,Оба пола,12,1.06
2020,% од укупно,Оба пола,13,1.02
2020,% од укупно,Оба пола,14,1.01
2020,% од укупно,Оба пола,15,1.03
2020,% од укупно,Оба пола,16,1.02
2020,% од укупно,Оба пола,17,1.04
2020,% од укупно,Оба пола,18,1.05
2020,% од укупно,Оба пола,19,1.07
2020,% од укупно,Оба пола,20,1.09
2020,% од укупно,Оба пола,21,1.12
2020,% од укупно,Оба пола,22,1.23
2020,% од укупно,Оба пола,23,1.36
2020,% од укупно,Оба пола,24,1.43
2020,% од укупно,Оба пола,25,1.42
2020,% од укупно,Оба пола,26,1.22
2020,% од укупно,Оба пола,27,1.04
2020,% од укупно,Оба пола,28,1.2
2020,% од укупно,Оба пола,29,1.35
2020,% од укупно,Оба пола,30,1.34
2020,% од укупно,Оба пола,31,1.34
2020,% од укупно,Оба пола,32,1.41
2020,% од укупно,Оба пола,33,1.41
2020,% од укупно,Оба пола,34,1.4
2020,% од укупно,Оба пола,35,1.43
2020,% од укупно,Оба пола,36,1.46
2020,% од укупно,Оба пола,37,1.44
2020,% од укупно,Оба пола,38,1.46
2020,% од укупно,Оба пола,39,1.44
2020,% од укупно,Оба пола,40,1.43
2020,% од укупно,Оба пола,41,1.41
2020,% од укупно,Оба пола,42,1.41
2020,% од укупно,Оба пола,43,1.41
2020,% од укупно,Оба пола,44,1.47
2020,% од укупно,Оба пола,45,1.42
2020,% од укупно,Оба пола,46,1.39
2020,% од укупно,Оба пола,47,1.38
2020,% од укупно,Оба пола,48,1.41
2020,% од укупно,Оба пола,49,1.4
2020,% од укупно,Оба пола,50,1.3
2020,% од укупно,Оба пола,51,1.4
2020,% од укупно,Оба пола,52,1.41
2020,% од укупно,Оба пола,53,1.44
2020,% од укупно,Оба пола,54,1.49
2020,% од укупно,Оба пола,55,1.54
2020,% од укупно,Оба пола,56,1.49
2020,% од укупно,Оба пола,57,1.51
2020,% од укупно,Оба пола,58,1.55
2020,% од укупно,Оба пола,59,1.55
2020,% од укупно,Оба пола,60,1.55
2020,% од укупно,Оба пола,61,1.5
2020,% од укупно,Оба пола,62,1.51
2020,% од укупно,Оба пола,63,1.37
2020,% од укупно,Оба пола,64,1.43
2020,% од укупно,Оба пола,65,1.39
2020,% од укупно,Оба пола,66,1.41
2020,% од укупно,Оба пола,67,1.31
2020,% од укупно,Оба пола,68,1.3
2020,% од укупно,Оба пола,69,1.04
2020,% од укупно,Оба пола,70,1.1
2020,% од укупно,Оба пола,71,1.06
2020,% од укупно,Оба пола,72,0.92
2020,% од укупно,Оба пола,73,0.89
2020,% од укупно,Оба пола,74,0.78
2020,% од укупно,Оба пола,75,0.61
2020,% од укупно,Оба пола,76,0.56
2020,% од укупно,Оба пола,77,0.55
2020,% од укупно,Оба пола,78,0.56
2020,% од укупно,Оба пола,79,0.59
2020,% од укупно,Оба пола,80,0.61
2020,% од укупно,Оба пола,81,0.54
2020,% од укупно,Оба пола,82,0.49
2020,% од укупно,Оба пола,83,0.44
2020,% од укупно,Оба пола,84,0.38
2020,% од укупно,Оба пола,85,0.32
2020,% од укупно,Оба пола,86,0.27
2020,% од укупно,Оба пола,87,0.22
2020,% од укупно,Оба пола,88,0.17
2020,% од укупно,Оба пола,89,0.12
2020,% од укупно,Оба пола,90,0.11
2020,% од укупно,Оба пола,91,0.07
2020,% од укупно,Оба пола,92,0.06
2020,% од укупно,Оба пола,93,0.03
2020,% од укупно,Оба пола,94,0.02
2020,% од укупно,Оба пола,95,0.02
2020,% од укупно,Оба пола,96,0.01
2020,% од укупно,Оба пола,97,0.01
2020,% од укупно,Оба пола,98,0.0
2020,% од укупно,Оба пола,99,0.0
2020,% од укупно,Оба пола,100,0.0
2020,% од укупно,Оба пола,101,0.0
2020,% од укупно,Оба пола,102,0.0
2020,% од укупно,Оба пола,103,0.0
2020,% од укупно,Оба пола,104,0.0
2020,% од укупно,Оба пола,105,0.0
2020,% од укупно,Оба пола,106,0.0
2020,% од укупно,Оба пола,107,0.0
2020,% од укупно,Оба пола,108,0.0
2020,% од укупно,Оба пола,109,0.0
2020,% од укупно,Оба пола,110,0.0
2020,% од укупно,Оба пола,111,0.0
2020,% од укупно,Оба пола,112,0.0
2020,% од укупно,Оба пола,113,0.0
2020,% од укупно,Оба пола,114,0.0
2020,% од укупно,Оба пола,115,0.0
2020,% од укупно,Оба пола,116,0.0
2020,% од укупно,Оба пола,117,0.0
2020,% од укупно,Оба пола,118,0.0
2020,% од укупно,Оба пола,119,0.0
2020,% од укупно,Оба пола,120+,0.0
2025,% од укупно,Оба пола,Total,100.0
2025,% од укупно,Оба пола,0,0.79
2025,% од укупно,Оба пола,1,0.8
2025,% од укупно,Оба пола,2,0.81
2025,% од укупно,Оба пола,3,0.83
2025,% од укупно,Оба пола,4,0.84
2025,% од укупно,Оба пола,5,0.86
2025,% од укупно,Оба пола,6,0.87
2025,% од укупно,Оба пола,7,0.86
2025,% од укупно,Оба пола,8,0.89
2025,% од укупно,Оба пола,9,0.89
2025,% од укупно,Оба пола,10,0.89
2025,% од укупно,Оба пола,11,0.9
2025,% од укупно,Оба пола,12,0.92
2025,% од укупно,Оба пола,13,1.03
2025,% од укупно,Оба пола,14,1.02
2025,% од укупно,Оба пола,15,1.06
2025,% од укупно,Оба пола,16,1.09
2025,% од укупно,Оба пола,17,1.08
2025,% од укупно,Оба пола,18,1.03
2025,% од укупно,Оба пола,19,1.01
2025,% од укупно,Оба пола,20,1.0
2025,% од укупно,Оба пола,21,0.98
2025,% од укупно,Оба пола,22,0.97
2025,% од укупно,Оба пола,23,0.96
2025,% од укупно,Оба пола,24,0.98
2025,% од укупно,Оба пола,25,0.99
2025,% од укупно,Оба пола,26,1.01
2025,% од укупно,Оба пола,27,1.11
2025,% од укупно,Оба пола,28,1.24
2025,% од укупно,Оба пола,29,1.31
2025,% од укупно,Оба пола,30,1.33
2025,% од укупно,Оба пола,31,1.15
2025,% од укупно,Оба пола,32,0.99
2025,% од укупно,Оба пола,33,1.16
2025,% од укупно,Оба пола,34,1.31
2025,% од укупно,Оба пола,35,1.3
2025,% од укупно,Оба пола,36,1.3
2025,% од укупно,Оба пола,37,1.38
2025,% од укупно,Оба пола,38,1.38
2025,% од укупно,Оба пола,39,1.38
2025,% од укупно,Оба пола,40,1.41
2025,% од укупно,Оба пола,41,1.44
2025,% од укупно,Оба пола,42,1.43
2025,% од укупно,Оба пола,43,1.45
2025,% од укупно,Оба пола,44,1.44
2025,% од укупно,Оба пола,45,1.44
2025,% од укупно,Оба пола,46,1.42
2025,% од укупно,Оба пола,47,1.42
2025,% од укупно,Оба пола,48,1.42
2025,% од укупно,Оба пола,49,1.48
2025,% од укупно,Оба пола,50,1.44
2025,% од укупно,Оба пола,51,1.41
2025,% од укупно,Оба пола,52,1.4
2025,% од укупно,Оба пола,53,1.44
2025,% од укупно,Оба пола,54,1.43
2025,% од укупно,Оба пола,55,1.33
2025,% од укупно,Оба пола,56,1.43
2025,% од укупно,Оба пола,57,1.44
2025,% од укупно,Оба пола,58,1.47
2025,% од укупно,Оба пола,59,1.52
2025,% од укупно,Оба пола,60,1.57
2025,% од укупно,Оба пола,61,1.52
2025,% од укупно,Оба пола,62,1.54
2025,% од укупно,Оба пола,63,1.58
2025,% од укупно,Оба пола,64,1.57
2025,% од укупно,Оба пола,65,1.56
2025,% од укупно,Оба пола,66,1.5
2025,% од укупно,Оба пола,67,1.5
2025,% од укупно,Оба пола,68,1.35
2025,% од укупно,Оба пола,69,1.4
2025,% од укупно,Оба пола,70,1.34
2025,% од укупно,Оба пола,71,1.35
2025,% од укупно,Оба пола,72,1.23
2025,% од укупно,Оба пола,73,1.21
2025,% од укупно,Оба пола,74,0.96
2025,% од укупно,Оба пола,75,0.99
2025,% од укупно,Оба пола,76,0.94
2025,% од укупно,Оба пола,77,0.8
2025,% од укупно,Оба пола,78,0.75
2025,% од укупно,Оба пола,79,0.65
2025,% од укупно,Оба пола,80,0.5
2025,% од укупно,Оба пола,81,0.44
2025,% од укупно,Оба пола,82,0.42
2025,% од укупно,Оба пола,83,0.41
2025,% од укупно,Оба пола,84,0.42
2025,% од укупно,Оба пола,85,0.41
2025,% од укупно,Оба пола,86,0.35
2025,% од укупно,Оба пола,87,0.3
2025,% од укупно,Оба пола,88,0.25
2025,% од укупно,Оба пола,89,0.21
2025,% од укупно,Оба пола,90,0.16
2025,% од укупно,Оба пола,91,0.13
2025,% од укупно,Оба пола,92,0.09
2025,% од укупно,Оба пола,93,0.07
2025,% од укупно,Оба пола,94,0.05
2025,% од укупно,Оба пола,95,0.04
2025,% од укупно,Оба пола,96,0.02
2025,% од укупно,Оба пола,97,0.02
2025,% од укупно,Оба пола,98,0.01
2025,% од укупно,Оба пола,99,0.0
2025,% од укупно,Оба пола,100,0.0
2025,% од укупно,Оба пола,101,0.0
2025,% од укупно,Оба пола,102,0.0
2025,% од укупно,Оба пола,103,0.0
2025,% од укупно,Оба пола,104,0.0
2025,% од укупно,Оба пола,105,0.0
2025,% од укупно,Оба пола,106,0.0
2025,% од укупно,Оба пола,107,0.0
2025,% од укупно,Оба пола,108,0.0
2025,% од укупно,Оба пола,109,0.0
2025,% од укупно,Оба пола,110,0.0
2025,% од укупно,Оба пола,111,0.0
2025,% од укупно,Оба пола,112,0.0
2025,% од укупно,Оба пола,113,0.0
2025,% од укупно,Оба пола,114,0.0
2025,% од укупно,Оба пола,115,0.0
2025,% од укупно,Оба пола,116,0.0
2025,% од укупно,Оба пола,117,0.0
2025,% од укупно,Оба пола,118,0.0
2025,% од укупно,Оба пола,119,0.0
2025,% од укупно,Оба пола,120+,0.0
2030,% од укупно,Оба пола,Total,100.0
2030,% од укупно,Оба пола,0,0.73
2030,% од укупно,Оба пола,1,0.74
2030,% од укупно,Оба пола,2,0.75
2030,% од укупно,Оба пола,3,0.77
2030,% од укупно,Оба пола,4,0.78
2030,% од укупно,Оба пола,5,0.8
2030,% од укупно,Оба пола,6,0.82
2030,% од укупно,Оба пола,7,0.84
2030,% од укупно,Оба пола,8,0.86
2030,% од укупно,Оба пола,9,0.88
2030,% од укупно,Оба пола,10,0.89
2030,% од укупно,Оба пола,11,0.91
2030,% од укупно,Оба пола,12,0.89
2030,% од укупно,Оба пола,13,0.92
2030,% од укупно,Оба пола,14,0.93
2030,% од укупно,Оба пола,15,0.92
2030,% од укупно,Оба пола,16,0.94
2030,% од укупно,Оба пола,17,0.94
2030,% од укупно,Оба пола,18,1.05
2030,% од укупно,Оба пола,19,1.02
2030,% од укупно,Оба пола,20,1.04
2030,% од укупно,Оба пола,21,1.04
2030,% од укупно,Оба пола,22,1.01
2030,% од укупно,Оба пола,23,0.95
2030,% од укупно,Оба пола,24,0.92
2030,% од укупно,Оба пола,25,0.92
2030,% од укупно,Оба пола,26,0.89
2030,% од укупно,Оба пола,27,0.9
2030,% од укупно,Оба пола,28,0.89
2030,% од укупно,Оба пола,29,0.92
2030,% од укупно,Оба пола,30,0.94
2030,% од укупно,Оба пола,31,0.97
2030,% од укупно,Оба пола,32,1.07
2030,% од укупно,Оба пола,33,1.2
2030,% од укупно,Оба пола,34,1.27
2030,% од укупно,Оба пола,35,1.3
2030,% од укупно,Оба пола,36,1.13
2030,% од укупно,Оба пола,37,0.98
2030,% од укупно,Оба пола,38,1.15
2030,% од укупно,Оба пола,39,1.3
2030,% од укупно,Оба пола,40,1.3
2030,% од укупно,Оба пола,41,1.3
2030,% од укупно,Оба пола,42,1.37
2030,% од укупно,Оба пола,43,1.38
2030,% од укупно,Оба пола,44,1.38
2030,% од укупно,Оба пола,45,1.42
2030,% од укупно,Оба пола,46,1.45
2030,% од укупно,Оба пола,47,1.44
2030,% од укупно,Оба пола,48,1.47
2030,% од укупно,Оба пола,49,1.46
2030,% од укупно,Оба пола,50,1.46
2030,% од укупно,Оба пола,51,1.45
2030,% од укупно,Оба пола,52,1.45
2030,% од укупно,Оба пола,53,1.46
2030,% од укупно,Оба пола,54,1.52
2030,% од укупно,Оба пола,55,1.48
2030,% од укупно,Оба пола,56,1.46
2030,% од укупно,Оба пола,57,1.44
2030,% од укупно,Оба пола,58,1.48
2030,% од укупно,Оба пола,59,1.47
2030,% од укупно,Оба пола,60,1.37
2030,% од укупно,Оба пола,61,1.47
2030,% од укупно,Оба пола,62,1.48
2030,% од укупно,Оба пола,63,1.51
2030,% од укупно,Оба пола,64,1.56
2030,% од укупно,Оба пола,65,1.59
2030,% од укупно,Оба пола,66,1.54
2030,% од укупно,Оба пола,67,1.55
2030,% од укупно,Оба пола,68,1.57
2030,% од укупно,Оба пола,69,1.55
2030,% од укупно,Оба пола,70,1.53
2030,% од укупно,Оба пола,71,1.45
2030,% од укупно,Оба пола,72,1.44
2030,% од укупно,Оба пола,73,1.28
2030,% од укупно,Оба пола,74,1.3
2030,% од укупно,Оба пола,75,1.23
2030,% од укупно,Оба пола,76,1.21
2030,% од укупно,Оба пола,77,1.09
2030,% од укупно,Оба пола,78,1.05
2030,% од укупно,Оба пола,79,0.81
2030,% од укупно,Оба пола,80,0.83
2030,% од укупно,Оба пола,81,0.76
2030,% од укупно,Оба пола,82,0.63
2030,% од укупно,Оба пола,83,0.57
2030,% од укупно,Оба пола,84,0.48
2030,% од укупно,Оба пола,85,0.35
2030,% од укупно,Оба пола,86,0.3
2030,% од укупно,Оба пола,87,0.27
2030,% од укупно,Оба пола,88,0.25
2030,% од укупно,Оба пола,89,0.24
2030,% од укупно,Оба пола,90,0.22
2030,% од укупно,Оба пола,91,0.18
2030,% од укупно,Оба пола,92,0.14
2030,% од укупно,Оба пола,93,0.11
2030,% од укупно,Оба пола,94,0.08
2030,% од укупно,Оба пола,95,0.06
2030,% од укупно,Оба пола,96,0.04
2030,% од укупно,Оба пола,97,0.03
2030,% од укупно,Оба пола,98,0.02
2030,% од укупно,Оба пола,99,0.01
2030,% од укупно,Оба пола,100,0.01
2030,% од укупно,Оба пола,101,0.0
2030,% од укупно,Оба пола,102,0.0
2030,% од укупно,Оба пола,103,0.0
2030,% од укупно,Оба пола,104,0.0
2030,% од укупно,Оба пола,105,0.0
2030,% од укупно,Оба пола,106,0.0
2030,% од укупно,Оба пола,107,0.0
2030,% од укупно,Оба пола,108,0.0
2030,% од укупно,Оба пола,109,0.0
2030,% од укупно,Оба пола,110,0.0
2030,% од укупно,Оба пола,111,0.0
2030,% од укупно,Оба пола,112,0.0
2030,% од укупно,Оба пола,113,0.0
2030,% од укупно,Оба пола,114,0.0
2030,% од укупно,Оба пола,115,0.0
2030,% од укупно,Оба пола,116,0.0
2030,% од укупно,Оба пола,117,0.0
2030,% од укупно,Оба пола,118,0.0
2030,% од укупно,Оба пола,119,0.0
2030,% од укупно,Оба пола,120+,0.0
2035,% од укупно,Оба пола,Total,100.0
2035,% од укупно,Оба пола,0,0.68
2035,% од укупно,Оба пола,1,0.69
2035,% од укупно,Оба пола,2,0.7
2035,% од укупно,Оба пола,3,0.71
2035,% од укупно,Оба пола,4,0.73
2035,% од укупно,Оба пола,5,0.75
2035,% од укупно,Оба пола,6,0.76
2035,% од укупно,Оба пола,7,0.78
2035,% од укупно,Оба пола,8,0.8
2035,% од укупно,Оба пола,9,0.82
2035,% од укупно,Оба пола,10,0.84
2035,% од укупно,Оба пола,11,0.86
2035,% од укупно,Оба пола,12,0.88
2035,% од укупно,Оба пола,13,0.9
2035,% од укупно,Оба пола,14,0.92
2035,% од укупно,Оба пола,15,0.93
2035,% од укупно,Оба пола,16,0.95
2035,% од укупно,Оба пола,17,0.93
