Year,UNIT_MEASURE,Године,Пол,Municipality,Value
2013,Број,0-4,Оба пола,Posušje,1237
2013,Број,0-4,Оба пола,Prijedor,3468
2013,Број,0-4,Оба пола,Prnjavor,1600
2013,Број,0-4,Оба пола,Prozor,687
2013,Број,0-4,Оба пола,Ravno,118
2013,Број,0-4,Оба пола,Ribnik,245
2013,Број,0-4,Оба пола,Rogatica,514
2013,Број,0-4,Оба пола,Rudo,289
2013,Број,0-4,Оба пола,Sanski Most,1681
2013,Број,0-4,Оба пола,Sapna,651
2013,Број,0-4,Оба пола,Sokolac,508
2013,Број,0-4,Оба пола,Srbac,836
2013,Број,0-4,Оба пола,Srebrenica,526
2013,Број,0-4,Оба пола,Srebrenik,2214
2013,Број,0-4,Оба пола,Sarajevo - Stari Grad,1623
2013,Број,0-4,Оба пола,Stolac,650
2013,Број,0-4,Оба пола,Šamac,584
2013,Број,0-4,Оба пола,Šekovići,249
2013,Број,0-4,Оба пола,Šipovo,431
2013,Број,0-4,Оба пола,Široki Brijeg,1623
2013,Број,0-4,Оба пола,Teočak,351
2013,Број,0-4,Оба пола,Teslić,1969
2013,Број,0-4,Оба пола,Tešanj,2689
2013,Број,0-4,Оба пола,Tomislavgrad,1490
2013,Број,0-4,Оба пола,Travnik,2797
2013,Број,0-4,Оба пола,Trebinje,1415
2013,Број,0-4,Оба пола,Trnovo - FBIH,40
2013,Број,0-4,Оба пола,Trnovo - RS,66
2013,Број,0-4,Оба пола,Tuzla,5105
2013,Број,0-4,Оба пола,Ugljevik,675
2013,Број,0-4,Оба пола,Usora,251
2013,Број,0-4,Оба пола,Vareš,256
2013,Број,0-4,Оба пола,Velika Kladuša,2756
2013,Број,0-4,Оба пола,Visoko,2309
2013,Број,0-4,Оба пола,Višegrad,344
2013,Број,0-4,Оба пола,Vitez,1447
2013,Број,0-4,Оба пола,Vlasenica,499
2013,Број,0-4,Оба пола,Sarajevo - Vogošća,1600
2013,Број,0-4,Оба пола,Vukosavlje,207
2013,Број,0-4,Оба пола,Zavidovići,2005
2013,Број,0-4,Оба пола,Zenica,6072
2013,Број,0-4,Оба пола,Zvornik,3061
2013,Број,0-4,Оба пола,Žepče,1657
2013,Број,0-4,Оба пола,Živinice,3389
2013,Број,5-9,Оба пола,Banja Luka,8736
2013,Број,5-9,Оба пола,Banovići,1212
2013,Број,5-9,Оба пола,Berkovići,130
2013,Број,5-9,Оба пола,Bihać,2806
2013,Број,5-9,Оба пола,Bijeljina,5136
2013,Број,5-9,Оба пола,Bileća,483
2013,Број,5-9,Оба пола,Bosanska Krupa,1495
2013,Број,5-9,Оба пола,Bosanski Petrovac,324
2013,Број,5-9,Оба пола,Bosansko Grahovo,49
2013,Број,5-9,Оба пола,Bratunac,1096
2013,Број,5-9,Оба пола,Brčko,4312
2013,Број,5-9,Оба пола,Breza,661
2013,Број,5-9,Оба пола,Brod,731
2013,Број,5-9,Оба пола,Bugojno,1681
2013,Број,5-9,Оба пола,Busovača,1079
2013,Број,5-9,Оба пола,Bužim,1345
2013,Број,5-9,Оба пола,Cazin,4192
2013,Број,5-9,Оба пола,Sarajevo - Centar,2432
2013,Број,5-9,Оба пола,Čajniče,212
2013,Број,5-9,Оба пола,Čapljina,1359
2013,Број,5-9,Оба пола,Čelić,573
2013,Број,5-9,Оба пола,Čelinac,741
2013,Број,5-9,Оба пола,Čitluk,1090
2013,Број,5-9,Оба пола,Derventa,1223
2013,Број,5-9,Оба пола,Doboj,3311
2013,Број,5-9,Оба пола,Doboj-Istok,570
2013,Број,5-9,Оба пола,Doboj-Jug,288
2013,Број,5-9,Оба пола,Dobretići,54
2013,Број,5-9,Оба пола,Domaljevac-Šamac,237
2013,Број,5-9,Оба пола,Donji Vakuf,861
2013,Број,5-9,Оба пола,Donji Žabar,185
2013,Број,5-9,Оба пола,Drvar,250
2013,Број,5-9,Оба пола,Foča - FBIH,71
2013,Број,5-9,Оба пола,Foča - RS,755
2013,Број,5-9,Оба пола,Fojnica,635
2013,Број,5-9,Оба пола,Gacko,443
2013,Број,5-9,Оба пола,Glamoč,181
2013,Број,5-9,Оба пола,Goražde,845
2013,Број,5-9,Оба пола,Gornji Vakuf-Uskoplje,1231
2013,Број,5-9,Оба пола,Gračanica,2518
2013,Број,5-9,Оба пола,Gradačac,2243
2013,Број,5-9,Оба пола,Gradiška,2295
2013,Број,5-9,Оба пола,Grude,952
2013,Број,5-9,Оба пола,Sarajevo - Hadžići,1339
2013,Број,5-9,Оба пола,Han Pijesak,130
2013,Број,5-9,Оба пола,Sarajevo - Ilidža,3664
2013,Број,5-9,Оба пола,Sarajevo - Ilijaš,1128
2013,Број,5-9,Оба пола,Istočna Ilidža,683
2013,Број,5-9,Оба пола,Istočni Drvar,1
2013,Број,5-9,Оба пола,Istočni Mostar,16
2013,Број,Total,Жене,Banja Luka,95894
2013,Број,Total,Жене,Banovići,11381
2013,Број,Total,Жене,Berkovići,1055
2013,Број,Total,Жене,Bihać,29220
2013,Број,Total,Жене,Bijeljina,54888
2013,Број,Total,Жене,Bileća,5353
2013,Број,Total,Жене,Bosanska Krupa,12997
2013,Број,Total,Жене,Bosanski Petrovac,3650
2013,Број,Total,Жене,Bosansko Grahovo,1162
2013,Број,Total,Жене,Bratunac,10249
