Year,UNIT_MEASURE,Sex,AGE,Administrative area,Value
2013,Number,Both sexes,65+,Brčko District of BiH,12136
2013,Number,Both sexes,75+,Brčko District of BiH,4869
2013,Number,M,0-4,Brčko District of BiH,2178
2013,Number,M,5-9,Brčko District of BiH,2235
2013,Number,M,10-14,Brčko District of BiH,2411
2013,Number,M,15-19,Brčko District of BiH,2719
2013,Number,M,20-24,Brčko District of BiH,2528
2013,Number,M,25-29,Brčko District of BiH,2908
2013,Number,M,30-34,Brčko District of BiH,2914
2013,Number,M,35-39,Brčko District of BiH,3125
2013,Number,M,40-44,Brčko District of BiH,3126
2013,Number,M,45-49,Brčko District of BiH,3436
2013,Number,M,50-54,Brčko District of BiH,3325
2013,Number,M,55-59,Brčko District of BiH,2862
2013,Number,M,60-64,Brčko District of BiH,2399
2013,Number,M,65-69,Brčko District of BiH,1746
2013,Number,M,70-74,Brčko District of BiH,1459
2013,Number,M,75-79,Brčko District of BiH,1143
2013,Number,M,80-84,Brčko District of BiH,513
2013,Number,M,85+,Brčko District of BiH,223
2013,Number,M,Unknown,Brčko District of BiH,0
2013,Number,M,Total,Brčko District of BiH,41250
2013,Number,M,0-14,Brčko District of BiH,6824
2013,Number,M,15-29,Brčko District of BiH,8155
2013,Number,M,15-49,Brčko District of BiH,20756
2013,Number,M,15-64,Brčko District of BiH,29342
2013,Number,M,65+,Brčko District of BiH,5084
2013,Number,M,75+,Brčko District of BiH,1879
2013,Number,F,0-4,Brčko District of BiH,1987
2013,Number,F,5-9,Brčko District of BiH,2077
2013,Number,F,10-14,Brčko District of BiH,2193
2013,Number,F,15-19,Brčko District of BiH,2604
2013,Number,F,20-24,Brčko District of BiH,2408
2013,Number,F,25-29,Brčko District of BiH,2821
2013,Number,F,30-34,Brčko District of BiH,3077
2013,Number,F,35-39,Brčko District of BiH,2981
2013,Number,F,40-44,Brčko District of BiH,3019
2013,Number,F,45-49,Brčko District of BiH,3137
2013,Number,F,50-54,Brčko District of BiH,3248
2013,Number,F,55-59,Brčko District of BiH,2913
2013,Number,F,60-64,Brčko District of BiH,2749
2013,Number,F,65-69,Brčko District of BiH,2162
2013,Number,F,70-74,Brčko District of BiH,1900
2013,Number,F,75-79,Brčko District of BiH,1720
2013,Number,F,80-84,Brčko District of BiH,887
2013,Number,F,85+,Brčko District of BiH,383
2013,Number,F,Unknown,Brčko District of BiH,0
2013,Number,F,Total,Brčko District of BiH,42266
2013,Number,F,0-14,Brčko District of BiH,6257
2013,Number,F,15-29,Brčko District of BiH,7833
2013,Number,F,15-49,Brčko District of BiH,20047
2013,Number,F,15-64,Brčko District of BiH,28957
2013,Number,F,65+,Brčko District of BiH,7052
2013,Number,F,75+,Brčko District of BiH,2990
