Year,UNIT_MEASURE,Sex,Age,Value
2017,%,F,15+,23.1
2017,%,F,15 - 24,51.4
2017,%,F,25 - 49,24.4
2017,%,F,50 - 64,13.8
2017,%,F,65+,0.0
2017,%,F,15 - 64,23.8
2017,%,Both sexes,15+,57.4
2017,%,Both sexes,15 - 24,67.5
2017,%,Both sexes,25 - 49,26.5
2017,%,Both sexes,50 - 64,56.4
2017,%,Both sexes,65+,94.8
2017,%,Both sexes,15 - 64,45.5
2017,%,M,15+,46.7
2017,%,M,15 - 24,59.8
2017,%,M,25 - 49,13.5
2017,%,M,50 - 64,43.6
2017,%,M,65+,93.1
2017,%,M,15 - 64,33.9
2017,%,F,15+,67.6
2017,%,F,15 - 24,76.6
2017,%,F,25 - 49,39.7
2017,%,F,50 - 64,68.4
2017,%,F,65+,96.1
2017,%,F,15 - 64,57.3
2018,%,Both sexes,15+,18.4
2018,%,Both sexes,15 - 24,38.8
2018,%,Both sexes,25 - 49,19.3
2018,%,Both sexes,50 - 64,11.2
2018,%,Both sexes,65+,0.0
2018,%,Both sexes,15 - 64,18.9
2018,%,M,15+,17.2
2018,%,M,15 - 24,35.4
2018,%,M,25 - 49,17.3
2018,%,M,50 - 64,11.5
2018,%,M,65+,0.0
2018,%,M,15 - 64,17.6
2018,%,F,15+,20.3
2018,%,F,15 - 24,45.5
2018,%,F,25 - 49,22.3
2018,%,F,50 - 64,10.6
2018,%,F,65+,0.0
2018,%,F,15 - 64,21.0
2018,%,Both sexes,15+,57.9
2018,%,Both sexes,15 - 24,67.7
2018,%,Both sexes,25 - 49,27.0
2018,%,Both sexes,50 - 64,55.4
2018,%,Both sexes,65+,95.3
2018,%,Both sexes,15 - 64,45.8
2018,%,M,15+,46.8
2018,%,M,15 - 24,59.6
2018,%,M,25 - 49,13.2
2018,%,M,50 - 64,42.7
2018,%,M,65+,93.8
2018,%,M,15 - 64,33.6
2018,%,F,15+,68.6
2018,%,F,15 - 24,76.9
2018,%,F,25 - 49,41.1
2018,%,F,50 - 64,67.7
2018,%,F,65+,96.4
2018,%,F,15 - 64,58.2
2019,%,Both sexes,15+,15.7
2019,%,Both sexes,15 - 24,33.8
2019,%,Both sexes,25 - 49,17.2
2019,%,Both sexes,50 - 64,9.7
2019,%,Both sexes,65+,0.0
2019,%,Both sexes,15 - 64,16.4
2019,%,M,15+,13.6
2019,%,M,15 - 24,31.3
2019,%,M,25 - 49,14.7
2019,%,M,50 - 64,8.1
2019,%,M,65+,0.0
2019,%,M,15 - 64,14.2
2019,%,F,15+,18.8
2019,%,F,15 - 24,37.9
2019,%,F,25 - 49,20.7
2019,%,F,50 - 64,12.3
2019,%,F,65+,0.0
2019,%,F,15 - 64,19.7
2019,%,Both sexes,15+,57.9
2019,%,Both sexes,15 - 24,64.6
2019,%,Both sexes,25 - 49,26.6
2019,%,Both sexes,50 - 64,53.3
2019,%,Both sexes,65+,93.1
2019,%,Both sexes,15 - 64,44.5
2019,%,M,15+,48.3
2019,%,M,15 - 24,60.2
2019,%,M,25 - 49,14.4
2019,%,M,50 - 64,39.9
2019,%,M,65+,91.2
2019,%,M,15 - 64,33.6
2019,%,F,15+,67.1
2019,%,F,15 - 24,70.1
2019,%,F,25 - 49,38.9
2019,%,F,50 - 64,65.9
2019,%,F,65+,94.7
2019,%,F,15 - 64,55.6
2006,%,Both sexes,15+,13.4
2006,%,Both sexes,15 - 24,20.8
2006,%,Both sexes,25 - 49,19.5
2006,%,Both sexes,50 - 64,6.0
2006,%,Both sexes,65+,0.2
2006,%,Both sexes,15 - 64,16.3
2006,%,M,15+,16.2
2006,%,M,15 - 24,24.1
2006,%,M,25 - 49,21.9
2006,%,M,50 - 64,9.1
2006,%,M,65+,0.5
2006,%,M,15 - 64,19.3
2006,%,F,15+,10.7
2006,%,F,15 - 24,17.3
2006,%,F,25 - 49,17.0
2006,%,F,50 - 64,3.4
2006,%,F,65+,0.0
2006,%,Both sexes,15+,13.3
2007,%,Both sexes,15+,12.7
2007,%,Both sexes,15 - 24,19.5
2007,%,Both sexes,25 - 49,18.2
2007,%,Both sexes,50 - 64,6.9
2007,%,Both sexes,65+,0.2
2007,%,Both sexes,15 - 64,15.5
2007,%,M,15+,15.4
2007,%,M,15 - 24,22.7
2007,%,M,25 - 49,20.4
2007,%,M,50 - 64,10.2
2007,%,M,65+,0.3
2007,%,M,15 - 64,18.3
2007,%,F,15+,10.2
2007,%,F,15 - 24,16.2
2007,%,F,25 - 49,16.0
2007,%,F,50 - 64,3.9
2007,%,F,65+,0.0
2007,%,Both sexes,15+,12.7
2008,%,Both sexes,15+,10.3
2008,%,Both sexes,15 - 24,15.8
2008,%,Both sexes,25 - 49,15.1
2008,%,Both sexes,50 - 64,6.2
2008,%,Both sexes,65+,0.0
2008,%,Both sexes,15 - 64,12.8
2008,%,M,15+,12.2
2008,%,M,15 - 24,17.9
2008,%,M,25 - 49,16.3
2008,%,M,50 - 64,9.3
2008,%,M,65+,0.1
2008,%,M,15 - 64,14.9
2008,%,F,15+,8.5
2008,%,F,15 - 24,13.4
2008,%,F,25 - 49,14.0
2008,%,F,50 - 64,3.3
2008,%,F,65+,0.0
2008,%,Both sexes,15+,10.8
2009,%,Both sexes,15+,10.5
2009,%,Both sexes,15 - 24,15.9
2009,%,Both sexes,25 - 49,15.6
2009,%,Both sexes,50 - 64,6.8
2009,%,Both sexes,65+,0.0
2009,%,Both sexes,15 - 64,13.0
2009,%,M,15+,13.0
2009,%,M,15 - 24,18.8
2009,%,M,25 - 49,17.8
2009,%,M,50 - 64,9.9
2009,%,M,65+,0.0
2009,%,M,15 - 64,15.8
2009,%,F,15+,8.2
2009,%,F,15 - 24,12.8
2009,%,F,25 - 49,13.4
2009,%,F,50 - 64,4.0
2009,%,F,65+,0.0
2009,%,Both sexes,15+,10.4
2010,%,Both sexes,15+,12.1
2010,%,Both sexes,15 - 24,19.0
2010,%,Both sexes,25 - 49,18.1
2010,%,Both sexes,50 - 64,7.2
2010,%,Both sexes,65+,0.1
2010,%,Both sexes,15 - 64,15.0
2010,%,M,15+,14.5
2010,%,M,15 - 24,21.9
2010,%,M,25 - 49,19.7
2010,%,M,50 - 64,10.4
2010,%,M,65+,0.0
2010,%,M,15 - 64,17.5
2010,%,F,15+,9.9
2010,%,F,15 - 24,15.9
2010,%,F,25 - 49,16.4
2010,%,F,50 - 64,4.4
2010,%,F,65+,0.1
2010,%,Both sexes,15+,12.5
2011,%,Both sexes,15+,12.1
2011,%,Both sexes,15 - 24,18.2
2011,%,Both sexes,25 - 49,18.5
2011,%,Both sexes,50 - 64,7.7
2011,%,Both sexes,65+,0.0
2011,%,Both sexes,15 - 64,15.1
2011,%,M,15+,2.7
2011,%,M,15 - 24,14.5
2011,%,M,25 - 49,6.0
2011,%,M,50 - 64,-2.5
2011,%,M,65+,-1.3
2011,%,M,15 - 64,5.0
2011,%,F,15+,21.0
2011,%,F,15 - 24,22.1
2011,%,F,25 - 49,31.6
2011,%,F,50 - 64,16.6
2011,%,F,65+,1.0
2011,%,Both sexes,15+,25.1
2012,%,Both sexes,15+,12.3
2012,%,Both sexes,15 - 24,18.5
2012,%,Both sexes,25 - 49,19.5
2012,%,Both sexes,50 - 64,7.1
2012,%,Both sexes,65+,0.2
2012,%,Both sexes,15 - 64,15.4
2012,%,M,15+,14.9
2012,%,M,15 - 24,23.6
2012,%,M,25 - 49,20.6
2012,%,M,50 - 64,9.9
2012,%,M,65+,0.4
2012,%,M,15 - 64,18.0
2012,%,F,15+,10.0
2012,%,F,15 - 24,13.4
2012,%,F,25 - 49,18.3
2012,%,F,50 - 64,4.6
2012,%,F,65+,0.0
2012,%,Both sexes,15+,12.9
2013,%,Both sexes,15+,28.9
2013,%,Both sexes,15 - 24,12.0
2013,%,Both sexes,25 - 49,16.7
2013,%,Both sexes,50 - 64,19.2
2013,%,Both sexes,65+,7.7
2013,%,Both sexes,15 - 64,0.1
2013,%,M,15+,15.0
2013,%,M,15 - 24,14.7
2013,%,M,25 - 49,21.5
2013,%,M,50 - 64,20.9
2013,%,M,65+,10.3
2013,%,M,15 - 64,0.1
2013,%,F,15+,17.8
2013,%,F,15 - 24,9.4
2013,%,F,25 - 49,11.5
2013,%,F,50 - 64,17.3
2013,%,F,65+,5.2
2013,%,Both sexes,15+,0.0
2014,%,Both sexes,15+,12.0
2014,%,Both sexes,15 - 24,18.3
2014,%,Both sexes,25 - 49,19.9
2014,%,Both sexes,50 - 64,6.9
2014,%,Both sexes,65+,0.2
2014,%,Both sexes,15 - 64,15.2
2014,%,M,15+,13.9
2014,%,M,15 - 24,21.1
2014,%,M,25 - 49,20.5
2014,%,M,50 - 64,8.9
2014,%,M,65+,0.2
2014,%,M,15 - 64,16.9
2014,%,F,15+,10.3
2014,%,F,15 - 24,15.3
2014,%,F,25 - 49,19.2
2014,%,F,50 - 64,5.1
2014,%,F,65+,0.2
2014,%,Both sexes,15+,13.5
2015,%,Both sexes,15+,12.2
2015,%,Both sexes,15 - 24,20.0
2015,%,Both sexes,25 - 49,19.7
2015,%,Both sexes,50 - 64,7.0
2015,%,Both sexes,65+,0.1
2015,%,Both sexes,15 - 64,15.4
2015,%,M,15+,14.2
2015,%,M,15 - 24,23.2
2015,%,M,25 - 49,21.0
2015,%,M,50 - 64,8.7
2015,%,M,65+,0.2
2015,%,M,15 - 64,17.4
2015,%,F,15+,10.3
2015,%,F,15 - 24,16.5
2015,%,F,25 - 49,18.4
2015,%,F,50 - 64,5.4
2015,%,F,65+,0.0
2015,%,Both sexes,15+,13.4
2016,%,Both sexes,15+,11.0
2016,%,Both sexes,15 - 24,16.4
2016,%,Both sexes,25 - 49,18.8
2016,%,Both sexes,50 - 64,6.9
2016,%,Both sexes,65+,0.4
2016,%,Both sexes,15 - 64,14.0
2016,%,M,15+,12.4
2016,%,M,15 - 24,19.9
2016,%,M,25 - 49,18.3
2016,%,M,50 - 64,8.4
2016,%,M,65+,0.6
2016,%,M,15 - 64,15.1
2016,%,F,15+,9.6
2016,%,F,15 - 24,12.5
2016,%,F,25 - 49,19.2
2016,%,F,50 - 64,5.4
2016,%,F,65+,0.2
2016,%,Both sexes,15+,12.8
2017,%,Both sexes,15+,8.8
2017,%,Both sexes,15 - 24,14.9
2017,%,Both sexes,25 - 49,15.3
2017,%,Both sexes,50 - 64,5.5
2017,%,Both sexes,65+,0.1
2017,%,Both sexes,15 - 64,11.5
2017,%,M,15+,10.1
2017,%,M,15 - 24,17.3
2017,%,M,25 - 49,16.0
2017,%,M,50 - 64,6.6
2017,%,M,65+,0.1
2017,%,M,15 - 64,12.8
2017,%,F,15+,7.5
2017,%,F,15 - 24,12.0
2017,%,F,25 - 49,14.7
2017,%,F,50 - 64,4.4
2017,%,F,65+,0.1
2017,%,Both sexes,15+,10.2
2018,%,Both sexes,15+,7.8
2018,%,Both sexes,15 - 24,12.6
2018,%,Both sexes,25 - 49,14.1
2018,%,Both sexes,50 - 64,5.0
2018,%,Both sexes,65+,0.1
2018,%,Both sexes,15 - 64,10.2
2018,%,M,15+,9.1
2018,%,M,15 - 24,14.3
2018,%,M,25 - 49,15.0
2018,%,M,50 - 64,6.6
2018,%,M,65+,0.2
2018,%,M,15 - 64,11.7
2018,%,F,15+,6.4
2018,%,F,15 - 24,10.5
2018,%,F,25 - 49,13.1
2018,%,F,50 - 64,3.4
2018,%,F,65+,0.0
2018,%,Both sexes,15+,8.8
2019,%,Both sexes,15+,6.6
2019,%,Both sexes,15 - 24,12.0
2019,%,Both sexes,25 - 49,12.7
2019,%,Both sexes,50 - 64,4.5
2019,%,Both sexes,65+,0.1
2019,%,Both sexes,15 - 64,9.1
2019,%,M,15+,7.1
2019,%,M,15 - 24,12.4
2019,%,M,25 - 49,12.6
2019,%,M,50 - 64,4.9
2019,%,M,65+,0.1
2019,%,M,15 - 64,9.4
2019,%,F,15+,6.2
2019,%,F,15 - 24,11.3
2019,%,F,25 - 49,12.6
2019,%,F,50 - 64,5.2
2019,%,F,65+,1.7
2019,%,Both sexes,15+,11.4
