Year,UNIT_MEASURE,SPOL,AGE,Entitet,Value
2013,Broj,M,72,Federacija BiH,7080
2013,Broj,M,73,Federacija BiH,7467
2013,Broj,M,74,Federacija BiH,6692
2013,Broj,M,75,Federacija BiH,6253
2013,Broj,M,76,Federacija BiH,5904
2013,Broj,M,77,Federacija BiH,5463
2013,Broj,M,78,Federacija BiH,4769
2013,Broj,M,79,Federacija BiH,4306
2013,Broj,M,80,Federacija BiH,3486
2013,Broj,M,81,Federacija BiH,3255
2013,Broj,M,82,Federacija BiH,2677
2013,Broj,M,83,Federacija BiH,2263
2013,Broj,M,84,Federacija BiH,1812
2013,Broj,M,85+,Federacija BiH,4902
2013,Broj,M,Unknown,Federacija BiH,0
2013,Broj,M,Total,Federacija BiH,1087993
2013,Broj,Ž,0,Federacija BiH,10581
2013,Broj,Ž,1,Federacija BiH,10988
2013,Broj,Ž,2,Federacija BiH,11056
2013,Broj,Ž,3,Federacija BiH,11474
2013,Broj,Ž,4,Federacija BiH,11727
2013,Broj,Ž,5,Federacija BiH,11618
2013,Broj,Ž,6,Federacija BiH,11072
2013,Broj,Ž,7,Federacija BiH,11215
2013,Broj,Ž,8,Federacija BiH,11277
2013,Broj,Ž,9,Federacija BiH,11237
2013,Broj,Ž,10,Federacija BiH,11518
2013,Broj,Ž,11,Federacija BiH,11681
2013,Broj,Ž,12,Federacija BiH,12202
2013,Broj,Ž,13,Federacija BiH,12637
2013,Broj,Ž,14,Federacija BiH,13522
2013,Broj,Ž,15,Federacija BiH,14879
2013,Broj,Ž,16,Federacija BiH,16932
2013,Broj,Ž,17,Federacija BiH,17068
2013,Broj,Ž,18,Federacija BiH,16591
2013,Broj,Ž,19,Federacija BiH,13113
2013,Broj,Ž,20,Federacija BiH,12272
2013,Broj,Ž,21,Federacija BiH,14751
2013,Broj,Ž,22,Federacija BiH,15660
2013,Broj,Ž,23,Federacija BiH,15516
2013,Broj,Ž,24,Federacija BiH,15600
2013,Broj,Ž,25,Federacija BiH,16118
2013,Broj,Ž,26,Federacija BiH,15645
2013,Broj,Ž,27,Federacija BiH,15846
2013,Broj,Ž,28,Federacija BiH,15889
2013,Broj,Ž,29,Federacija BiH,16586
2013,Broj,Ž,30,Federacija BiH,15886
2013,Broj,Ž,31,Federacija BiH,15749
2013,Broj,Ž,32,Federacija BiH,16055
2013,Broj,Ž,33,Federacija BiH,15811
2013,Broj,Ž,34,Federacija BiH,15555
2013,Broj,Ž,35,Federacija BiH,15626
2013,Broj,Ž,36,Federacija BiH,15712
2013,Broj,Ž,37,Federacija BiH,16154
2013,Broj,Ž,38,Federacija BiH,15646
2013,Broj,Ž,39,Federacija BiH,15638
2013,Broj,Ž,40,Federacija BiH,15457
2013,Broj,Ž,41,Federacija BiH,15946
2013,Broj,Ž,42,Federacija BiH,15542
2013,Broj,Ž,43,Federacija BiH,14905
2013,Broj,Ž,44,Federacija BiH,15858
2013,Broj,Ž,45,Federacija BiH,16162
2013,Broj,Ž,46,Federacija BiH,16613
2013,Broj,Ž,47,Federacija BiH,17140
2013,Broj,Ž,48,Federacija BiH,17373
2013,Broj,Ž,49,Federacija BiH,17227
2013,Broj,Ž,50,Federacija BiH,17408
2013,Broj,Ž,51,Federacija BiH,18176
2013,Broj,Ž,52,Federacija BiH,17803
2013,Broj,Ž,53,Federacija BiH,17770
2013,Broj,Ž,54,Federacija BiH,17536
2013,Broj,Ž,55,Federacija BiH,16951
2013,Broj,Ž,56,Federacija BiH,15777
2013,Broj,Ž,57,Federacija BiH,16033
2013,Broj,Ž,58,Federacija BiH,16371
2013,Broj,Ž,59,Federacija BiH,15389
2013,Broj,Ž,60,Federacija BiH,15575
2013,Broj,Ž,61,Federacija BiH,14255
2013,Broj,Ž,62,Federacija BiH,13044
2013,Broj,Ž,63,Federacija BiH,13250
2013,Broj,Ž,64,Federacija BiH,12590
2013,Broj,Ž,65,Federacija BiH,11398
2013,Broj,Ž,66,Federacija BiH,11859
2013,Broj,Ž,67,Federacija BiH,9102
2013,Broj,Ž,68,Federacija BiH,8553
2013,Broj,Ž,69,Federacija BiH,8041
2013,Broj,Ž,70,Federacija BiH,8325
2013,Broj,Ž,71,Federacija BiH,9159
2013,Broj,Ž,72,Federacija BiH,9645
2013,Broj,Ž,73,Federacija BiH,10201
2013,Broj,Ž,74,Federacija BiH,9248
2013,Broj,Ž,75,Federacija BiH,9067
2013,Broj,Ž,76,Federacija BiH,8290
2013,Broj,Ž,77,Federacija BiH,7879
2013,Broj,Ž,78,Federacija BiH,7222
2013,Broj,Ž,79,Federacija BiH,6460
2013,Broj,Ž,80,Federacija BiH,5631
2013,Broj,Ž,81,Federacija BiH,5104
2013,Broj,Ž,82,Federacija BiH,4167
2013,Broj,Ž,83,Federacija BiH,3832
2013,Broj,Ž,84,Federacija BiH,3000
2013,Broj,Ž,85+,Federacija BiH,10790
2013,Broj,Ž,Unknown,Federacija BiH,0
2013,Broj,Ž,Total,Federacija BiH,1131227
2013,Broj,Oba spola,0,Republika Srpska,10429
2013,Broj,Oba spola,1,Republika Srpska,10772
2013,Broj,Oba spola,2,Republika Srpska,10843
2013,Broj,Oba spola,3,Republika Srpska,11419
2013,Broj,Oba spola,4,Republika Srpska,11593
2013,Broj,Oba spola,5,Republika Srpska,11423
2013,Broj,Oba spola,6,Republika Srpska,11101
2013,Broj,Oba spola,7,Republika Srpska,11156
2013,Broj,Oba spola,8,Republika Srpska,11439
2013,Broj,Oba spola,9,Republika Srpska,11497
2013,Broj,Oba spola,10,Republika Srpska,11647
2013,Broj,Oba spola,11,Republika Srpska,11856
