Year,UNIT_MEASURE,Spol,Godine,Value
1981,Broj,Oba spola ili bez podjele po spolu,30,57265
1981,Broj,Oba spola ili bez podjele po spolu,31,55625
1981,Broj,Oba spola ili bez podjele po spolu,32,50152
1981,Broj,Oba spola ili bez podjele po spolu,33,46632
1981,Broj,Oba spola ili bez podjele po spolu,34,49504
1981,Broj,Oba spola ili bez podjele po spolu,35,36693
1981,Broj,Oba spola ili bez podjele po spolu,36,36263
1981,Broj,Oba spola ili bez podjele po spolu,37,37126
1981,Broj,Oba spola ili bez podjele po spolu,38,39913
1981,Broj,Oba spola ili bez podjele po spolu,39,45793
1981,Broj,Oba spola ili bez podjele po spolu,40,49958
1981,Broj,Oba spola ili bez podjele po spolu,41,52693
1981,Broj,Oba spola ili bez podjele po spolu,42,50845
1981,Broj,Oba spola ili bez podjele po spolu,43,53135
1981,Broj,Oba spola ili bez podjele po spolu,44,53909
1981,Broj,Oba spola ili bez podjele po spolu,45,53870
1981,Broj,Oba spola ili bez podjele po spolu,46,53207
1981,Broj,Oba spola ili bez podjele po spolu,47,51809
1981,Broj,Oba spola ili bez podjele po spolu,48,50023
1981,Broj,Oba spola ili bez podjele po spolu,49,46034
1981,Broj,Oba spola ili bez podjele po spolu,50,48966
1981,Broj,Oba spola ili bez podjele po spolu,51,46995
1981,Broj,Oba spola ili bez podjele po spolu,52,47799
1981,Broj,Oba spola ili bez podjele po spolu,53,42166
1981,Broj,Oba spola ili bez podjele po spolu,54,38248
1981,Broj,Oba spola ili bez podjele po spolu,55,35727
1981,Broj,Oba spola ili bez podjele po spolu,56,32192
1981,Broj,Oba spola ili bez podjele po spolu,57,29910
1981,Broj,Oba spola ili bez podjele po spolu,58,29938
1981,Broj,Oba spola ili bez podjele po spolu,59,24809
1981,Broj,Oba spola ili bez podjele po spolu,60,28495
1981,Broj,Oba spola ili bez podjele po spolu,61,24597
1981,Broj,Oba spola ili bez podjele po spolu,62,13866
1981,Broj,Oba spola ili bez podjele po spolu,63,11860
1981,Broj,Oba spola ili bez podjele po spolu,64,10839
1981,Broj,Oba spola ili bez podjele po spolu,65,14108
1981,Broj,Oba spola ili bez podjele po spolu,66,21522
1981,Broj,Oba spola ili bez podjele po spolu,67,19181
1981,Broj,Oba spola ili bez podjele po spolu,68,20595
1981,Broj,Oba spola ili bez podjele po spolu,69,16691
1981,Broj,Oba spola ili bez podjele po spolu,70,20293
1981,Broj,Oba spola ili bez podjele po spolu,71,16267
1981,Broj,Oba spola ili bez podjele po spolu,72,13683
1981,Broj,Oba spola ili bez podjele po spolu,73,14215
1981,Broj,Oba spola ili bez podjele po spolu,74,13034
1981,Broj,Oba spola ili bez podjele po spolu,75,12425
1981,Broj,Oba spola ili bez podjele po spolu,76,10471
1981,Broj,Oba spola ili bez podjele po spolu,77,8492
1981,Broj,Oba spola ili bez podjele po spolu,78,7556
1981,Broj,Oba spola ili bez podjele po spolu,79,5602
1981,Broj,Oba spola ili bez podjele po spolu,80,11337
1981,Broj,Oba spola ili bez podjele po spolu,81,4313
1981,Broj,Oba spola ili bez podjele po spolu,82,3108
1981,Broj,Oba spola ili bez podjele po spolu,83,2576
1981,Broj,Oba spola ili bez podjele po spolu,84,2235
1981,Broj,Oba spola ili bez podjele po spolu,85,2047
1981,Broj,Oba spola ili bez podjele po spolu,86,1471
1981,Broj,Oba spola ili bez podjele po spolu,87,1161
1981,Broj,Oba spola ili bez podjele po spolu,88,1460
1981,Broj,Oba spola ili bez podjele po spolu,89,742
1981,Broj,Oba spola ili bez podjele po spolu,90,909
1981,Broj,Oba spola ili bez podjele po spolu,91,475
1981,Broj,Oba spola ili bez podjele po spolu,92,527
1981,Broj,Oba spola ili bez podjele po spolu,93,334
1981,Broj,Oba spola ili bez podjele po spolu,94,363
1981,Broj,Oba spola ili bez podjele po spolu,95,300
1981,Broj,Oba spola ili bez podjele po spolu,96,219
1981,Broj,Oba spola ili bez podjele po spolu,97,195
1981,Broj,Oba spola ili bez podjele po spolu,98,183
1981,Broj,Oba spola ili bez podjele po spolu,99,103
1981,Broj,Oba spola ili bez podjele po spolu,100,106
1981,Broj,Oba spola ili bez podjele po spolu,101,0
1981,Broj,Oba spola ili bez podjele po spolu,102,0
1981,Broj,Oba spola ili bez podjele po spolu,103,0
1981,Broj,Oba spola ili bez podjele po spolu,104,0
1981,Broj,Oba spola ili bez podjele po spolu,105,0
1981,Broj,Oba spola ili bez podjele po spolu,106,0
1981,Broj,Oba spola ili bez podjele po spolu,107,0
1981,Broj,Oba spola ili bez podjele po spolu,108,0
1981,Broj,Oba spola ili bez podjele po spolu,109,0
1981,Broj,Oba spola ili bez podjele po spolu,110,0
1981,Broj,Oba spola ili bez podjele po spolu,111,0
1981,Broj,Oba spola ili bez podjele po spolu,112,0
1981,Broj,Oba spola ili bez podjele po spolu,113,0
1981,Broj,Oba spola ili bez podjele po spolu,114,0
1981,Broj,Oba spola ili bez podjele po spolu,115,0
1981,Broj,Oba spola ili bez podjele po spolu,116,0
1981,Broj,Oba spola ili bez podjele po spolu,117,0
1981,Broj,Oba spola ili bez podjele po spolu,118,0
1981,Broj,Oba spola ili bez podjele po spolu,119,0
1981,Broj,Oba spola ili bez podjele po spolu,120,0
1981,Broj,Oba spola ili bez podjele po spolu,Unknown,5666
1981,Broj,Oba spola ili bez podjele po spolu,Total,3941316
