Year,SPOL,Entity,UNIT_MEASURE,Value
2010,Ž,BiH,Age,74.5
2011,Ž,BiH,Age,75.0
2012,Ž,BiH,Age,75.3
2013,Ž,BiH,Age,75.5
2014,Ž,BiH,Age,75.8
2015,Ž,BiH,Age,76.1
2016,Ž,BiH,Age,76.2
2017,Ž,BiH,Age,76.5
2018,Ž,BiH,Age,76.8
2019,Ž,BiH,Age,76.9
1997,Oba spola,FBIH,Age,64.3
1998,Oba spola,FBIH,Age,63.8
1999,Oba spola,FBIH,Age,65.7
2000,Oba spola,FBIH,Age,66.5
2001,Oba spola,FBIH,Age,67.1
2002,Oba spola,FBIH,Age,67.3
2003,Oba spola,FBIH,Age,68.2
2004,Oba spola,FBIH,Age,68.6
2005,Oba spola,FBIH,Age,69.1
2006,Oba spola,FBIH,Age,69.0
2007,Oba spola,FBIH,Age,69.3
2008,Oba spola,FBIH,Age,69.5
2009,Oba spola,FBIH,Age,70.2
2010,Oba spola,FBIH,Age,70.5
2011,Oba spola,FBIH,Age,70.8
2012,Oba spola,FBIH,Age,71.3
2013,Oba spola,FBIH,Age,71.6
2014,Oba spola,FBIH,Age,72.0
2015,Oba spola,FBIH,Age,72.3
2016,Oba spola,FBIH,Age,72.3
2017,Oba spola,FBIH,Age,72.5
2018,Oba spola,FBIH,Age,73.0
2019,Oba spola,FBIH,Age,73.0
1997,M,FBIH,Age,61.6
1998,M,FBIH,Age,61.3
1999,M,FBIH,Age,63.2
2000,M,FBIH,Age,64.1
2001,M,FBIH,Age,64.5
2002,M,FBIH,Age,64.6
2003,M,FBIH,Age,65.5
2004,M,FBIH,Age,66.0
2005,M,FBIH,Age,66.4
2006,M,FBIH,Age,66.5
2007,M,FBIH,Age,66.8
2008,M,FBIH,Age,66.7
2009,M,FBIH,Age,67.5
2010,M,FBIH,Age,67.7
2011,M,FBIH,Age,68.2
2012,M,FBIH,Age,68.9
2013,M,FBIH,Age,69.0
2014,M,FBIH,Age,69.4
2015,M,FBIH,Age,69.6
2016,M,FBIH,Age,69.7
2017,M,FBIH,Age,70.1
2018,M,FBIH,Age,70.5
2019,M,FBIH,Age,70.5
1997,Ž,FBIH,Age,67.5
1998,Ž,FBIH,Age,66.8
1999,Ž,FBIH,Age,68.5
2000,Ž,FBIH,Age,69.3
2001,Ž,FBIH,Age,69.9
2002,Ž,FBIH,Age,70.3
2003,Ž,FBIH,Age,71.1
2004,Ž,FBIH,Age,71.3
2005,Ž,FBIH,Age,72.0
2006,Ž,FBIH,Age,71.7
2007,Ž,FBIH,Age,72.0
2008,Ž,FBIH,Age,72.5
2009,Ž,FBIH,Age,73.0
2010,Ž,FBIH,Age,73.3
2011,Ž,FBIH,Age,73.7
2012,Ž,FBIH,Age,74.1
2013,Ž,FBIH,Age,74.3
2014,Ž,FBIH,Age,74.7
2015,Ž,FBIH,Age,75.0
2016,Ž,FBIH,Age,74.9
2017,Ž,FBIH,Age,75.0
2018,Ž,FBIH,Age,75.5
2019,Ž,FBIH,Age,75.6
2010,Oba spola,RS,Age,72.1
2011,Oba spola,RS,Age,72.5
2012,Oba spola,RS,Age,73.0
2013,Oba spola,RS,Age,73.0
2014,Oba spola,RS,Age,73.0
2015,Oba spola,RS,Age,73.7
2016,Oba spola,RS,Age,73.8
2017,Oba spola,RS,Age,74.5
2018,Oba spola,RS,Age,74.5
2019,Oba spola,RS,Age,74.5
1998,M,RS,Age,64.9
2000,M,RS,Age,65.2
2001,M,RS,Age,66.5
2002,M,RS,Age,66.3
2003,M,RS,Age,67.0
2004,M,RS,Age,67.0
2005,M,RS,Age,67.3
2006,M,RS,Age,67.6
2007,M,RS,Age,68.2
2008,M,RS,Age,68.3
2009,M,RS,Age,68.9
2010,M,RS,Age,69.4
2011,M,RS,Age,69.6
2012,M,RS,Age,70.1
2013,M,RS,Age,70.1
2014,M,RS,Age,70.5
2015,M,RS,Age,71.0
2016,M,RS,Age,71.0
2017,M,RS,Age,71.6
2018,M,RS,Age,71.6
2019,Ž,RS,Age,71.7
1998,Ž,RS,Age,70.8
2000,Ž,RS,Age,71.2
2001,Ž,RS,Age,71.3
2002,Ž,RS,Age,72.0
2003,Ž,RS,Age,72.0
2004,Ž,RS,Age,72.0
2005,Ž,RS,Age,72.5
2006,Ž,RS,Age,73.1
2007,Ž,RS,Age,74.0
2008,Ž,RS,Age,74.3
2009,Ž,RS,Age,74.4
2010,Ž,RS,Age,74.9
2011,Ž,RS,Age,75.5
2012,Ž,RS,Age,76.1
2013,Ž,RS,Age,76.0
2014,Ž,RS,Age,76.1
2015,Ž,RS,Age,76.5
2016,Ž,RS,Age,76.9
2017,Ž,RS,Age,77.4
2018,Ž,RS,Age,77.4
2019,Ž,RS,Age,77.4
2004,Oba spola,BD,Age,70.6
2005,Oba spola,BD,Age,71.2
2006,Oba spola,BD,Age,71.5
2007,Oba spola,BD,Age,70.3
2008,Oba spola,BD,Age,70.7
2009,Oba spola,BD,Age,71.5
2010,Oba spola,BD,Age,72.1
2011,Oba spola,BD,Age,73.3
2012,Oba spola,BD,Age,70.9
2013,Oba spola,BD,Age,73.2
2014,Oba spola,BD,Age,71.7
2015,Oba spola,BD,Age,76.2
2016,Oba spola,BD,Age,75.3
2017,Oba spola,BD,Age,75.5
2018,Oba spola,BD,Age,75.2
2019,Oba spola,BD,Age,75.8
2004,M,BD,Age,68.1
2005,M,BD,Age,68.4
2006,M,BD,Age,68.5
2007,M,BD,Age,67.7
2008,M,BD,Age,67.1
2009,M,BD,Age,70.6
2010,M,BD,Age,69.8
2011,M,BD,Age,69.9
2012,M,BD,Age,69.1
2013,M,BD,Age,70.8
2014,M,BD,Age,69.1
2015,M,BD,Age,74.8
2016,M,BD,Age,72.9
2017,M,BD,Age,73.5
2018,M,BD,Age,71.1
2019,M,BD,Age,74.0
2004,Ž,BD,Age,73.2
2005,Ž,BD,Age,74.1
2006,Ž,BD,Age,74.8
2007,Ž,BD,Age,73.0
2008,Ž,BD,Age,74.7
2009,Ž,BD,Age,74.3
2010,Ž,BD,Age,75.0
2011,Ž,BD,Age,75.7
2012,Ž,BD,Age,72.6
2013,Ž,BD,Age,75.7
2014,Ž,BD,Age,74.4
2015,Ž,BD,Age,77.7
2016,Ž,BD,Age,78.1
2017,Ž,BD,Age,77.5
2018,Ž,BD,Age,77.3
2019,Ž,BD,Age,77.6
