Year,UNIT_MEASURE,Spol,Godine,Municipality,Value
2013,Broj,Oba spola,75-79,Bijeljina,4256
2013,Broj,Oba spola,80-84,Bijeljina,2113
2013,Broj,Oba spola,85+,Bijeljina,804
2013,Broj,Oba spola,Total,Bijeljina,107715
2013,Broj,Oba spola,0-4,Brčko,4165
2013,Broj,Oba spola,5-9,Brčko,4312
2013,Broj,Oba spola,10-14,Brčko,4604
2013,Broj,Oba spola,15-19,Brčko,5323
2013,Broj,Oba spola,20-24,Brčko,4936
2013,Broj,Oba spola,25-29,Brčko,5729
2013,Broj,Oba spola,30-34,Brčko,5991
2013,Broj,Oba spola,35-39,Brčko,6106
2013,Broj,Oba spola,40-44,Brčko,6145
2013,Broj,Oba spola,45-49,Brčko,6573
2013,Broj,Oba spola,50-54,Brčko,6573
2013,Broj,Oba spola,55-59,Brčko,5775
2013,Broj,Oba spola,60-64,Brčko,5148
2013,Broj,Oba spola,65-69,Brčko,3908
2013,Broj,Oba spola,70-74,Brčko,3359
2013,Broj,Oba spola,75-79,Brčko,2863
2013,Broj,Oba spola,80-84,Brčko,1400
2013,Broj,Oba spola,85+,Brčko,606
2013,Broj,Oba spola,Total,Brčko,83516
2013,Broj,Oba spola,0-4,Bugojno,1484
2013,Broj,Oba spola,5-9,Bugojno,1681
2013,Broj,Oba spola,10-14,Bugojno,1874
2013,Broj,Oba spola,15-19,Bugojno,2480
2013,Broj,Oba spola,20-24,Bugojno,2252
2013,Broj,Oba spola,25-29,Bugojno,2365
2013,Broj,Oba spola,30-34,Bugojno,2247
2013,Broj,Oba spola,35-39,Bugojno,2325
2013,Broj,Oba spola,40-44,Bugojno,2301
2013,Broj,Oba spola,45-49,Bugojno,2412
2013,Broj,Oba spola,50-54,Bugojno,2387
2013,Broj,Oba spola,55-59,Bugojno,2138
2013,Broj,Oba spola,60-64,Bugojno,1661
2013,Broj,Oba spola,65-69,Bugojno,1165
2013,Broj,Oba spola,70-74,Bugojno,1210
2013,Broj,Oba spola,75-79,Bugojno,843
2013,Broj,Oba spola,80-84,Bugojno,463
2013,Broj,Oba spola,85+,Bugojno,182
2013,Broj,Oba spola,Total,Bugojno,31470
2013,Broj,Oba spola,0-4,Cazin,3940
2013,Broj,Oba spola,5-9,Cazin,4192
2013,Broj,Oba spola,10-14,Cazin,4356
2013,Broj,Oba spola,15-19,Cazin,4948
2013,Broj,Oba spola,20-24,Cazin,5049
2013,Broj,Oba spola,25-29,Cazin,5415
2013,Broj,Oba spola,30-34,Cazin,5425
2013,Broj,Oba spola,35-39,Cazin,5606
2013,Broj,Oba spola,40-44,Cazin,5482
2013,Broj,Oba spola,45-49,Cazin,5175
2013,Broj,Oba spola,50-54,Cazin,4738
2013,Broj,Oba spola,55-59,Cazin,3514
2013,Broj,Oba spola,60-64,Cazin,2694
2013,Broj,Oba spola,65-69,Cazin,2024
2013,Broj,Oba spola,70-74,Cazin,1763
2013,Broj,Oba spola,75-79,Cazin,1116
2013,Broj,Oba spola,80-84,Cazin,520
2013,Broj,Oba spola,85+,Cazin,192
2013,Broj,Oba spola,Total,Cazin,66149
2013,Broj,Oba spola,0-4,Centar Sarajevo,2588
2013,Broj,Oba spola,5-9,Centar Sarajevo,2432
2013,Broj,Oba spola,10-14,Centar Sarajevo,2392
2013,Broj,Oba spola,15-19,Centar Sarajevo,3158
2013,Broj,Oba spola,20-24,Centar Sarajevo,2985
2013,Broj,Oba spola,25-29,Centar Sarajevo,3995
2013,Broj,Oba spola,30-34,Centar Sarajevo,4122
2013,Broj,Oba spola,35-39,Centar Sarajevo,3730
2013,Broj,Oba spola,40-44,Centar Sarajevo,3429
2013,Broj,Oba spola,45-49,Centar Sarajevo,3675
2013,Broj,Oba spola,50-54,Centar Sarajevo,4111
2013,Broj,Oba spola,55-59,Centar Sarajevo,4539
2013,Broj,Oba spola,60-64,Centar Sarajevo,4097
2013,Broj,Oba spola,65-69,Centar Sarajevo,2905
2013,Broj,Oba spola,70-74,Centar Sarajevo,2572
2013,Broj,Oba spola,75-79,Centar Sarajevo,2282
2013,Broj,Oba spola,80-84,Centar Sarajevo,1399
2013,Broj,Oba spola,85+,Centar Sarajevo,770
2013,Broj,Oba spola,Total,Centar Sarajevo,55181
2013,Broj,Oba spola,0-4,Doboj,3330
2013,Broj,Oba spola,5-9,Doboj,3311
2013,Broj,Oba spola,10-14,Doboj,3468
2013,Broj,Oba spola,15-19,Doboj,4201
2013,Broj,Oba spola,20-24,Doboj,3923
2013,Broj,Oba spola,25-29,Doboj,4554
2013,Broj,Oba spola,30-34,Doboj,5017
2013,Broj,Oba spola,35-39,Doboj,5038
2013,Broj,Oba spola,40-44,Doboj,4395
2013,Broj,Oba spola,45-49,Doboj,4913
2013,Broj,Oba spola,50-54,Doboj,5589
2013,Broj,Oba spola,55-59,Doboj,5641
2013,Broj,Oba spola,60-64,Doboj,5462
2013,Broj,Oba spola,65-69,Doboj,3765
2013,Broj,Oba spola,70-74,Doboj,3679
2013,Broj,Oba spola,75-79,Doboj,2937
2013,Broj,Oba spola,80-84,Doboj,1570
2013,Broj,Oba spola,85+,Doboj,648
2013,Broj,Oba spola,Total,Doboj,71441
2013,Broj,Oba spola,0-4,Gračanica,2600
2013,Broj,Oba spola,5-9,Gračanica,2518
2013,Broj,Oba spola,10-14,Gračanica,2542
2013,Broj,Oba spola,15-19,Gračanica,3313
2013,Broj,Oba spola,20-24,Gračanica,3206
2013,Broj,Oba spola,25-29,Gračanica,3286
2013,Broj,Oba spola,30-34,Gračanica,3234
2013,Broj,Oba spola,35-39,Gračanica,3119
2013,Broj,Oba spola,40-44,Gračanica,3226
2013,Broj,Oba spola,45-49,Gračanica,3435
2013,Broj,Oba spola,50-54,Gračanica,3546
2013,Broj,Oba spola,55-59,Gračanica,3043
2013,Broj,Oba spola,60-64,Gračanica,2716
2013,Broj,Oba spola,65-69,Gračanica,1965
2013,Broj,Oba spola,70-74,Gračanica,1617
2013,Broj,Oba spola,75-79,Gračanica,1095
2013,Broj,Oba spola,80-84,Gračanica,542
2013,Broj,Oba spola,85+,Gračanica,217
2013,Broj,Oba spola,Total,Gračanica,45220
2013,Broj,Oba spola,0-4,Gradačac,2100
2013,Broj,Oba spola,5-9,Gradačac,2243
2013,Broj,Oba spola,10-14,Gradačac,2398
2013,Broj,Oba spola,15-19,Gradačac,3118
2013,Broj,Oba spola,20-24,Gradačac,2535
2013,Broj,Oba spola,25-29,Gradačac,2653
2013,Broj,Oba spola,30-34,Gradačac,2710
2013,Broj,Oba spola,35-39,Gradačac,2838
2013,Broj,Oba spola,40-44,Gradačac,3003
2013,Broj,Oba spola,45-49,Gradačac,3002
2013,Broj,Oba spola,50-54,Gradačac,2906
2013,Broj,Oba spola,55-59,Gradačac,2538
2013,Broj,Oba spola,60-64,Gradačac,2267
2013,Broj,Oba spola,65-69,Gradačac,1859
2013,Broj,Oba spola,70-74,Gradačac,1350
2013,Broj,Oba spola,75-79,Gradačac,1048
2013,Broj,Oba spola,80-84,Gradačac,527
2013,Broj,Oba spola,85+,Gradačac,245
2013,Broj,Oba spola,Total,Gradačac,39340
2013,Broj,Oba spola,0-4,Gradiška,2092
2013,Broj,Oba spola,5-9,Gradiška,2295
2013,Broj,Oba spola,10-14,Gradiška,2510
2013,Broj,Oba spola,15-19,Gradiška,3288
2013,Broj,Oba spola,20-24,Gradiška,2897
2013,Broj,Oba spola,25-29,Gradiška,3201
2013,Broj,Oba spola,30-34,Gradiška,3501
2013,Broj,Oba spola,35-39,Gradiška,3448
2013,Broj,Oba spola,40-44,Gradiška,3369
2013,Broj,Oba spola,45-49,Gradiška,3609
2013,Broj,Oba spola,50-54,Gradiška,3780
2013,Broj,Oba spola,55-59,Gradiška,4300
2013,Broj,Oba spola,60-64,Gradiška,4296
2013,Broj,Oba spola,65-69,Gradiška,2843
2013,Broj,Oba spola,70-74,Gradiška,2391
2013,Broj,Oba spola,75-79,Gradiška,2096
2013,Broj,Oba spola,80-84,Gradiška,1193
2013,Broj,Oba spola,85+,Gradiška,618
2013,Broj,Oba spola,Total,Gradiška,51727
2013,Broj,Oba spola,0-4,Ilidža,3915
2013,Broj,Oba spola,5-9,Ilidža,3664
2013,Broj,Oba spola,10-14,Ilidža,3675
2013,Broj,Oba spola,15-19,Ilidža,4839
2013,Broj,Oba spola,20-24,Ilidža,4537
2013,Broj,Oba spola,25-29,Ilidža,5189
2013,Broj,Oba spola,30-34,Ilidža,5463
2013,Broj,Oba spola,35-39,Ilidža,4766
2013,Broj,Oba spola,40-44,Ilidža,4564
2013,Broj,Oba spola,45-49,Ilidža,4805
2013,Broj,Oba spola,50-54,Ilidža,5065
2013,Broj,Oba spola,55-59,Ilidža,4655
2013,Broj,Oba spola,60-64,Ilidža,3832
2013,Broj,Oba spola,65-69,Ilidža,2498
2013,Broj,Oba spola,70-74,Ilidža,2175
2013,Broj,Oba spola,75-79,Ilidža,1853
2013,Broj,Oba spola,80-84,Ilidža,890
2013,Broj,Oba spola,85+,Ilidža,345
2013,Broj,Oba spola,Total,Ilidža,66730
2013,Broj,Oba spola,0-4,Kakanj,2102
2013,Broj,Oba spola,5-9,Kakanj,2134
2013,Broj,Oba spola,10-14,Kakanj,2211
2013,Broj,Oba spola,15-19,Kakanj,2929
2013,Broj,Oba spola,20-24,Kakanj,2740
2013,Broj,Oba spola,25-29,Kakanj,2882
2013,Broj,Oba spola,30-34,Kakanj,2709
2013,Broj,Oba spola,35-39,Kakanj,2483
2013,Broj,Oba spola,40-44,Kakanj,2585
2013,Broj,Oba spola,45-49,Kakanj,2863
2013,Broj,Oba spola,50-54,Kakanj,3055
2013,Broj,Oba spola,55-59,Kakanj,2527
2013,Broj,Oba spola,60-64,Kakanj,2071
2013,Broj,Oba spola,65-69,Kakanj,1354
2013,Broj,Oba spola,70-74,Kakanj,1234
2013,Broj,Oba spola,75-79,Kakanj,936
2013,Broj,Oba spola,80-84,Kakanj,458
2013,Broj,Oba spola,85+,Kakanj,168
2013,Broj,Oba spola,Total,Kakanj,37441
2013,Broj,Oba spola,0-4,Kalesija,1841
2013,Broj,Oba spola,5-9,Kalesija,1900
2013,Broj,Oba spola,10-14,Kalesija,2073
2013,Broj,Oba spola,15-19,Kalesija,2670
2013,Broj,Oba spola,20-24,Kalesija,2617
2013,Broj,Oba spola,25-29,Kalesija,2638
2013,Broj,Oba spola,30-34,Kalesija,2364
2013,Broj,Oba spola,35-39,Kalesija,2478
2013,Broj,Oba spola,40-44,Kalesija,2511
2013,Broj,Oba spola,45-49,Kalesija,2661
2013,Broj,Oba spola,50-54,Kalesija,2670
2013,Broj,Oba spola,55-59,Kalesija,2195
2013,Broj,Oba spola,60-64,Kalesija,1679
2013,Broj,Oba spola,65-69,Kalesija,1025
2013,Broj,Oba spola,70-74,Kalesija,814
2013,Broj,Oba spola,75-79,Kalesija,533
2013,Broj,Oba spola,80-84,Kalesija,267
2013,Broj,Oba spola,85+,Kalesija,117
2013,Broj,Oba spola,Total,Kalesija,33053
2013,Broj,Oba spola,0-4,Laktaši,1687
2013,Broj,Oba spola,5-9,Laktaši,1873
2013,Broj,Oba spola,10-14,Laktaši,1940
2013,Broj,Oba spola,15-19,Laktaši,2190
2013,Broj,Oba spola,20-24,Laktaši,2059
2013,Broj,Oba spola,25-29,Laktaši,2445
2013,Broj,Oba spola,30-34,Laktaši,2476
2013,Broj,Oba spola,35-39,Laktaši,2513
2013,Broj,Oba spola,40-44,Laktaši,2365
2013,Broj,Oba spola,45-49,Laktaši,2432
2013,Broj,Oba spola,50-54,Laktaši,2617
2013,Broj,Oba spola,55-59,Laktaši,2630
2013,Broj,Oba spola,60-64,Laktaši,2438
2013,Broj,Oba spola,65-69,Laktaši,1684
2013,Broj,Oba spola,70-74,Laktaši,1509
2013,Broj,Oba spola,75-79,Laktaši,1142
2013,Broj,Oba spola,80-84,Laktaši,668
2013,Broj,Oba spola,85+,Laktaši,298
2013,Broj,Oba spola,Total,Laktaši,34966
2013,Broj,Oba spola,0-4,Livno,1334
2013,Broj,Oba spola,5-9,Livno,1465
2013,Broj,Oba spola,10-14,Livno,1790
2013,Broj,Oba spola,15-19,Livno,2423
2013,Broj,Oba spola,20-24,Livno,2283
2013,Broj,Oba spola,25-29,Livno,2355
2013,Broj,Oba spola,30-34,Livno,2270
2013,Broj,Oba spola,35-39,Livno,2330
2013,Broj,Oba spola,40-44,Livno,2567
2013,Broj,Oba spola,45-49,Livno,2619
2013,Broj,Oba spola,50-54,Livno,2616
2013,Broj,Oba spola,55-59,Livno,2371
2013,Broj,Oba spola,60-64,Livno,2055
2013,Broj,Oba spola,65-69,Livno,1628
2013,Broj,Oba spola,70-74,Livno,1582
2013,Broj,Oba spola,75-79,Livno,1253
2013,Broj,Oba spola,80-84,Livno,788
2013,Broj,Oba spola,85+,Livno,404
2013,Broj,Oba spola,Total,Livno,34133
2013,Broj,Oba spola,0-4,Lukavac,1968
2013,Broj,Oba spola,5-9,Lukavac,1892
2013,Broj,Oba spola,10-14,Lukavac,2162
2013,Broj,Oba spola,15-19,Lukavac,3047
2013,Broj,Oba spola,20-24,Lukavac,2970
2013,Broj,Oba spola,25-29,Lukavac,3255
2013,Broj,Oba spola,30-34,Lukavac,2959
2013,Broj,Oba spola,35-39,Lukavac,2946
2013,Broj,Oba spola,40-44,Lukavac,3009
2013,Broj,Oba spola,45-49,Lukavac,3542
2013,Broj,Oba spola,50-54,Lukavac,4135
2013,Broj,Oba spola,55-59,Lukavac,3568
2013,Broj,Oba spola,60-64,Lukavac,2943
2013,Broj,Oba spola,65-69,Lukavac,2022
2013,Broj,Oba spola,70-74,Lukavac,1739
2013,Broj,Oba spola,75-79,Lukavac,1357
2013,Broj,Oba spola,80-84,Lukavac,762
2013,Broj,Oba spola,85+,Lukavac,244
2013,Broj,Oba spola,Total,Lukavac,44520
2013,Broj,Oba spola,0-4,Mostar,5335
2013,Broj,Oba spola,5-9,Mostar,4889
2013,Broj,Oba spola,10-14,Mostar,5481
2013,Broj,Oba spola,15-19,Mostar,7793
2013,Broj,Oba spola,20-24,Mostar,6871
2013,Broj,Oba spola,25-29,Mostar,7781
2013,Broj,Oba spola,30-34,Mostar,7762
2013,Broj,Oba spola,35-39,Mostar,7111
2013,Broj,Oba spola,40-44,Mostar,6765
2013,Broj,Oba spola,45-49,Mostar,7497
2013,Broj,Oba spola,50-54,Mostar,8226
2013,Broj,Oba spola,55-59,Mostar,7691
2013,Broj,Oba spola,60-64,Mostar,6387
2013,Broj,Oba spola,65-69,Mostar,4386
2013,Broj,Oba spola,70-74,Mostar,4493
2013,Broj,Oba spola,75-79,Mostar,3887
2013,Broj,Oba spola,80-84,Mostar,2290
2013,Broj,Oba spola,85+,Mostar,1152
2013,Broj,Oba spola,Total,Mostar,105797
2013,Broj,Oba spola,0-4,Novi Grad Sarajevo,6754
2013,Broj,Oba spola,5-9,Novi Grad Sarajevo,6046
2013,Broj,Oba spola,10-14,Novi Grad Sarajevo,5961
2013,Broj,Oba spola,15-19,Novi Grad Sarajevo,7216
2013,Broj,Oba spola,20-24,Novi Grad Sarajevo,6821
2013,Broj,Oba spola,25-29,Novi Grad Sarajevo,9236
2013,Broj,Oba spola,30-34,Novi Grad Sarajevo,10261
2013,Broj,Oba spola,35-39,Novi Grad Sarajevo,9451
2013,Broj,Oba spola,40-44,Novi Grad Sarajevo,7789
2013,Broj,Oba spola,45-49,Novi Grad Sarajevo,8130
2013,Broj,Oba spola,50-54,Novi Grad Sarajevo,8559
2013,Broj,Oba spola,55-59,Novi Grad Sarajevo,8642
2013,Broj,Oba spola,60-64,Novi Grad Sarajevo,7928
2013,Broj,Oba spola,65-69,Novi Grad Sarajevo,5096
2013,Broj,Oba spola,70-74,Novi Grad Sarajevo,4430
2013,Broj,Oba spola,75-79,Novi Grad Sarajevo,3664
2013,Broj,Oba spola,80-84,Novi Grad Sarajevo,1834
2013,Broj,Oba spola,85+,Novi Grad Sarajevo,735
2013,Broj,Oba spola,Total,Novi Grad Sarajevo,118553
2013,Broj,Oba spola,0-4,Novo Sarajevo,3295
2013,Broj,Oba spola,5-9,Novo Sarajevo,2736
2013,Broj,Oba spola,10-14,Novo Sarajevo,2837
2013,Broj,Oba spola,15-19,Novo Sarajevo,3701
2013,Broj,Oba spola,20-24,Novo Sarajevo,3789
2013,Broj,Oba spola,25-29,Novo Sarajevo,5196
2013,Broj,Oba spola,30-34,Novo Sarajevo,5296
2013,Broj,Oba spola,35-39,Novo Sarajevo,4614
2013,Broj,Oba spola,40-44,Novo Sarajevo,4120
2013,Broj,Oba spola,45-49,Novo Sarajevo,4490
2013,Broj,Oba spola,50-54,Novo Sarajevo,4908
2013,Broj,Oba spola,55-59,Novo Sarajevo,4877
2013,Broj,Oba spola,60-64,Novo Sarajevo,4292
2013,Broj,Oba spola,65-69,Novo Sarajevo,2828
2013,Broj,Oba spola,70-74,Novo Sarajevo,2634
2013,Broj,Oba spola,75-79,Novo Sarajevo,2731
2013,Broj,Oba spola,80-84,Novo Sarajevo,1651
2013,Broj,Oba spola,85+,Novo Sarajevo,819
2013,Broj,Oba spola,Total,Novo Sarajevo,64814
2013,Broj,Oba spola,0-4,Prijedor,3468
2013,Broj,Oba spola,5-9,Prijedor,3708
2013,Broj,Oba spola,10-14,Prijedor,4194
2013,Broj,Oba spola,15-19,Prijedor,5681
2013,Broj,Oba spola,20-24,Prijedor,5504
2013,Broj,Oba spola,25-29,Prijedor,6216
2013,Broj,Oba spola,30-34,Prijedor,6213
2013,Broj,Oba spola,35-39,Prijedor,6499
2013,Broj,Oba spola,40-44,Prijedor,6233
2013,Broj,Oba spola,45-49,Prijedor,6999
2013,Broj,Oba spola,50-54,Prijedor,7244
2013,Broj,Oba spola,55-59,Prijedor,6806
2013,Broj,Oba spola,60-64,Prijedor,6207
2013,Broj,Oba spola,65-69,Prijedor,4195
2013,Broj,Oba spola,70-74,Prijedor,4134
2013,Broj,Oba spola,75-79,Prijedor,3572
2013,Broj,Oba spola,80-84,Prijedor,1739
2013,Broj,Oba spola,85+,Prijedor,785
2013,Broj,Oba spola,Total,Prijedor,89397
2013,Broj,Oba spola,0-4,Prnjavor,1600
2013,Broj,Oba spola,5-9,Prnjavor,1633
2013,Broj,Oba spola,10-14,Prnjavor,1930
2013,Broj,Oba spola,15-19,Prnjavor,2388
2013,Broj,Oba spola,20-24,Prnjavor,1952
2013,Broj,Oba spola,25-29,Prnjavor,2124
2013,Broj,Oba spola,30-34,Prnjavor,2268
2013,Broj,Oba spola,35-39,Prnjavor,2538
2013,Broj,Oba spola,40-44,Prnjavor,2342
2013,Broj,Oba spola,45-49,Prnjavor,2458
2013,Broj,Oba spola,50-54,Prnjavor,2618
2013,Broj,Oba spola,55-59,Prnjavor,2607
2013,Broj,Oba spola,60-64,Prnjavor,2619
2013,Broj,Oba spola,65-69,Prnjavor,2129
2013,Broj,Oba spola,70-74,Prnjavor,2047
2013,Broj,Oba spola,75-79,Prnjavor,1524
2013,Broj,Oba spola,80-84,Prnjavor,821
2013,Broj,Oba spola,85+,Prnjavor,358
2013,Broj,Oba spola,Total,Prnjavor,35956
2013,Broj,Oba spola,0-4,Sanski Most,1681
2013,Broj,Oba spola,5-9,Sanski Most,1975
2013,Broj,Oba spola,10-14,Sanski Most,2473
2013,Broj,Oba spola,15-19,Sanski Most,3121
2013,Broj,Oba spola,20-24,Sanski Most,2644
2013,Broj,Oba spola,25-29,Sanski Most,3049
2013,Broj,Oba spola,30-34,Sanski Most,3017
2013,Broj,Oba spola,35-39,Sanski Most,3345
2013,Broj,Oba spola,40-44,Sanski Most,3389
2013,Broj,Oba spola,45-49,Sanski Most,3424
2013,Broj,Oba spola,50-54,Sanski Most,3391
2013,Broj,Oba spola,55-59,Sanski Most,2881
2013,Broj,Oba spola,60-64,Sanski Most,2338
2013,Broj,Oba spola,65-69,Sanski Most,1546
2013,Broj,Oba spola,70-74,Sanski Most,1403
2013,Broj,Oba spola,75-79,Sanski Most,1042
2013,Broj,Oba spola,80-84,Sanski Most,541
2013,Broj,Oba spola,85+,Sanski Most,215
2013,Broj,Oba spola,Total,Sanski Most,41475
2013,Broj,Oba spola,0-4,Srebrenik,2214
2013,Broj,Oba spola,5-9,Srebrenik,2201
2013,Broj,Oba spola,10-14,Srebrenik,2308
2013,Broj,Oba spola,15-19,Srebrenik,2934
2013,Broj,Oba spola,20-24,Srebrenik,2915
2013,Broj,Oba spola,25-29,Srebrenik,2952
2013,Broj,Oba spola,30-34,Srebrenik,2859
2013,Broj,Oba spola,35-39,Srebrenik,2798
2013,Broj,Oba spola,40-44,Srebrenik,2962
2013,Broj,Oba spola,45-49,Srebrenik,2944
2013,Broj,Oba spola,50-54,Srebrenik,3106
2013,Broj,Oba spola,55-59,Srebrenik,2678
2013,Broj,Oba spola,60-64,Srebrenik,2242
2013,Broj,Oba spola,65-69,Srebrenik,1636
2013,Broj,Oba spola,70-74,Srebrenik,1259
2013,Broj,Oba spola,75-79,Srebrenik,963
2013,Broj,Oba spola,80-84,Srebrenik,501
2013,Broj,Oba spola,85+,Srebrenik,206
2013,Broj,Oba spola,Total,Srebrenik,39678
2013,Broj,Oba spola,0-4,Stari Grad Sarajevo,1623
2013,Broj,Oba spola,5-9,Stari Grad Sarajevo,1593
2013,Broj,Oba spola,10-14,Stari Grad Sarajevo,1781
2013,Broj,Oba spola,15-19,Stari Grad Sarajevo,2301
2013,Broj,Oba spola,20-24,Stari Grad Sarajevo,2178
2013,Broj,Oba spola,25-29,Stari Grad Sarajevo,2822
2013,Broj,Oba spola,30-34,Stari Grad Sarajevo,2732
2013,Broj,Oba spola,35-39,Stari Grad Sarajevo,2445
2013,Broj,Oba spola,40-44,Stari Grad Sarajevo,2104
2013,Broj,Oba spola,45-49,Stari Grad Sarajevo,2464
2013,Broj,Oba spola,50-54,Stari Grad Sarajevo,2918
2013,Broj,Oba spola,55-59,Stari Grad Sarajevo,3215
2013,Broj,Oba spola,60-64,Stari Grad Sarajevo,2846
2013,Broj,Oba spola,65-69,Stari Grad Sarajevo,1828
2013,Broj,Oba spola,70-74,Stari Grad Sarajevo,1568
2013,Broj,Oba spola,75-79,Stari Grad Sarajevo,1399
2013,Broj,Oba spola,80-84,Stari Grad Sarajevo,746
2013,Broj,Oba spola,85+,Stari Grad Sarajevo,413
2013,Broj,Oba spola,Total,Stari Grad Sarajevo,36976
2013,Broj,Oba spola,0-4,Teslić,1969
2013,Broj,Oba spola,5-9,Teslić,1957
2013,Broj,Oba spola,10-14,Teslić,2132
2013,Broj,Oba spola,15-19,Teslić,2567
2013,Broj,Oba spola,20-24,Teslić,2288
2013,Broj,Oba spola,25-29,Teslić,2375
2013,Broj,Oba spola,30-34,Teslić,2443
2013,Broj,Oba spola,35-39,Teslić,2567
2013,Broj,Oba spola,40-44,Teslić,2525
2013,Broj,Oba spola,45-49,Teslić,2639
2013,Broj,Oba spola,50-54,Teslić,2920
2013,Broj,Oba spola,55-59,Teslić,2942
2013,Broj,Oba spola,60-64,Teslić,2813
2013,Broj,Oba spola,65-69,Teslić,2102
2013,Broj,Oba spola,70-74,Teslić,1870
2013,Broj,Oba spola,75-79,Teslić,1470
2013,Broj,Oba spola,80-84,Teslić,694
2013,Broj,Oba spola,85+,Teslić,263
2013,Broj,Oba spola,Total,Teslić,38536
2013,Broj,Oba spola,0-4,Tešanj,2689
2013,Broj,Oba spola,5-9,Tešanj,2610
2013,Broj,Oba spola,10-14,Tešanj,2826
2013,Broj,Oba spola,15-19,Tešanj,3588
2013,Broj,Oba spola,20-24,Tešanj,3223
2013,Broj,Oba spola,25-29,Tešanj,3221
2013,Broj,Oba spola,30-34,Tešanj,3175
2013,Broj,Oba spola,35-39,Tešanj,3356
2013,Broj,Oba spola,40-44,Tešanj,3220
2013,Broj,Oba spola,45-49,Tešanj,3260
2013,Broj,Oba spola,50-54,Tešanj,3156
2013,Broj,Oba spola,55-59,Tešanj,2616
2013,Broj,Oba spola,60-64,Tešanj,2276
2013,Broj,Oba spola,65-69,Tešanj,1528
2013,Broj,Oba spola,70-74,Tešanj,1134
2013,Broj,Oba spola,75-79,Tešanj,726
2013,Broj,Oba spola,80-84,Tešanj,323
2013,Broj,Oba spola,85+,Tešanj,136
2013,Broj,Oba spola,Total,Tešanj,43063
2013,Broj,Oba spola,0-4,Tomislavgrad,1490
2013,Broj,Oba spola,5-9,Tomislavgrad,1719
2013,Broj,Oba spola,10-14,Tomislavgrad,1968
2013,Broj,Oba spola,15-19,Tomislavgrad,2418
2013,Broj,Oba spola,20-24,Tomislavgrad,2189
2013,Broj,Oba spola,25-29,Tomislavgrad,2082
2013,Broj,Oba spola,30-34,Tomislavgrad,2086
2013,Broj,Oba spola,35-39,Tomislavgrad,2220
2013,Broj,Oba spola,40-44,Tomislavgrad,2448
2013,Broj,Oba spola,45-49,Tomislavgrad,2326
2013,Broj,Oba spola,50-54,Tomislavgrad,2291
