Year,UNIT_MEASURE,AGE,Sex,Value
2018,% of total,120+,Both sexes,0.0
2020,Number,Total,Both sexes,3430316.35
2020,Number,0,Both sexes,29138.54
2020,Number,1,Both sexes,29422.49
2020,Number,2,Both sexes,28693.26
2020,Number,3,Both sexes,29523.03
2020,Number,4,Both sexes,29644.24
2020,Number,5,Both sexes,29319.48
2020,Number,6,Both sexes,29909.25
2020,Number,7,Both sexes,30331.25
2020,Number,8,Both sexes,34170.74
2020,Number,9,Both sexes,34008.75
2020,Number,10,Both sexes,35336.98
2020,Number,11,Both sexes,36352.05
2020,Number,12,Both sexes,36195.98
2020,Number,13,Both sexes,34831.93
2020,Number,14,Both sexes,34691.03
2020,Number,15,Both sexes,35180.12
2020,Number,16,Both sexes,35070.36
2020,Number,17,Both sexes,35642.1
2020,Number,18,Both sexes,35848.99
2020,Number,19,Both sexes,36851.54
2020,Number,20,Both sexes,37499.65
2020,Number,21,Both sexes,38308.29
2020,Number,22,Both sexes,42048.0
2020,Number,23,Both sexes,46588.52
2020,Number,24,Both sexes,48954.2
2020,Number,25,Both sexes,48880.69
2020,Number,26,Both sexes,41889.84
2020,Number,27,Both sexes,35768.43
2020,Number,28,Both sexes,41229.58
2020,Number,29,Both sexes,46442.61
2020,Number,30,Both sexes,46093.22
2020,Number,31,Both sexes,45927.93
2020,Number,32,Both sexes,48243.78
2020,Number,33,Both sexes,48196.57
2020,Number,34,Both sexes,48014.76
2020,Number,35,Both sexes,49044.2
2020,Number,36,Both sexes,50041.0
2020,Number,37,Both sexes,49468.84
2020,Number,38,Both sexes,49918.58
2020,Number,39,Both sexes,49462.23
2020,Number,40,Both sexes,49220.68
2020,Number,41,Both sexes,48516.28
2020,Number,42,Both sexes,48521.35
2020,Number,43,Both sexes,48388.8
2020,Number,44,Both sexes,50349.47
2020,Number,45,Both sexes,48732.35
2020,Number,46,Both sexes,47767.52
2020,Number,47,Both sexes,47246.46
2020,Number,48,Both sexes,48359.0
2020,Number,49,Both sexes,47915.54
2020,Number,50,Both sexes,44529.66
2020,Number,51,Both sexes,48020.61
2020,Number,52,Both sexes,48309.5
2020,Number,53,Both sexes,49413.57
2020,Number,54,Both sexes,51180.96
2020,Number,55,Both sexes,52676.37
2020,Number,56,Both sexes,51209.91
2020,Number,57,Both sexes,51968.01
2020,Number,58,Both sexes,53323.49
2020,Number,59,Both sexes,53268.55
2020,Number,60,Both sexes,53200.37
2020,Number,61,Both sexes,51343.56
2020,Number,62,Both sexes,51780.79
2020,Number,63,Both sexes,46919.89
2020,Number,64,Both sexes,49054.59
2020,Number,65,Both sexes,47592.4
2020,Number,66,Both sexes,48481.78
2020,Number,67,Both sexes,44770.8
2020,Number,68,Both sexes,44676.73
2020,Number,69,Both sexes,35837.89
2020,Number,70,Both sexes,37876.39
2020,Number,71,Both sexes,36500.57
2020,Number,72,Both sexes,31580.48
2020,Number,73,Both sexes,30403.39
2020,Number,74,Both sexes,26785.41
2020,Number,75,Both sexes,20882.19
2020,Number,76,Both sexes,19276.57
2020,Number,77,Both sexes,19001.38
2020,Number,78,Both sexes,19223.05
2020,Number,79,Both sexes,20244.03
2020,Number,80,Both sexes,20894.66
2020,Number,81,Both sexes,18637.67
2020,Number,82,Both sexes,16895.16
2020,Number,83,Both sexes,14983.03
2020,Number,84,Both sexes,13020.78
2020,Number,85,Both sexes,11029.02
2020,Number,86,Both sexes,9151.02
2020,Number,87,Both sexes,7468.38
2020,Number,88,Both sexes,5833.43
2020,Number,89,Both sexes,4279.0
2020,Number,90,Both sexes,3714.65
2020,Number,91,Both sexes,2472.01
