Year,UNIT_MEASURE,Spol,Godine,Value
1981,Broj,Oba spola,120,0
1981,Broj,Oba spola,Unknown,5666
1981,Broj,Oba spola,Total,3941316
1991,Broj,Oba spola,0,62844
1991,Broj,Oba spola,1,63482
1991,Broj,Oba spola,2,64263
1991,Broj,Oba spola,3,66490
1991,Broj,Oba spola,4,65409
1991,Broj,Oba spola,5,66820
1991,Broj,Oba spola,6,67400
1991,Broj,Oba spola,7,67606
1991,Broj,Oba spola,8,67996
1991,Broj,Oba spola,9,67288
1991,Broj,Oba spola,10,67020
1991,Broj,Oba spola,11,67029
1991,Broj,Oba spola,12,65604
1991,Broj,Oba spola,13,66900
1991,Broj,Oba spola,14,68184
1991,Broj,Oba spola,15,68565
1991,Broj,Oba spola,16,67490
1991,Broj,Oba spola,17,67137
1991,Broj,Oba spola,18,69170
1991,Broj,Oba spola,19,70167
1991,Broj,Oba spola,20,65291
1991,Broj,Oba spola,21,67179
1991,Broj,Oba spola,22,66881
1991,Broj,Oba spola,23,69027
1991,Broj,Oba spola,24,70680
1991,Broj,Oba spola,25,70898
1991,Broj,Oba spola,26,69164
1991,Broj,Oba spola,27,69353
1991,Broj,Oba spola,28,70092
1991,Broj,Oba spola,29,71862
1991,Broj,Oba spola,30,71702
1991,Broj,Oba spola,31,68913
1991,Broj,Oba spola,32,70992
1991,Broj,Oba spola,33,65886
1991,Broj,Oba spola,34,65769
1991,Broj,Oba spola,35,64904
1991,Broj,Oba spola,36,68679
1991,Broj,Oba spola,37,60518
1991,Broj,Oba spola,38,66180
1991,Broj,Oba spola,39,50627
1991,Broj,Oba spola,40,54989
1991,Broj,Oba spola,41,54080
1991,Broj,Oba spola,42,47761
1991,Broj,Oba spola,43,44484
1991,Broj,Oba spola,44,47685
1991,Broj,Oba spola,45,34566
1991,Broj,Oba spola,46,34330
1991,Broj,Oba spola,47,35315
1991,Broj,Oba spola,48,37144
1991,Broj,Oba spola,49,42966
1991,Broj,Oba spola,50,47496
1991,Broj,Oba spola,51,49238
1991,Broj,Oba spola,52,47272
1991,Broj,Oba spola,53,49628
1991,Broj,Oba spola,54,49149
1991,Broj,Oba spola,55,49502
1991,Broj,Oba spola,56,48937
1991,Broj,Oba spola,57,47310
1991,Broj,Oba spola,58,44742
1991,Broj,Oba spola,59,42557
1991,Broj,Oba spola,60,44157
1991,Broj,Oba spola,61,42001
1991,Broj,Oba spola,62,40853
1991,Broj,Oba spola,63,36630
1991,Broj,Oba spola,64,32878
1991,Broj,Oba spola,65,29739
1991,Broj,Oba spola,66,26525
1991,Broj,Oba spola,67,24528
1991,Broj,Oba spola,68,23225
1991,Broj,Oba spola,69,20157
1991,Broj,Oba spola,70,20604
1991,Broj,Oba spola,71,18037
1991,Broj,Oba spola,72,9370
1991,Broj,Oba spola,73,7833
1991,Broj,Oba spola,74,6855
1991,Broj,Oba spola,75,8380
1991,Broj,Oba spola,76,12499
1991,Broj,Oba spola,77,10635
1991,Broj,Oba spola,78,10578
1991,Broj,Oba spola,79,8577
1991,Broj,Oba spola,80,8905
1991,Broj,Oba spola,81,7090
1991,Broj,Oba spola,82,5437
1991,Broj,Oba spola,83,5124
1991,Broj,Oba spola,84,4203
1991,Broj,Oba spola,85,3599
1991,Broj,Oba spola,86,2920
1991,Broj,Oba spola,87,2136
1991,Broj,Oba spola,88,1701
1991,Broj,Oba spola,89,1168
1991,Broj,Oba spola,90,1395
1991,Broj,Oba spola,91,656
1991,Broj,Oba spola,92,385
1991,Broj,Oba spola,93,271
1991,Broj,Oba spola,94,179
1991,Broj,Oba spola,95,149
1991,Broj,Oba spola,96,105
1991,Broj,Oba spola,97,76
1991,Broj,Oba spola,98,67
1991,Broj,Oba spola,99,38
1991,Broj,Oba spola,100,41
1991,Broj,Oba spola,101,24
1991,Broj,Oba spola,102,11
1991,Broj,Oba spola,103,17
1991,Broj,Oba spola,104,6
1991,Broj,Oba spola,105,7
1991,Broj,Oba spola,106,3
1991,Broj,Oba spola,107,4
1991,Broj,Oba spola,108,3
1991,Broj,Oba spola,109,2
1991,Broj,Oba spola,110,3
1991,Broj,Oba spola,111,3
1991,Broj,Oba spola,112,2
1991,Broj,Oba spola,113,3
1991,Broj,Oba spola,114,2
1991,Broj,Oba spola,115,3
1991,Broj,Oba spola,116,1
1991,Broj,Oba spola,117,0
1991,Broj,Oba spola,118,0
1991,Broj,Oba spola,119,0
1991,Broj,Oba spola,120,0
1991,Broj,Oba spola,Unknown,70227
1991,Broj,Oba spola,Total,4140639
2013,Broj,Oba spola,0,32986
2013,Broj,Oba spola,1,34294
2013,Broj,Oba spola,2,34389
2013,Broj,Oba spola,3,35874
2013,Broj,Oba spola,4,36521
2013,Broj,Oba spola,5,36166
2013,Broj,Oba spola,6,34919
2013,Broj,Oba spola,7,34943
2013,Broj,Oba spola,8,35451
2013,Broj,Oba spola,9,35501
2013,Broj,Oba spola,10,36453
2013,Broj,Oba spola,11,36775
2013,Broj,Oba spola,12,38596
2013,Broj,Oba spola,13,39456
2013,Broj,Oba spola,14,41395
2013,Broj,Oba spola,15,45564
2013,Broj,Oba spola,16,52015
2013,Broj,Oba spola,17,51403
2013,Broj,Oba spola,18,50311
2013,Broj,Oba spola,19,43449
2013,Broj,Oba spola,20,38825
2013,Broj,Oba spola,21,44354
2013,Broj,Oba spola,22,48403
2013,Broj,Oba spola,23,48196
2013,Broj,Oba spola,24,48278
2013,Broj,Oba spola,25,50133
2013,Broj,Oba spola,26,49678
2013,Broj,Oba spola,27,49795
2013,Broj,Oba spola,28,50446
2013,Broj,Oba spola,29,52266
2013,Broj,Oba spola,30,50734
2013,Broj,Oba spola,31,50911
2013,Broj,Oba spola,32,50977
2013,Broj,Oba spola,33,50333
2013,Broj,Oba spola,34,49678
2013,Broj,Oba spola,35,49788
2013,Broj,Oba spola,36,49919
2013,Broj,Oba spola,37,51327
2013,Broj,Oba spola,38,49496
2013,Broj,Oba spola,39,48736
2013,Broj,Oba spola,40,48218
2013,Broj,Oba spola,41,49740
2013,Broj,Oba spola,42,48136
2013,Broj,Oba spola,43,46015
2013,Broj,Oba spola,44,49029
2013,Broj,Oba spola,45,49671
2013,Broj,Oba spola,46,51673
2013,Broj,Oba spola,47,52770
2013,Broj,Oba spola,48,53700
2013,Broj,Oba spola,49,53114
2013,Broj,Oba spola,50,53786
2013,Broj,Oba spola,51,56129
2013,Broj,Oba spola,52,55588
2013,Broj,Oba spola,53,55076
2013,Broj,Oba spola,54,55996
2013,Broj,Oba spola,55,52589
2013,Broj,Oba spola,56,50347
2013,Broj,Oba spola,57,51932
2013,Broj,Oba spola,58,52746
2013,Broj,Oba spola,59,50923
2013,Broj,Oba spola,60,50837
2013,Broj,Oba spola,61,46677
2013,Broj,Oba spola,62,42331
2013,Broj,Oba spola,63,42570
2013,Broj,Oba spola,64,40836
2013,Broj,Oba spola,65,35793
2013,Broj,Oba spola,66,37788
2013,Broj,Oba spola,67,29180
2013,Broj,Oba spola,68,25744
2013,Broj,Oba spola,69,25064
2013,Broj,Oba spola,70,25058
2013,Broj,Oba spola,71,26990
2013,Broj,Oba spola,72,29327
2013,Broj,Oba spola,73,30776
2013,Broj,Oba spola,74,28304
2013,Broj,Oba spola,75,27309
2013,Broj,Oba spola,76,25413
2013,Broj,Oba spola,77,23950
2013,Broj,Oba spola,78,21232
2013,Broj,Oba spola,79,19363
2013,Broj,Oba spola,80,16231
2013,Broj,Oba spola,81,14741
2013,Broj,Oba spola,82,12059
2013,Broj,Oba spola,83,10999
2013,Broj,Oba spola,84,8606
2013,Broj,Oba spola,85,7600
2013,Broj,Oba spola,86,5358
2013,Broj,Oba spola,87,4159
2013,Broj,Oba spola,88,3055
2013,Broj,Oba spola,89,2350
2013,Broj,Oba spola,90,1745
2013,Broj,Oba spola,91,1230
2013,Broj,Oba spola,92,825
2013,Broj,Oba spola,93,724
2013,Broj,Oba spola,94,338
2013,Broj,Oba spola,95,149
2013,Broj,Oba spola,96,119
2013,Broj,Oba spola,97,66
2013,Broj,Oba spola,98,92
2013,Broj,Oba spola,99,58
2013,Broj,Oba spola,100,38
2013,Broj,Oba spola,101,24
2013,Broj,Oba spola,102,28
2013,Broj,Oba spola,103,12
2013,Broj,Oba spola,104,6
2013,Broj,Oba spola,105,9
2013,Broj,Oba spola,106,9
2013,Broj,Oba spola,107,8
2013,Broj,Oba spola,108,4
2013,Broj,Oba spola,109,4
2013,Broj,Oba spola,110,5
2013,Broj,Oba spola,111,3
2013,Broj,Oba spola,112,20
2013,Broj,Oba spola,113,31
2013,Broj,Oba spola,114,0
2013,Broj,Oba spola,115,0
2013,Broj,Oba spola,116,0
2013,Broj,Oba spola,117,0
2013,Broj,Oba spola,118,0
2013,Broj,Oba spola,119,0
2013,Broj,Oba spola,120,0
2013,Broj,Oba spola,Unknown,0
2013,Broj,Oba spola,Total,3531159
1971,Broj,Muškarci,0,39855
1971,Broj,Muškarci,1,40140
1971,Broj,Muškarci,2,40345
1971,Broj,Muškarci,3,42514
1971,Broj,Muškarci,4,44275
1971,Broj,Muškarci,5,44853
1971,Broj,Muškarci,6,44602
1971,Broj,Muškarci,7,45387
1971,Broj,Muškarci,8,45063
1971,Broj,Muškarci,9,45821
1971,Broj,Muškarci,10,46696
1971,Broj,Muškarci,11,44938
1971,Broj,Muškarci,12,46389
1971,Broj,Muškarci,13,43294
1971,Broj,Muškarci,14,43749
1971,Broj,Muškarci,15,43702
1971,Broj,Muškarci,16,46056
1971,Broj,Muškarci,17,41463
1971,Broj,Muškarci,18,43651
1971,Broj,Muškarci,19,34343
1971,Broj,Muškarci,20,37872
1971,Broj,Muškarci,21,35178
1971,Broj,Muškarci,22,31105
1971,Broj,Muškarci,23,28805
1971,Broj,Muškarci,24,29113
1971,Broj,Muškarci,25,21479
1971,Broj,Muškarci,26,20768
1971,Broj,Muškarci,27,20683
1971,Broj,Muškarci,28,21739
1971,Broj,Muškarci,29,25055
1971,Broj,Muškarci,30,27209
1971,Broj,Muškarci,31,28265
1971,Broj,Muškarci,32,27411
1971,Broj,Muškarci,33,29128
1971,Broj,Muškarci,34,28939
1971,Broj,Muškarci,35,29324
1971,Broj,Muškarci,36,28795
1971,Broj,Muškarci,37,28014
1971,Broj,Muškarci,38,26985
1971,Broj,Muškarci,39,25917
1971,Broj,Muškarci,40,26833
1971,Broj,Muškarci,41,25872
1971,Broj,Muškarci,42,25694
1971,Broj,Muškarci,43,21742
1971,Broj,Muškarci,44,18640
1971,Broj,Muškarci,45,16598
1971,Broj,Muškarci,46,14941
1971,Broj,Muškarci,47,13862
1971,Broj,Muškarci,48,12951
1971,Broj,Muškarci,49,11665
1971,Broj,Muškarci,50,12359
1971,Broj,Muškarci,51,11862
1971,Broj,Muškarci,52,6178
1971,Broj,Muškarci,53,5402
1971,Broj,Muškarci,54,5268
1971,Broj,Muškarci,55,6888
1971,Broj,Muškarci,56,10612
1971,Broj,Muškarci,57,10436
1971,Broj,Muškarci,58,11002
1971,Broj,Muškarci,59,9890
1971,Broj,Muškarci,60,11575
1971,Broj,Muškarci,61,11193
1971,Broj,Muškarci,62,9774
1971,Broj,Muškarci,63,10562
1971,Broj,Muškarci,64,9983
1971,Broj,Muškarci,65,9043
1971,Broj,Muškarci,66,8630
1971,Broj,Muškarci,67,7437
1971,Broj,Muškarci,68,6961
1971,Broj,Muškarci,69,5519
1971,Broj,Muškarci,70,8199
1971,Broj,Muškarci,71,5243
1971,Broj,Muškarci,72,3603
1971,Broj,Muškarci,73,3350
1971,Broj,Muškarci,74,2741
1971,Broj,Muškarci,75,2471
1971,Broj,Muškarci,76,2143
1971,Broj,Muškarci,77,1806
1971,Broj,Muškarci,78,1858
1971,Broj,Muškarci,79,1224
1971,Broj,Muškarci,80,1214
1971,Broj,Muškarci,81,892
1971,Broj,Muškarci,82,1006
1971,Broj,Muškarci,83,682
1971,Broj,Muškarci,84,506
1971,Broj,Muškarci,85,504
1971,Broj,Muškarci,86,404
1971,Broj,Muškarci,87,278
1971,Broj,Muškarci,88,253
1971,Broj,Muškarci,89,197
1971,Broj,Muškarci,90,211
1971,Broj,Muškarci,91,129
1971,Broj,Muškarci,92,77
1971,Broj,Muškarci,93,74
1971,Broj,Muškarci,94,64
1971,Broj,Muškarci,95,43
1971,Broj,Muškarci,96,34
1971,Broj,Muškarci,97,37
1971,Broj,Muškarci,98,33
1971,Broj,Muškarci,99,11
1971,Broj,Muškarci,100,15
1971,Broj,Muškarci,101,0
1971,Broj,Muškarci,102,0
1971,Broj,Muškarci,103,0
1971,Broj,Muškarci,104,0
1971,Broj,Muškarci,105,0
1971,Broj,Muškarci,106,0
1971,Broj,Muškarci,107,0
1971,Broj,Muškarci,108,0
1971,Broj,Muškarci,109,0
1971,Broj,Muškarci,110,0
1971,Broj,Muškarci,111,0
1971,Broj,Muškarci,112,0
1971,Broj,Muškarci,113,0
1971,Broj,Muškarci,114,0
1971,Broj,Muškarci,115,0
1971,Broj,Muškarci,116,0
1971,Broj,Muškarci,117,0
1971,Broj,Muškarci,118,0
1971,Broj,Muškarci,119,0
1971,Broj,Muškarci,120,0
1971,Broj,Muškarci,Unknown,7006
1971,Broj,Muškarci,Total,1834600
1981,Broj,Muškarci,0,36601
1981,Broj,Muškarci,1,35731
1981,Broj,Muškarci,2,34457
1981,Broj,Muškarci,3,35075
1981,Broj,Muškarci,4,36166
1981,Broj,Muškarci,5,36782
1981,Broj,Muškarci,6,36370
1981,Broj,Muškarci,7,36359
1981,Broj,Muškarci,8,37880
1981,Broj,Muškarci,9,38334
1981,Broj,Muškarci,10,36650
1981,Broj,Muškarci,11,38700
1981,Broj,Muškarci,12,39445
1981,Broj,Muškarci,13,41035
1981,Broj,Muškarci,14,42892
1981,Broj,Muškarci,15,43763
1981,Broj,Muškarci,16,43345
1981,Broj,Muškarci,17,44354
1981,Broj,Muškarci,18,44226
1981,Broj,Muškarci,19,45087
1981,Broj,Muškarci,20,45362
1981,Broj,Muškarci,21,42076
1981,Broj,Muškarci,22,42161
1981,Broj,Muškarci,23,38241
1981,Broj,Muškarci,24,37745
1981,Broj,Muškarci,25,36794
1981,Broj,Muškarci,26,38345
1981,Broj,Muškarci,27,33791
1981,Broj,Muškarci,28,35120
1981,Broj,Muškarci,29,26356
1981,Broj,Muškarci,30,28535
1981,Broj,Muškarci,31,27225
1981,Broj,Muškarci,32,23897
1981,Broj,Muškarci,33,22296
1981,Broj,Muškarci,34,23753
1981,Broj,Muškarci,35,17364
1981,Broj,Muškarci,36,16892
1981,Broj,Muškarci,37,17210
1981,Broj,Muškarci,38,18470
1981,Broj,Muškarci,39,21455
1981,Broj,Muškarci,40,23725
1981,Broj,Muškarci,41,24614
1981,Broj,Muškarci,42,23891
1981,Broj,Muškarci,43,25278
1981,Broj,Muškarci,44,25675
1981,Broj,Muškarci,45,25979
1981,Broj,Muškarci,46,25687
1981,Broj,Muškarci,47,24732
1981,Broj,Muškarci,48,23989
1981,Broj,Muškarci,49,22940
1981,Broj,Muškarci,50,24081
1981,Broj,Muškarci,51,23115
1981,Broj,Muškarci,52,23325
1981,Broj,Muškarci,53,19890
1981,Broj,Muškarci,54,16828
1981,Broj,Muškarci,55,14997
1981,Broj,Muškarci,56,13348
1981,Broj,Muškarci,57,12332
1981,Broj,Muškarci,58,11517
1981,Broj,Muškarci,59,10288
1981,Broj,Muškarci,60,10841
1981,Broj,Muškarci,61,10181
1981,Broj,Muškarci,62,5076
1981,Broj,Muškarci,63,4585
1981,Broj,Muškarci,64,4351
1981,Broj,Muškarci,65,5558
1981,Broj,Muškarci,66,8522
1981,Broj,Muškarci,67,8138
1981,Broj,Muškarci,68,8302
1981,Broj,Muškarci,69,7310
1981,Broj,Muškarci,70,8162
1981,Broj,Muškarci,71,7654
1981,Broj,Muškarci,72,6266
1981,Broj,Muškarci,73,6610
1981,Broj,Muškarci,74,6008
1981,Broj,Muškarci,75,5281
1981,Broj,Muškarci,76,4722
1981,Broj,Muškarci,77,3667
1981,Broj,Muškarci,78,3343
1981,Broj,Muškarci,79,2386
1981,Broj,Muškarci,80,4385
1981,Broj,Muškarci,81,1862
1981,Broj,Muškarci,82,1290
1981,Broj,Muškarci,83,1045
1981,Broj,Muškarci,84,864
1981,Broj,Muškarci,85,731
1981,Broj,Muškarci,86,518
1981,Broj,Muškarci,87,429
1981,Broj,Muškarci,88,504
1981,Broj,Muškarci,89,253
1981,Broj,Muškarci,90,255
1981,Broj,Muškarci,91,140
1981,Broj,Muškarci,92,175
1981,Broj,Muškarci,93,128
1981,Broj,Muškarci,94,112
1981,Broj,Muškarci,95,99
1981,Broj,Muškarci,96,74
1981,Broj,Muškarci,97,72
1981,Broj,Muškarci,98,53
1981,Broj,Muškarci,99,22
1981,Broj,Muškarci,100,25
1981,Broj,Muškarci,101,0
1981,Broj,Muškarci,102,0
1981,Broj,Muškarci,103,0
1981,Broj,Muškarci,104,0
1981,Broj,Muškarci,105,0
1981,Broj,Muškarci,106,0
1981,Broj,Muškarci,107,0
1981,Broj,Muškarci,108,0
1981,Broj,Muškarci,109,0
1981,Broj,Muškarci,110,0
1981,Broj,Muškarci,111,0
1981,Broj,Muškarci,112,0
1981,Broj,Muškarci,113,0
1981,Broj,Muškarci,114,0
1981,Broj,Muškarci,115,0
1981,Broj,Muškarci,116,0
1981,Broj,Muškarci,117,0
1981,Broj,Muškarci,118,0
1981,Broj,Muškarci,119,0
1981,Broj,Muškarci,120,0
1981,Broj,Muškarci,Unknown,2923
1981,Broj,Muškarci,Total,1935493
1991,Broj,Muškarci,0,32274
1991,Broj,Muškarci,1,32468
1991,Broj,Muškarci,2,32868
1991,Broj,Muškarci,3,34113
1991,Broj,Muškarci,4,33657
1991,Broj,Muškarci,5,34040
1991,Broj,Muškarci,6,34522
1991,Broj,Muškarci,7,34638
1991,Broj,Muškarci,8,34952
1991,Broj,Muškarci,9,34433
1991,Broj,Muškarci,10,34268
1991,Broj,Muškarci,11,34324
1991,Broj,Muškarci,12,33652
1991,Broj,Muškarci,13,34356
1991,Broj,Muškarci,14,34725
1991,Broj,Muškarci,15,35051
1991,Broj,Muškarci,16,34644
1991,Broj,Muškarci,17,34509
1991,Broj,Muškarci,18,36086
1991,Broj,Muškarci,19,36609
1991,Broj,Muškarci,20,34136
1991,Broj,Muškarci,21,35254
1991,Broj,Muškarci,22,34945
1991,Broj,Muškarci,23,35919
1991,Broj,Muškarci,24,36710
1991,Broj,Muškarci,25,36796
1991,Broj,Muškarci,26,35497
1991,Broj,Muškarci,27,35752
1991,Broj,Muškarci,28,35888
1991,Broj,Muškarci,29,36817
1991,Broj,Muškarci,30,36453
1991,Broj,Muškarci,31,35099
1991,Broj,Muškarci,32,36161
1991,Broj,Muškarci,33,33695
1991,Broj,Muškarci,34,33544
1991,Broj,Muškarci,35,33207
1991,Broj,Muškarci,36,35260
1991,Broj,Muškarci,37,31059
1991,Broj,Muškarci,38,33157
1991,Broj,Muškarci,39,25492
1991,Broj,Muškarci,40,27188
1991,Broj,Muškarci,41,26357
1991,Broj,Muškarci,42,22818
1991,Broj,Muškarci,43,21125
1991,Broj,Muškarci,44,22696
