Year,UNIT_MEASURE,Sex,Age,Entity,Value
2013,Number,Both sexes or no breakdown by sex,29,Federation of BiH,33651
2013,Number,Both sexes or no breakdown by sex,30,Federation of BiH,32390
2013,Number,Both sexes or no breakdown by sex,31,Federation of BiH,32319
2013,Number,Both sexes or no breakdown by sex,32,Federation of BiH,32749
2013,Number,Both sexes or no breakdown by sex,33,Federation of BiH,31974
2013,Number,Both sexes or no breakdown by sex,34,Federation of BiH,31556
2013,Number,Both sexes or no breakdown by sex,35,Federation of BiH,31528
2013,Number,Both sexes or no breakdown by sex,36,Federation of BiH,31538
2013,Number,Both sexes or no breakdown by sex,37,Federation of BiH,32341
2013,Number,Both sexes or no breakdown by sex,38,Federation of BiH,31321
2013,Number,Both sexes or no breakdown by sex,39,Federation of BiH,30987
2013,Number,Both sexes or no breakdown by sex,40,Federation of BiH,30584
2013,Number,Both sexes or no breakdown by sex,41,Federation of BiH,31771
2013,Number,Both sexes or no breakdown by sex,42,Federation of BiH,31017
2013,Number,Both sexes or no breakdown by sex,43,Federation of BiH,29652
2013,Number,Both sexes or no breakdown by sex,44,Federation of BiH,31806
2013,Number,Both sexes or no breakdown by sex,45,Federation of BiH,32017
2013,Number,Both sexes or no breakdown by sex,46,Federation of BiH,33018
2013,Number,Both sexes or no breakdown by sex,47,Federation of BiH,33813
2013,Number,Both sexes or no breakdown by sex,48,Federation of BiH,34178
2013,Number,Both sexes or no breakdown by sex,49,Federation of BiH,34083
2013,Number,Both sexes or no breakdown by sex,50,Federation of BiH,34340
2013,Number,Both sexes or no breakdown by sex,51,Federation of BiH,35525
2013,Number,Both sexes or no breakdown by sex,52,Federation of BiH,35006
2013,Number,Both sexes or no breakdown by sex,53,Federation of BiH,34518
2013,Number,Both sexes or no breakdown by sex,54,Federation of BiH,34607
2013,Number,Both sexes or no breakdown by sex,55,Federation of BiH,32581
2013,Number,Both sexes or no breakdown by sex,56,Federation of BiH,30906
2013,Number,Both sexes or no breakdown by sex,57,Federation of BiH,31264
2013,Number,Both sexes or no breakdown by sex,58,Federation of BiH,31461
2013,Number,Both sexes or no breakdown by sex,59,Federation of BiH,29877
2013,Number,Both sexes or no breakdown by sex,60,Federation of BiH,29631
2013,Number,Both sexes or no breakdown by sex,61,Federation of BiH,26762
2013,Number,Both sexes or no breakdown by sex,62,Federation of BiH,24438
2013,Number,Both sexes or no breakdown by sex,63,Federation of BiH,24535
2013,Number,Both sexes or no breakdown by sex,64,Federation of BiH,23247
2013,Number,Both sexes or no breakdown by sex,65,Federation of BiH,20490
2013,Number,Both sexes or no breakdown by sex,66,Federation of BiH,21656
2013,Number,Both sexes or no breakdown by sex,67,Federation of BiH,16531
2013,Number,Both sexes or no breakdown by sex,68,Federation of BiH,15234
2013,Number,Both sexes or no breakdown by sex,69,Federation of BiH,14480
2013,Number,Both sexes or no breakdown by sex,70,Federation of BiH,14562
2013,Number,Both sexes or no breakdown by sex,71,Federation of BiH,16128
2013,Number,Both sexes or no breakdown by sex,72,Federation of BiH,16725
2013,Number,Both sexes or no breakdown by sex,73,Federation of BiH,17668
2013,Number,Both sexes or no breakdown by sex,74,Federation of BiH,15940
2013,Number,Both sexes or no breakdown by sex,75,Federation of BiH,15320
2013,Number,Both sexes or no breakdown by sex,76,Federation of BiH,14194
2013,Number,Both sexes or no breakdown by sex,77,Federation of BiH,13342
2013,Number,Both sexes or no breakdown by sex,78,Federation of BiH,11991
2013,Number,Both sexes or no breakdown by sex,79,Federation of BiH,10766
2013,Number,Both sexes or no breakdown by sex,80,Federation of BiH,9117
2013,Number,Both sexes or no breakdown by sex,81,Federation of BiH,8359
2013,Number,Both sexes or no breakdown by sex,82,Federation of BiH,6844
2013,Number,Both sexes or no breakdown by sex,83,Federation of BiH,6095
2013,Number,Both sexes or no breakdown by sex,84,Federation of BiH,4812
2013,Number,Both sexes or no breakdown by sex,85+,Federation of BiH,15692
2013,Number,Both sexes or no breakdown by sex,Unknown,Federation of BiH,0
2013,Number,Both sexes or no breakdown by sex,Total,Federation of BiH,2219220
2013,Number,Male,0,Federation of BiH,11137
2013,Number,Male,1,Federation of BiH,11702
2013,Number,Male,2,Federation of BiH,11635
2013,Number,Male,3,Federation of BiH,12190
2013,Number,Male,4,Federation of BiH,12353
2013,Number,Male,5,Federation of BiH,12274
2013,Number,Male,6,Federation of BiH,11829
2013,Number,Male,7,Federation of BiH,11750
2013,Number,Male,8,Federation of BiH,11870
2013,Number,Male,9,Federation of BiH,11910
2013,Number,Male,10,Federation of BiH,12366
2013,Number,Male,11,Federation of BiH,12362
2013,Number,Male,12,Federation of BiH,12787
2013,Number,Male,13,Federation of BiH,13148
2013,Number,Male,14,Federation of BiH,13830
2013,Number,Male,15,Federation of BiH,15585
2013,Number,Male,16,Federation of BiH,18159
2013,Number,Male,17,Federation of BiH,18218
2013,Number,Male,18,Federation of BiH,17312
2013,Number,Male,19,Federation of BiH,14024
2013,Number,Male,20,Federation of BiH,13053
2013,Number,Male,21,Federation of BiH,14849
2013,Number,Male,22,Federation of BiH,16459
2013,Number,Male,23,Federation of BiH,16474
2013,Number,Male,24,Federation of BiH,16268
2013,Number,Male,25,Federation of BiH,16801
2013,Number,Male,26,Federation of BiH,16894
2013,Number,Male,27,Federation of BiH,16638
2013,Number,Male,28,Federation of BiH,16721
2013,Number,Male,29,Federation of BiH,17065
2013,Number,Male,30,Federation of BiH,16504
2013,Number,Male,31,Federation of BiH,16570
2013,Number,Male,32,Federation of BiH,16694
2013,Number,Male,33,Federation of BiH,16163
2013,Number,Male,34,Federation of BiH,16001
2013,Number,Male,35,Federation of BiH,15902
2013,Number,Male,36,Federation of BiH,15826
2013,Number,Male,37,Federation of BiH,16187
2013,Number,Male,38,Federation of BiH,15675
2013,Number,Male,39,Federation of BiH,15349
2013,Number,Male,40,Federation of BiH,15127
2013,Number,Male,41,Federation of BiH,15825
2013,Number,Male,42,Federation of BiH,15475
2013,Number,Male,43,Federation of BiH,14747
2013,Number,Male,44,Federation of BiH,15948
2013,Number,Male,45,Federation of BiH,15855
2013,Number,Male,46,Federation of BiH,16405
2013,Number,Male,47,Federation of BiH,16673
2013,Number,Male,48,Federation of BiH,16805
2013,Number,Male,49,Federation of BiH,16856
2013,Number,Male,50,Federation of BiH,16932
2013,Number,Male,51,Federation of BiH,17349
2013,Number,Male,52,Federation of BiH,17203
2013,Number,Male,53,Federation of BiH,16748
2013,Number,Male,54,Federation of BiH,17071
2013,Number,Male,55,Federation of BiH,15630
2013,Number,Male,56,Federation of BiH,15129
2013,Number,Male,57,Federation of BiH,15231
2013,Number,Male,58,Federation of BiH,15090
2013,Number,Male,59,Federation of BiH,14488
2013,Number,Male,60,Federation of BiH,14056
2013,Number,Male,61,Federation of BiH,12507
2013,Number,Male,62,Federation of BiH,11394
2013,Number,Male,63,Federation of BiH,11285
2013,Number,Male,64,Federation of BiH,10657
2013,Number,Male,65,Federation of BiH,9092
2013,Number,Male,66,Federation of BiH,9797
2013,Number,Male,67,Federation of BiH,7429
2013,Number,Male,68,Federation of BiH,6681
2013,Number,Male,69,Federation of BiH,6439
2013,Number,Male,70,Federation of BiH,6237
2013,Number,Male,71,Federation of BiH,6969
2013,Number,Male,72,Federation of BiH,7080
2013,Number,Male,73,Federation of BiH,7467
2013,Number,Male,74,Federation of BiH,6692
2013,Number,Male,75,Federation of BiH,6253
2013,Number,Male,76,Federation of BiH,5904
2013,Number,Male,77,Federation of BiH,5463
2013,Number,Male,78,Federation of BiH,4769
2013,Number,Male,79,Federation of BiH,4306
2013,Number,Male,80,Federation of BiH,3486
2013,Number,Male,81,Federation of BiH,3255
2013,Number,Male,82,Federation of BiH,2677
2013,Number,Male,83,Federation of BiH,2263
2013,Number,Male,84,Federation of BiH,1812
2013,Number,Male,85+,Federation of BiH,4902
2013,Number,Male,Unknown,Federation of BiH,0
2013,Number,Male,Total,Federation of BiH,1087993
2013,Number,Female,0,Federation of BiH,10581
2013,Number,Female,1,Federation of BiH,10988
2013,Number,Female,2,Federation of BiH,11056
2013,Number,Female,3,Federation of BiH,11474
2013,Number,Female,4,Federation of BiH,11727
2013,Number,Female,5,Federation of BiH,11618
2013,Number,Female,6,Federation of BiH,11072
2013,Number,Female,7,Federation of BiH,11215
2013,Number,Female,8,Federation of BiH,11277
2013,Number,Female,9,Federation of BiH,11237
2013,Number,Female,10,Federation of BiH,11518
2013,Number,Female,11,Federation of BiH,11681
2013,Number,Female,12,Federation of BiH,12202
2013,Number,Female,13,Federation of BiH,12637
2013,Number,Female,14,Federation of BiH,13522
2013,Number,Female,15,Federation of BiH,14879
2013,Number,Female,16,Federation of BiH,16932
2013,Number,Female,17,Federation of BiH,17068
2013,Number,Female,18,Federation of BiH,16591
2013,Number,Female,19,Federation of BiH,13113
2013,Number,Female,20,Federation of BiH,12272
2013,Number,Female,21,Federation of BiH,14751
2013,Number,Female,22,Federation of BiH,15660
2013,Number,Female,23,Federation of BiH,15516
2013,Number,Female,24,Federation of BiH,15600
2013,Number,Female,25,Federation of BiH,16118
2013,Number,Female,26,Federation of BiH,15645
2013,Number,Female,27,Federation of BiH,15846
2013,Number,Female,28,Federation of BiH,15889
2013,Number,Female,29,Federation of BiH,16586
2013,Number,Female,30,Federation of BiH,15886
2013,Number,Female,31,Federation of BiH,15749
2013,Number,Female,32,Federation of BiH,16055
2013,Number,Female,33,Federation of BiH,15811
2013,Number,Female,34,Federation of BiH,15555
2013,Number,Female,35,Federation of BiH,15626
2013,Number,Female,36,Federation of BiH,15712
2013,Number,Female,37,Federation of BiH,16154
2013,Number,Female,38,Federation of BiH,15646
2013,Number,Female,39,Federation of BiH,15638
2013,Number,Female,40,Federation of BiH,15457
2013,Number,Female,41,Federation of BiH,15946
2013,Number,Female,42,Federation of BiH,15542
2013,Number,Female,43,Federation of BiH,14905
2013,Number,Female,44,Federation of BiH,15858
2013,Number,Female,45,Federation of BiH,16162
2013,Number,Female,46,Federation of BiH,16613
2013,Number,Female,47,Federation of BiH,17140
2013,Number,Female,48,Federation of BiH,17373
2013,Number,Female,49,Federation of BiH,17227
2013,Number,Female,50,Federation of BiH,17408
2013,Number,Female,51,Federation of BiH,18176
2013,Number,Female,52,Federation of BiH,17803
2013,Number,Female,53,Federation of BiH,17770
2013,Number,Female,54,Federation of BiH,17536
2013,Number,Female,55,Federation of BiH,16951
2013,Number,Female,56,Federation of BiH,15777
2013,Number,Female,57,Federation of BiH,16033
2013,Number,Female,58,Federation of BiH,16371
2013,Number,Female,59,Federation of BiH,15389
2013,Number,Female,60,Federation of BiH,15575
2013,Number,Female,61,Federation of BiH,14255
2013,Number,Female,62,Federation of BiH,13044
2013,Number,Female,63,Federation of BiH,13250
2013,Number,Female,64,Federation of BiH,12590
2013,Number,Female,65,Federation of BiH,11398
2013,Number,Female,66,Federation of BiH,11859
2013,Number,Female,67,Federation of BiH,9102
2013,Number,Female,68,Federation of BiH,8553
2013,Number,Female,69,Federation of BiH,8041
2013,Number,Female,70,Federation of BiH,8325
2013,Number,Female,71,Federation of BiH,9159
2013,Number,Female,72,Federation of BiH,9645
2013,Number,Female,73,Federation of BiH,10201
2013,Number,Female,74,Federation of BiH,9248
2013,Number,Female,75,Federation of BiH,9067
2013,Number,Female,76,Federation of BiH,8290
2013,Number,Female,77,Federation of BiH,7879
2013,Number,Female,78,Federation of BiH,7222
2013,Number,Female,79,Federation of BiH,6460
2013,Number,Female,80,Federation of BiH,5631
2013,Number,Female,81,Federation of BiH,5104
2013,Number,Female,82,Federation of BiH,4167
2013,Number,Female,83,Federation of BiH,3832
2013,Number,Female,84,Federation of BiH,3000
2013,Number,Female,85+,Federation of BiH,10790
2013,Number,Female,Unknown,Federation of BiH,0
2013,Number,Female,Total,Federation of BiH,1131227
2013,Number,Both sexes or no breakdown by sex,0,Republika Srpska,10429
2013,Number,Both sexes or no breakdown by sex,1,Republika Srpska,10772
2013,Number,Both sexes or no breakdown by sex,2,Republika Srpska,10843
2013,Number,Both sexes or no breakdown by sex,3,Republika Srpska,11419
2013,Number,Both sexes or no breakdown by sex,4,Republika Srpska,11593
2013,Number,Both sexes or no breakdown by sex,5,Republika Srpska,11423
2013,Number,Both sexes or no breakdown by sex,6,Republika Srpska,11101
2013,Number,Both sexes or no breakdown by sex,7,Republika Srpska,11156
2013,Number,Both sexes or no breakdown by sex,8,Republika Srpska,11439
2013,Number,Both sexes or no breakdown by sex,9,Republika Srpska,11497
2013,Number,Both sexes or no breakdown by sex,10,Republika Srpska,11647
2013,Number,Both sexes or no breakdown by sex,11,Republika Srpska,11856
2013,Number,Both sexes or no breakdown by sex,12,Republika Srpska,12663
2013,Number,Both sexes or no breakdown by sex,13,Republika Srpska,12738
2013,Number,Both sexes or no breakdown by sex,14,Republika Srpska,13114
2013,Number,Both sexes or no breakdown by sex,15,Republika Srpska,14028
2013,Number,Both sexes or no breakdown by sex,16,Republika Srpska,15755
2013,Number,Both sexes or no breakdown by sex,17,Republika Srpska,15004
2013,Number,Both sexes or no breakdown by sex,18,Republika Srpska,15395
2013,Number,Both sexes or no breakdown by sex,19,Republika Srpska,15356
2013,Number,Both sexes or no breakdown by sex,20,Republika Srpska,12674
2013,Number,Both sexes or no breakdown by sex,21,Republika Srpska,13765
2013,Number,Both sexes or no breakdown by sex,22,Republika Srpska,15228
2013,Number,Both sexes or no breakdown by sex,23,Republika Srpska,15159
2013,Number,Both sexes or no breakdown by sex,24,Republika Srpska,15392
2013,Number,Both sexes or no breakdown by sex,25,Republika Srpska,16111
2013,Number,Both sexes or no breakdown by sex,26,Republika Srpska,16026
2013,Number,Both sexes or no breakdown by sex,27,Republika Srpska,16257
2013,Number,Both sexes or no breakdown by sex,28,Republika Srpska,16601
2013,Number,Both sexes or no breakdown by sex,29,Republika Srpska,17391
2013,Number,Both sexes or no breakdown by sex,30,Republika Srpska,17114
2013,Number,Both sexes or no breakdown by sex,31,Republika Srpska,17339
2013,Number,Both sexes or no breakdown by sex,32,Republika Srpska,17074
2013,Number,Both sexes or no breakdown by sex,33,Republika Srpska,17163
2013,Number,Both sexes or no breakdown by sex,34,Republika Srpska,16964
2013,Number,Both sexes or no breakdown by sex,35,Republika Srpska,17055
2013,Number,Both sexes or no breakdown by sex,36,Republika Srpska,17205
2013,Number,Both sexes or no breakdown by sex,37,Republika Srpska,17747
2013,Number,Both sexes or no breakdown by sex,38,Republika Srpska,16968
2013,Number,Both sexes or no breakdown by sex,39,Republika Srpska,16470
2013,Number,Both sexes or no breakdown by sex,40,Republika Srpska,16378
2013,Number,Both sexes or no breakdown by sex,41,Republika Srpska,16692
2013,Number,Both sexes or no breakdown by sex,42,Republika Srpska,15959
2013,Number,Both sexes or no breakdown by sex,43,Republika Srpska,15159
2013,Number,Both sexes or no breakdown by sex,44,Republika Srpska,15975
2013,Number,Both sexes or no breakdown by sex,45,Republika Srpska,16366
2013,Number,Both sexes or no breakdown by sex,46,Republika Srpska,17354
2013,Number,Both sexes or no breakdown by sex,47,Republika Srpska,17644
2013,Number,Both sexes or no breakdown by sex,48,Republika Srpska,18118
2013,Number,Both sexes or no breakdown by sex,49,Republika Srpska,17764
2013,Number,Both sexes or no breakdown by sex,50,Republika Srpska,18129
2013,Number,Both sexes or no breakdown by sex,51,Republika Srpska,19279
2013,Number,Both sexes or no breakdown by sex,52,Republika Srpska,19220
2013,Number,Both sexes or no breakdown by sex,53,Republika Srpska,19247
2013,Number,Both sexes or no breakdown by sex,54,Republika Srpska,20131
2013,Number,Both sexes or no breakdown by sex,55,Republika Srpska,18809
2013,Number,Both sexes or no breakdown by sex,56,Republika Srpska,18331
2013,Number,Both sexes or no breakdown by sex,57,Republika Srpska,19518
2013,Number,Both sexes or no breakdown by sex,58,Republika Srpska,20118
2013,Number,Both sexes or no breakdown by sex,59,Republika Srpska,19897
2013,Number,Both sexes or no breakdown by sex,60,Republika Srpska,20106
2013,Number,Both sexes or no breakdown by sex,61,Republika Srpska,18842
2013,Number,Both sexes or no breakdown by sex,62,Republika Srpska,16910
2013,Number,Both sexes or no breakdown by sex,63,Republika Srpska,16983
2013,Number,Both sexes or no breakdown by sex,64,Republika Srpska,16649
2013,Number,Both sexes or no breakdown by sex,65,Republika Srpska,14404
2013,Number,Both sexes or no breakdown by sex,66,Republika Srpska,15233
2013,Number,Both sexes or no breakdown by sex,67,Republika Srpska,11899
2013,Number,Both sexes or no breakdown by sex,68,Republika Srpska,9855
2013,Number,Both sexes or no breakdown by sex,69,Republika Srpska,9879
2013,Number,Both sexes or no breakdown by sex,70,Republika Srpska,9798
2013,Number,Both sexes or no breakdown by sex,71,Republika Srpska,10268
2013,Number,Both sexes or no breakdown by sex,72,Republika Srpska,11904
2013,Number,Both sexes or no breakdown by sex,73,Republika Srpska,12421
2013,Number,Both sexes or no breakdown by sex,74,Republika Srpska,11682
2013,Number,Both sexes or no breakdown by sex,75,Republika Srpska,11369
2013,Number,Both sexes or no breakdown by sex,76,Republika Srpska,10585
2013,Number,Both sexes or no breakdown by sex,77,Republika Srpska,10014
2013,Number,Both sexes or no breakdown by sex,78,Republika Srpska,8706
2013,Number,Both sexes or no breakdown by sex,79,Republika Srpska,8117
2013,Number,Both sexes or no breakdown by sex,80,Republika Srpska,6749
2013,Number,Both sexes or no breakdown by sex,81,Republika Srpska,6055
2013,Number,Both sexes or no breakdown by sex,82,Republika Srpska,4955
2013,Number,Both sexes or no breakdown by sex,83,Republika Srpska,4658
2013,Number,Both sexes or no breakdown by sex,84,Republika Srpska,3592
2013,Number,Both sexes or no breakdown by sex,85+,Republika Srpska,11771
2013,Number,Both sexes or no breakdown by sex,Unknown,Republika Srpska,0
2013,Number,Both sexes or no breakdown by sex,Total,Republika Srpska,1228423
2013,Number,Male,0,Republika Srpska,5330
2013,Number,Male,1,Republika Srpska,5435
2013,Number,Male,2,Republika Srpska,5617
2013,Number,Male,3,Republika Srpska,5812
2013,Number,Male,4,Republika Srpska,6053
2013,Number,Male,5,Republika Srpska,5889
2013,Number,Male,6,Republika Srpska,5619
2013,Number,Male,7,Republika Srpska,5667
2013,Number,Male,8,Republika Srpska,5903
2013,Number,Male,9,Republika Srpska,5935
2013,Number,Male,10,Republika Srpska,6009
2013,Number,Male,11,Republika Srpska,6093
2013,Number,Male,12,Republika Srpska,6516
2013,Number,Male,13,Republika Srpska,6505
2013,Number,Male,14,Republika Srpska,6626
2013,Number,Male,15,Republika Srpska,7306
2013,Number,Male,16,Republika Srpska,8099
2013,Number,Male,17,Republika Srpska,7621
2013,Number,Male,18,Republika Srpska,7885
2013,Number,Male,19,Republika Srpska,7972
2013,Number,Male,20,Republika Srpska,6576
2013,Number,Male,21,Republika Srpska,7089
2013,Number,Male,22,Republika Srpska,7914
2013,Number,Male,23,Republika Srpska,7872
2013,Number,Male,24,Republika Srpska,7801
2013,Number,Male,25,Republika Srpska,8267
2013,Number,Male,26,Republika Srpska,8234
2013,Number,Male,27,Republika Srpska,8197
2013,Number,Male,28,Republika Srpska,8623
2013,Number,Male,29,Republika Srpska,8900
2013,Number,Male,30,Republika Srpska,8788
2013,Number,Male,31,Republika Srpska,8854
2013,Number,Male,32,Republika Srpska,8715
2013,Number,Male,33,Republika Srpska,8746
2013,Number,Male,34,Republika Srpska,8644
2013,Number,Male,35,Republika Srpska,8818
2013,Number,Male,36,Republika Srpska,8821
2013,Number,Male,37,Republika Srpska,9154
2013,Number,Male,38,Republika Srpska,8748
2013,Number,Male,39,Republika Srpska,8540
2013,Number,Male,40,Republika Srpska,8485
2013,Number,Male,41,Republika Srpska,8652
2013,Number,Male,42,Republika Srpska,8241
2013,Number,Male,43,Republika Srpska,7740
2013,Number,Male,44,Republika Srpska,8229
2013,Number,Male,45,Republika Srpska,8297
2013,Number,Male,46,Republika Srpska,8826
2013,Number,Male,47,Republika Srpska,8964
2013,Number,Male,48,Republika Srpska,9100
2013,Number,Male,49,Republika Srpska,8870
2013,Number,Male,50,Republika Srpska,8995
2013,Number,Male,51,Republika Srpska,9574
2013,Number,Male,52,Republika Srpska,9575
2013,Number,Male,53,Republika Srpska,9548
2013,Number,Male,54,Republika Srpska,9833
2013,Number,Male,55,Republika Srpska,9160
2013,Number,Male,56,Republika Srpska,8931
2013,Number,Male,57,Republika Srpska,9518
2013,Number,Male,58,Republika Srpska,9803
2013,Number,Male,59,Republika Srpska,9734
2013,Number,Male,60,Republika Srpska,9704
2013,Number,Male,61,Republika Srpska,8999
2013,Number,Male,62,Republika Srpska,8098
2013,Number,Male,63,Republika Srpska,8022
2013,Number,Male,64,Republika Srpska,7849
2013,Number,Male,65,Republika Srpska,6607
2013,Number,Male,66,Republika Srpska,7031
2013,Number,Male,67,Republika Srpska,5391
2013,Number,Male,68,Republika Srpska,4414
2013,Number,Male,69,Republika Srpska,4439
2013,Number,Male,70,Republika Srpska,4144
2013,Number,Male,71,Republika Srpska,4446
2013,Number,Male,72,Republika Srpska,5149
2013,Number,Male,73,Republika Srpska,5273
2013,Number,Male,74,Republika Srpska,4938
2013,Number,Male,75,Republika Srpska,4752
2013,Number,Male,76,Republika Srpska,4366
2013,Number,Male,77,Republika Srpska,3935
2013,Number,Male,78,Republika Srpska,3377
2013,Number,Male,79,Republika Srpska,3135
2013,Number,Male,80,Republika Srpska,2568
2013,Number,Male,81,Republika Srpska,2288
2013,Number,Male,82,Republika Srpska,1859
2013,Number,Male,83,Republika Srpska,1713
2013,Number,Male,84,Republika Srpska,1335
2013,Number,Male,85+,Republika Srpska,3927
2013,Number,Male,Unknown,Republika Srpska,0
2013,Number,Male,Total,Republika Srpska,603027
2013,Number,Female,0,Republika Srpska,5099
2013,Number,Female,1,Republika Srpska,5337
2013,Number,Female,2,Republika Srpska,5226
2013,Number,Female,3,Republika Srpska,5607
2013,Number,Female,4,Republika Srpska,5540
2013,Number,Female,5,Republika Srpska,5534
2013,Number,Female,6,Republika Srpska,5482
2013,Number,Female,7,Republika Srpska,5489
2013,Number,Female,8,Republika Srpska,5536
2013,Number,Female,9,Republika Srpska,5562
2013,Number,Female,10,Republika Srpska,5638
2013,Number,Female,11,Republika Srpska,5763
2013,Number,Female,12,Republika Srpska,6147
2013,Number,Female,13,Republika Srpska,6233
2013,Number,Female,14,Republika Srpska,6488
2013,Number,Female,15,Republika Srpska,6722
2013,Number,Female,16,Republika Srpska,7656
2013,Number,Female,17,Republika Srpska,7383
2013,Number,Female,18,Republika Srpska,7510
2013,Number,Female,19,Republika Srpska,7384
2013,Number,Female,20,Republika Srpska,6098
2013,Number,Female,21,Republika Srpska,6676
2013,Number,Female,22,Republika Srpska,7314
2013,Number,Female,23,Republika Srpska,7287
2013,Number,Female,24,Republika Srpska,7591
2013,Number,Female,25,Republika Srpska,7844
2013,Number,Female,26,Republika Srpska,7792
2013,Number,Female,27,Republika Srpska,8060
2013,Number,Female,28,Republika Srpska,7978
2013,Number,Female,29,Republika Srpska,8491
2013,Number,Female,30,Republika Srpska,8326
2013,Number,Female,31,Republika Srpska,8485
2013,Number,Female,32,Republika Srpska,8359
2013,Number,Female,33,Republika Srpska,8417
2013,Number,Female,34,Republika Srpska,8320
2013,Number,Female,35,Republika Srpska,8237
2013,Number,Female,36,Republika Srpska,8384
2013,Number,Female,37,Republika Srpska,8593
2013,Number,Female,38,Republika Srpska,8220
2013,Number,Female,39,Republika Srpska,7930
2013,Number,Female,40,Republika Srpska,7893
2013,Number,Female,41,Republika Srpska,8040
2013,Number,Female,42,Republika Srpska,7718
2013,Number,Female,43,Republika Srpska,7419
2013,Number,Female,44,Republika Srpska,7746
2013,Number,Female,45,Republika Srpska,8069
2013,Number,Female,46,Republika Srpska,8528
2013,Number,Female,47,Republika Srpska,8680
2013,Number,Female,48,Republika Srpska,9018
2013,Number,Female,49,Republika Srpska,8894
2013,Number,Female,50,Republika Srpska,9134
2013,Number,Female,51,Republika Srpska,9705
2013,Number,Female,52,Republika Srpska,9645
2013,Number,Female,53,Republika Srpska,9699
2013,Number,Female,54,Republika Srpska,10298
2013,Number,Female,55,Republika Srpska,9649
2013,Number,Female,56,Republika Srpska,9400
2013,Number,Female,57,Republika Srpska,10000
2013,Number,Female,58,Republika Srpska,10315
2013,Number,Female,59,Republika Srpska,10163
2013,Number,Female,60,Republika Srpska,10402
2013,Number,Female,61,Republika Srpska,9843
2013,Number,Female,62,Republika Srpska,8812
2013,Number,Female,63,Republika Srpska,8961
2013,Number,Female,64,Republika Srpska,8800
2013,Number,Female,65,Republika Srpska,7797
2013,Number,Female,66,Republika Srpska,8202
2013,Number,Female,67,Republika Srpska,6508
2013,Number,Female,68,Republika Srpska,5441
2013,Number,Female,69,Republika Srpska,5440
2013,Number,Female,70,Republika Srpska,5654
2013,Number,Female,71,Republika Srpska,5822
2013,Number,Female,72,Republika Srpska,6755
2013,Number,Female,73,Republika Srpska,7148
2013,Number,Female,74,Republika Srpska,6744
2013,Number,Female,75,Republika Srpska,6617
2013,Number,Female,76,Republika Srpska,6219
2013,Number,Female,77,Republika Srpska,6079
2013,Number,Female,78,Republika Srpska,5329
2013,Number,Female,79,Republika Srpska,4982
2013,Number,Female,80,Republika Srpska,4181
2013,Number,Female,81,Republika Srpska,3767
2013,Number,Female,82,Republika Srpska,3096
2013,Number,Female,83,Republika Srpska,2945
2013,Number,Female,84,Republika Srpska,2257
2013,Number,Female,85+,Republika Srpska,7844
2013,Number,Female,Unknown,Republika Srpska,0
2013,Number,Female,Total,Republika Srpska,625396
2013,Number,Both sexes or no breakdown by sex,0,Brčko District of BiH,839
2013,Number,Both sexes or no breakdown by sex,1,Brčko District of BiH,832
2013,Number,Both sexes or no breakdown by sex,2,Brčko District of BiH,855
2013,Number,Both sexes or no breakdown by sex,3,Brčko District of BiH,791
2013,Number,Both sexes or no breakdown by sex,4,Brčko District of BiH,848
