Year,Municipality,AGE,UNIT_MEASURE,SEX,Value
2013,Livno,Total,NUMBER,F,17109
2013,Lopare,Total,NUMBER,_T,15357
2013,Lopare,Total,NUMBER,M,7749
2013,Lopare,Total,NUMBER,F,7608
2013,Lukavac,Total,NUMBER,_T,44520
2013,Lukavac,Total,NUMBER,M,21786
2013,Lukavac,Total,NUMBER,F,22734
2013,Ljubinje,Total,NUMBER,_T,3511
2013,Ljubinje,Total,NUMBER,M,1725
2013,Ljubinje,Total,NUMBER,F,1786
2013,Ljubuški,Total,NUMBER,_T,28184
2013,Ljubuški,Total,NUMBER,M,14022
2013,Ljubuški,Total,NUMBER,F,14162
2013,Maglaj,Total,NUMBER,_T,23146
2013,Maglaj,Total,NUMBER,M,11430
2013,Maglaj,Total,NUMBER,F,11716
2013,Milići,Total,NUMBER,_T,11441
2013,Milići,Total,NUMBER,M,5798
2013,Milići,Total,NUMBER,F,5643
2013,Modriča,Total,NUMBER,_T,25720
2013,Modriča,Total,NUMBER,M,12561
2013,Modriča,Total,NUMBER,F,13159
2013,Mostar,Total,NUMBER,_T,105797
2013,Mostar,Total,NUMBER,M,51210
2013,Mostar,Total,NUMBER,F,54587
2013,Mrkonjić Grad,Total,NUMBER,_T,16671
2013,Mrkonjić Grad,Total,NUMBER,M,8096
2013,Mrkonjić Grad,Total,NUMBER,F,8575
2013,Neum,Total,NUMBER,_T,4653
2013,Neum,Total,NUMBER,M,2344
2013,Neum,Total,NUMBER,F,2309
2013,Nevesinje,Total,NUMBER,_T,12961
2013,Nevesinje,Total,NUMBER,M,6462
2013,Nevesinje,Total,NUMBER,F,6499
2013,Novi Grad,Total,NUMBER,_T,27115
2013,Novi Grad,Total,NUMBER,M,13594
2013,Novi Grad,Total,NUMBER,F,13521
2013,Sarajevo - Novi Grad,Total,NUMBER,_T,118553
2013,Sarajevo - Novi Grad,Total,NUMBER,M,55735
2013,Sarajevo - Novi Grad,Total,NUMBER,F,62818
2013,Novi Travnik,Total,NUMBER,_T,23832
2013,Novi Travnik,Total,NUMBER,M,11862
2013,Novi Travnik,Total,NUMBER,F,11970
2013,Novo Goražde,Total,NUMBER,_T,3117
2013,Novo Goražde,Total,NUMBER,M,1618
2013,Novo Goražde,Total,NUMBER,F,1499
2013,Sarajevo - Novo Sarajevo,Total,NUMBER,_T,64814
2013,Sarajevo - Novo Sarajevo,Total,NUMBER,M,29580
2013,Sarajevo - Novo Sarajevo,Total,NUMBER,F,35234
2013,Odžak,Total,NUMBER,_T,18821
2013,Odžak,Total,NUMBER,M,9373
2013,Odžak,Total,NUMBER,F,9448
2013,Olovo,Total,NUMBER,_T,10175
2013,Olovo,Total,NUMBER,M,5084
2013,Olovo,Total,NUMBER,F,5091
2013,Orašje,Total,NUMBER,_T,19861
2013,Orašje,Total,NUMBER,M,10059
2013,Orašje,Total,NUMBER,F,9802
2013,Osmaci,Total,NUMBER,_T,6016
2013,Osmaci,Total,NUMBER,M,3065
2013,Osmaci,Total,NUMBER,F,2951
2013,Oštra Luka,Total,NUMBER,_T,2786
2013,Oštra Luka,Total,NUMBER,M,1440
2013,Oštra Luka,Total,NUMBER,F,1346
2013,Pale - FBiH,Total,NUMBER,_T,904
2013,Pale - FBiH,Total,NUMBER,M,456
2013,Pale - FBiH,Total,NUMBER,F,448
2013,Pale - RS,Total,NUMBER,_T,20909
2013,Pale - RS,Total,NUMBER,M,10038
2013,Pale - RS,Total,NUMBER,F,10871
2013,Pelagićevo,Total,NUMBER,_T,5220
2013,Pelagićevo,Total,NUMBER,M,2609
2013,Pelagićevo,Total,NUMBER,F,2611
2013,Petrovac,Total,NUMBER,_T,361
2013,Petrovac,Total,NUMBER,M,172
2013,Petrovac,Total,NUMBER,F,189
2013,Petrovo,Total,NUMBER,_T,6474
2013,Petrovo,Total,NUMBER,M,3124
2013,Petrovo,Total,NUMBER,F,3350
2013,Posušje,Total,NUMBER,_T,20477
2013,Posušje,Total,NUMBER,M,10287
2013,Posušje,Total,NUMBER,F,10190
2013,Prijedor,Total,NUMBER,_T,89397
2013,Prijedor,Total,NUMBER,M,43863
2013,Prijedor,Total,NUMBER,F,45534
2013,Prnjavor,Total,NUMBER,_T,35956
2013,Prnjavor,Total,NUMBER,M,17572
2013,Prnjavor,Total,NUMBER,F,18384
2013,Prozor,Total,NUMBER,_T,14280
2013,Prozor,Total,NUMBER,M,7210
2013,Prozor,Total,NUMBER,F,7070
2013,Ravno,Total,NUMBER,_T,3219
2013,Ravno,Total,NUMBER,M,1657
2013,Ravno,Total,NUMBER,F,1562
2013,Ribnik,Total,NUMBER,_T,6048
2013,Ribnik,Total,NUMBER,M,3009
2013,Ribnik,Total,NUMBER,F,3039
2013,Rogatica,Total,NUMBER,_T,10723
2013,Rogatica,Total,NUMBER,M,5270
2013,Rogatica,Total,NUMBER,F,5453
2013,Rudo,Total,NUMBER,_T,7963
2013,Rudo,Total,NUMBER,M,4050
2013,Rudo,Total,NUMBER,F,3913
2013,Sanski Most,Total,NUMBER,_T,41475
2013,Sanski Most,Total,NUMBER,M,20826
2013,Sanski Most,Total,NUMBER,F,20649
2013,Sapna,Total,NUMBER,_T,11178
2013,Sapna,Total,NUMBER,M,5739
2013,Sapna,Total,NUMBER,F,5439
2013,Sokolac,Total,NUMBER,_T,12021
2013,Sokolac,Total,NUMBER,M,5919
2013,Sokolac,Total,NUMBER,F,6102
2013,Srbac,Total,NUMBER,_T,17587
2013,Srbac,Total,NUMBER,M,8623
2013,Srbac,Total,NUMBER,F,8964
2013,Srebrenica,Total,NUMBER,_T,13409
2013,Srebrenica,Total,NUMBER,M,6602
2013,Srebrenica,Total,NUMBER,F,6807
2013,Srebrenik,Total,NUMBER,_T,39678
2013,Srebrenik,Total,NUMBER,M,19348
2013,Srebrenik,Total,NUMBER,F,20330
2013,Sarajevo - Stari Grad,Total,NUMBER,_T,36976
2013,Sarajevo - Stari Grad,Total,NUMBER,M,17482
2013,Sarajevo - Stari Grad,Total,NUMBER,F,19494
2013,Stolac,Total,NUMBER,_T,14502
2013,Stolac,Total,NUMBER,M,7326
2013,Stolac,Total,NUMBER,F,7176
2013,Šamac,Total,NUMBER,_T,17273
2013,Šamac,Total,NUMBER,M,8385
2013,Šamac,Total,NUMBER,F,8888
2013,Šekovići,Total,NUMBER,_T,6761
2013,Šekovići,Total,NUMBER,M,3360
2013,Šekovići,Total,NUMBER,F,3401
2013,Šipovo,Total,NUMBER,_T,10293
2013,Šipovo,Total,NUMBER,M,5221
2013,Šipovo,Total,NUMBER,F,5072
2013,Široki Brijeg,Total,NUMBER,_T,28929
2013,Široki Brijeg,Total,NUMBER,M,14381
2013,Široki Brijeg,Total,NUMBER,F,14548
2013,Teočak,Total,NUMBER,_T,7424
2013,Teočak,Total,NUMBER,M,3767
2013,Teočak,Total,NUMBER,F,3657
2013,Teslić,Total,NUMBER,_T,38536
2013,Teslić,Total,NUMBER,M,18679
2013,Teslić,Total,NUMBER,F,19857
2013,Tešanj,Total,NUMBER,_T,43063
2013,Tešanj,Total,NUMBER,M,21376
2013,Tešanj,Total,NUMBER,F,21687
2013,Tomislavgrad,Total,NUMBER,_T,31592
2013,Tomislavgrad,Total,NUMBER,M,16055
2013,Tomislavgrad,Total,NUMBER,F,15537
2013,Travnik,Total,NUMBER,_T,53482
2013,Travnik,Total,NUMBER,M,26574
2013,Travnik,Total,NUMBER,F,26908
2013,Trebinje,Total,NUMBER,_T,29198
2013,Trebinje,Total,NUMBER,M,14251
2013,Trebinje,Total,NUMBER,F,14947
2013,Trnovo - FBiH,Total,NUMBER,_T,1502
2013,Trnovo - FBiH,Total,NUMBER,M,735
2013,Trnovo - FBiH,Total,NUMBER,F,767
2013,Trnovo - RS,Total,NUMBER,_T,2050
