Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2021,2025,M,45-49,-115904.29
2021,2025,M,50-54,-114700.67
2021,2025,M,55-59,-115462.29
2021,2025,M,60-64,-122833.48
2021,2025,M,65-69,-112637.79
2021,2025,M,70-74,-90182.42
2021,2025,M,75-79,-56511.74
2021,2025,M,80-84,-27788.38
2021,2025,M,85-89,-18088.37
2021,2025,M,90-94,-5637.01
2021,2025,M,95-99,-984.02
2021,2025,M,100-104,-63.42
2021,2025,M,105-109,-5.20
2021,2025,M,110-114,-0.24
2021,2025,M,115-119,0.00
2021,2025,M,120+,0.00
2021,2030,M,0-4,-60095.37
2021,2030,M,5-9,-66744.50
2021,2030,M,10-14,-72456.77
2021,2030,M,15-19,-76786.28
2021,2030,M,20-24,-77122.07
2021,2030,M,25-29,-68893.79
2021,2030,M,30-34,-80870.76
2021,2030,M,35-39,-86859.11
2021,2030,M,40-44,-100041.02
2021,2030,M,45-49,-108422.40
2021,2030,M,50-54,-110448.13
2021,2030,M,55-59,-110339.27
2021,2030,M,60-64,-111040.16
2021,2030,M,65-69,-114991.80
2021,2030,M,70-74,-99722.72
2021,2030,M,75-79,-72804.67
2021,2030,M,80-84,-40391.95
2021,2030,M,85-89,-16240.74
2021,2030,M,90-94,-8049.14
2021,2030,M,95-99,-1743.26
2021,2030,M,100-104,-192.45
2021,2030,M,105-109,-6.94
2021,2030,M,110-114,-0.26
2021,2030,M,115-119,-0.01
2021,2030,M,120+,0.00
2021,2035,M,0-4,-52623.20
2021,2035,M,5-9,-58496.73
2021,2035,M,10-14,-65455.94
2021,2035,M,15-19,-69870.83
2021,2035,M,20-24,-67171.05
2021,2035,M,25-29,-65463.74
2021,2035,M,30-34,-61478.71
2021,2035,M,35-39,-73844.29
2021,2035,M,40-44,-80576.96
2021,2035,M,45-49,-94057.93
2021,2035,M,50-54,-103224.18
2021,2035,M,55-59,-106183.19
2021,2035,M,60-64,-106303.73
2021,2035,M,65-69,-104587.35
2021,2035,M,70-74,-102612.50
2021,2035,M,75-79,-81727.25
2021,2035,M,80-84,-53283.28
2021,2035,M,85-89,-24779.77
2021,2035,M,90-94,-7632.33
2021,2035,M,95-99,-2680.88
2021,2035,M,100-104,-371.24
2021,2035,M,105-109,-23.02
2021,2035,M,110-114,0.40
2021,2035,M,115-119,0.01
2021,2035,M,120+,0.00
2021,2040,M,0-4,-47005.39
2021,2040,M,5-9,-51227.40
2021,2040,M,10-14,-57370.72
2021,2040,M,15-19,-63044.09
2021,2040,M,20-24,-61175.78
2021,2040,M,25-29,-57032.31
2021,2040,M,30-34,-58052.51
2021,2040,M,35-39,-56629.24
2021,2040,M,40-44,-68696.57
2021,2040,M,45-49,-76086.22
2021,2040,M,50-54,-89687.55
2021,2040,M,55-59,-99257.34
2021,2040,M,60-64,-102379.57
2021,2040,M,65-69,-100505.43
2021,2040,M,70-74,-94133.25
2021,2040,M,75-79,-85243.70
2021,2040,M,80-84,-61050.90
2021,2040,M,85-89,-33796.18
2021,2040,M,90-94,-12386.95
2021,2040,M,95-99,-2695.94
2021,2040,M,100-104,-612.92
2021,2040,M,105-109,-47.37
2021,2040,M,110-114,-1.38
2021,2040,M,115-119,0.01
2021,2040,M,120+,0.00
2021,2045,M,0-4,-42733.05
2021,2045,M,5-9,-45744.30
2021,2045,M,10-14,-50254.78
2021,2045,M,15-19,-55269.47
2021,2045,M,20-24,-55103.76
2021,2045,M,25-29,-51872.46
2021,2045,M,30-34,-50640.65
2021,2045,M,35-39,-53231.91
2021,2045,M,40-44,-53072.66
2021,2045,M,45-49,-65046.68
2021,2045,M,50-54,-72879.90
2021,2045,M,55-59,-86459.08
2021,2045,M,60-64,-95869.98
2021,2045,M,65-69,-97075.84
2021,2045,M,70-74,-91158.07
2021,2045,M,75-79,-79240.26
2021,2045,M,80-84,-64902.14
2021,2045,M,85-89,-39859.75
2021,2045,M,90-94,-17640.17
2021,2045,M,95-99,-4703.99
2021,2045,M,100-104,-652.91
2021,2045,M,105-109,-82.76
2021,2045,M,110-114,-2.92
2021,2045,M,115-119,-0.04
2021,2045,M,120+,0.00
2021,2050,M,0-4,-38857.03
2021,2050,M,5-9,-41556.94
2021,2050,M,10-14,-44865.62
2021,2050,M,15-19,-48433.07
2021,2050,M,20-24,-48330.84
2021,2050,M,25-29,-46652.84
2021,2050,M,30-34,-45993.01
2021,2050,M,35-39,-46483.10
2021,2050,M,40-44,-49721.56
2021,2050,M,45-49,-50587.98
2021,2050,M,50-54,-62483.75
2021,2050,M,55-59,-70596.33
2021,2050,M,60-64,-83809.81
2021,2050,M,65-69,-91217.24
2021,2050,M,70-74,-88594.96
2021,2050,M,75-79,-77725.50
2021,2050,M,80-84,-61426.13
2021,2050,M,85-89,-43501.90
2021,2050,M,90-94,-21591.81
2021,2050,M,95-99,-7043.32
2021,2050,M,100-104,-1230.36
2021,2050,M,105-109,-92.17
2021,2050,M,110-114,-5.23
2021,2050,M,115-119,0.08
2021,2050,M,120+,0.00
2021,2055,M,0-4,-35199.50
2021,2055,M,5-9,-37761.93
2021,2055,M,10-14,-40729.74
2021,2055,M,15-19,-43237.67
2021,2055,M,20-24,-42380.37
2021,2055,M,25-29,-40955.29
2021,2055,M,30-34,-41320.62
2021,2055,M,35-39,-42176.66
2021,2055,M,40-44,-43460.58
2021,2055,M,45-49,-47274.45
2021,2055,M,50-54,-48899.51
2021,2055,M,55-59,-60720.63
2021,2055,M,60-64,-68811.49
2021,2055,M,65-69,-80112.44
2021,2055,M,70-74,-83747.42
2021,2055,M,75-79,-76321.76
2021,2055,M,80-84,-61315.95
2021,2055,M,85-89,-42157.95
2021,2055,M,90-94,-24345.11
2021,2055,M,95-99,-8994.12
2021,2055,M,100-104,-1935.46
2021,2055,M,105-109,-186.15
2021,2055,M,110-114,-5.93
2021,2055,M,115-119,0.15
2021,2055,M,120+,0.00
2021,2060,M,0-4,-31669.97
2021,2060,M,5-9,-34191.84
2021,2060,M,10-14,-36987.89
2021,2060,M,15-19,-39231.42
2021,2060,M,20-24,-37844.08
2021,2060,M,25-29,-35953.88
2021,2060,M,30-34,-36312.32
2021,2060,M,35-39,-37865.44
2021,2060,M,40-44,-39413.08
2021,2060,M,45-49,-41369.70
2021,2060,M,50-54,-45622.73
2021,2060,M,55-59,-47809.01
2021,2060,M,60-64,-59391.33
2021,2060,M,65-69,-66174.08
2021,2060,M,70-74,-73966.90
2021,2060,M,75-79,-72796.88
2021,2060,M,80-84,-61014.45
2021,2060,M,85-89,-43035.44
2021,2060,M,90-94,-24244.79
2021,2060,M,95-99,-10494.65
2021,2060,M,100-104,-2569.55
2021,2060,M,105-109,-303.46
2021,2060,M,110-114,-12.46
2021,2060,M,115-119,-0.17
2021,2060,M,120+,0.00
2021,2065,M,0-4,-28373.21
2021,2065,M,5-9,-30759.55
2021,2065,M,10-14,-33479.79
2021,2065,M,15-19,-35612.66
2021,2065,M,20-24,-34322.06
2021,2065,M,25-29,-32112.10
2021,2065,M,30-34,-31921.72
2021,2065,M,35-39,-33318.11
2021,2065,M,40-44,-35378.22
2021,2065,M,45-49,-37515.32
2021,2065,M,50-54,-39988.32
2021,2065,M,55-59,-44579.06
2021,2065,M,60-64,-47093.34
2021,2065,M,65-69,-57348.82
2021,2065,M,70-74,-61497.82
2021,2065,M,75-79,-64840.95
2021,2065,M,80-84,-58950.55
2021,2065,M,85-89,-43636.06
