Year,SEX,UNIT_MEASURE,AGE,Value
2020,_T,_%,25-29,6.24
2020,_T,_%,30-34,6.89
2020,_T,_%,35-39,7.23
2020,_T,_%,40-44,7.14
2020,_T,_%,45-49,7
2020,_T,_%,50-54,7.04
2020,_T,_%,55-59,7.65
2020,_T,_%,60-64,7.35
2020,_T,_%,65-69,6.45
2020,_T,_%,70-74,4.76
2020,_T,_%,75-79,2.88
2020,_T,_%,80-84,2.46
2020,_T,_%,85-89,1.1
2020,_T,_%,90-94,0.29
2020,_T,_%,95-99,0.04
2020,_T,_%,100-104,0
2020,_T,_%,105-109,0
2020,_T,_%,110-114,0
2020,_T,_%,115-119,0
2020,_T,_%,120+,0
2025,_T,_%,0-4,4.07
2025,_T,_%,5-9,4.37
2025,_T,_%,10-14,4.76
2025,_T,_%,15-19,5.26
2025,_T,_%,20-24,4.89
2025,_T,_%,25-29,5.66
2025,_T,_%,30-34,5.94
2025,_T,_%,35-39,6.73
2025,_T,_%,40-44,7.17
2025,_T,_%,45-49,7.18
2025,_T,_%,50-54,7.12
2025,_T,_%,55-59,7.2
2025,_T,_%,60-64,7.78
2025,_T,_%,65-69,7.32
2025,_T,_%,70-74,6.1
2025,_T,_%,75-79,4.14
2025,_T,_%,80-84,2.19
2025,_T,_%,85-89,1.52
2025,_T,_%,90-94,0.5
2025,_T,_%,95-99,0.09
2025,_T,_%,100-104,0.01
2025,_T,_%,105-109,0
2025,_T,_%,110-114,0
2025,_T,_%,115-119,0
2025,_T,_%,120+,0
2030,_T,_%,0-4,3.77
2030,_T,_%,5-9,4.2
2030,_T,_%,10-14,4.55
2030,_T,_%,15-19,4.87
2030,_T,_%,20-24,4.97
2030,_T,_%,25-29,4.52
2030,_T,_%,30-34,5.44
2030,_T,_%,35-39,5.86
2030,_T,_%,40-44,6.73
2030,_T,_%,45-49,7.24
2030,_T,_%,50-54,7.34
2030,_T,_%,55-59,7.33
2030,_T,_%,60-64,7.39
2030,_T,_%,65-69,7.8
2030,_T,_%,70-74,6.99
2030,_T,_%,75-79,5.4
2030,_T,_%,80-84,3.27
2030,_T,_%,85-89,1.42
2030,_T,_%,90-94,0.73
2030,_T,_%,95-99,0.16
2030,_T,_%,100-104,0.02
2030,_T,_%,105-109,0
2030,_T,_%,110-114,0
2030,_T,_%,115-119,0
2030,_T,_%,120+,0
2035,_T,_%,0-4,3.51
2035,_T,_%,5-9,3.91
2035,_T,_%,10-14,4.4
2035,_T,_%,15-19,4.69
2035,_T,_%,20-24,4.62
2035,_T,_%,25-29,4.6
2035,_T,_%,30-34,4.41
2035,_T,_%,35-39,5.43
2035,_T,_%,40-44,5.92
2035,_T,_%,45-49,6.85
2035,_T,_%,50-54,7.45
2035,_T,_%,55-59,7.61
2035,_T,_%,60-64,7.59
2035,_T,_%,65-69,7.5
2035,_T,_%,70-74,7.56
2035,_T,_%,75-79,6.31
2035,_T,_%,80-84,4.38
2035,_T,_%,85-89,2.22
2035,_T,_%,90-94,0.73
2035,_T,_%,95-99,0.26
2035,_T,_%,100-104,0.03
2035,_T,_%,105-109,0
2035,_T,_%,110-114,0
2035,_T,_%,115-119,0
2035,_T,_%,120+,0
2040,_T,_%,0-4,3.36
2040,_T,_%,5-9,3.68
2040,_T,_%,10-14,4.13
2040,_T,_%,15-19,4.56
2040,_T,_%,20-24,4.49
2040,_T,_%,25-29,4.32
2040,_T,_%,30-34,4.5
2040,_T,_%,35-39,4.46
2040,_T,_%,40-44,5.54
2040,_T,_%,45-49,6.1
2040,_T,_%,50-54,7.12
2040,_T,_%,55-59,7.78
2040,_T,_%,60-64,7.94
2040,_T,_%,65-69,7.78
2040,_T,_%,70-74,7.38
2040,_T,_%,75-79,6.95
2040,_T,_%,80-84,5.25
2040,_T,_%,85-89,3.09
2040,_T,_%,90-94,1.22
2040,_T,_%,95-99,0.27
2040,_T,_%,100-104,0.06
2040,_T,_%,105-109,0
2040,_T,_%,110-114,0
2040,_T,_%,115-119,0
2040,_T,_%,120+,0
2045,_T,_%,0-4,3.3
2045,_T,_%,5-9,3.54
2045,_T,_%,10-14,3.91
2045,_T,_%,15-19,4.32
2045,_T,_%,20-24,4.39
2045,_T,_%,25-29,4.23
2045,_T,_%,30-34,4.26
2045,_T,_%,35-39,4.58
2045,_T,_%,40-44,4.62
2045,_T,_%,45-49,5.76
2045,_T,_%,50-54,6.4
2045,_T,_%,55-59,7.5
