Year,UNIT_MEASURE,Sex,Age,Administrative area,Value
2013,Number,Both sexes,42,Republika Srpska,15959
2013,Number,Both sexes,43,Republika Srpska,15159
2013,Number,Both sexes,44,Republika Srpska,15975
2013,Number,Both sexes,45,Republika Srpska,16366
2013,Number,Both sexes,46,Republika Srpska,17354
2013,Number,Both sexes,47,Republika Srpska,17644
2013,Number,Both sexes,48,Republika Srpska,18118
2013,Number,Both sexes,49,Republika Srpska,17764
2013,Number,Both sexes,50,Republika Srpska,18129
2013,Number,Both sexes,51,Republika Srpska,19279
2013,Number,Both sexes,52,Republika Srpska,19220
2013,Number,Both sexes,53,Republika Srpska,19247
2013,Number,Both sexes,54,Republika Srpska,20131
2013,Number,Both sexes,55,Republika Srpska,18809
2013,Number,Both sexes,56,Republika Srpska,18331
2013,Number,Both sexes,57,Republika Srpska,19518
2013,Number,Both sexes,58,Republika Srpska,20118
2013,Number,Both sexes,59,Republika Srpska,19897
2013,Number,Both sexes,60,Republika Srpska,20106
2013,Number,Both sexes,61,Republika Srpska,18842
2013,Number,Both sexes,62,Republika Srpska,16910
2013,Number,Both sexes,63,Republika Srpska,16983
2013,Number,Both sexes,64,Republika Srpska,16649
2013,Number,Both sexes,65,Republika Srpska,14404
2013,Number,Both sexes,66,Republika Srpska,15233
2013,Number,Both sexes,67,Republika Srpska,11899
2013,Number,Both sexes,68,Republika Srpska,9855
2013,Number,Both sexes,69,Republika Srpska,9879
2013,Number,Both sexes,70,Republika Srpska,9798
2013,Number,Both sexes,71,Republika Srpska,10268
2013,Number,Both sexes,72,Republika Srpska,11904
2013,Number,Both sexes,73,Republika Srpska,12421
2013,Number,Both sexes,74,Republika Srpska,11682
2013,Number,Both sexes,75,Republika Srpska,11369
2013,Number,Both sexes,76,Republika Srpska,10585
2013,Number,Both sexes,77,Republika Srpska,10014
2013,Number,Both sexes,78,Republika Srpska,8706
2013,Number,Both sexes,79,Republika Srpska,8117
2013,Number,Both sexes,80,Republika Srpska,6749
2013,Number,Both sexes,81,Republika Srpska,6055
2013,Number,Both sexes,82,Republika Srpska,4955
2013,Number,Both sexes,83,Republika Srpska,4658
2013,Number,Both sexes,84,Republika Srpska,3592
2013,Number,Both sexes,85+,Republika Srpska,11771
2013,Number,Both sexes,Unknown,Republika Srpska,0
2013,Number,Both sexes,Total,Republika Srpska,1228423
2013,Number,M,0,Republika Srpska,5330
2013,Number,M,1,Republika Srpska,5435
2013,Number,M,2,Republika Srpska,5617
2013,Number,M,3,Republika Srpska,5812
2013,Number,M,4,Republika Srpska,6053
2013,Number,M,5,Republika Srpska,5889
2013,Number,M,6,Republika Srpska,5619
2013,Number,M,7,Republika Srpska,5667
2013,Number,M,8,Republika Srpska,5903
2013,Number,M,9,Republika Srpska,5935
2013,Number,M,10,Republika Srpska,6009
2013,Number,M,11,Republika Srpska,6093
2013,Number,M,12,Republika Srpska,6516
2013,Number,M,13,Republika Srpska,6505
2013,Number,M,14,Republika Srpska,6626
2013,Number,M,15,Republika Srpska,7306
2013,Number,M,16,Republika Srpska,8099
2013,Number,M,17,Republika Srpska,7621
2013,Number,M,18,Republika Srpska,7885
2013,Number,M,19,Republika Srpska,7972
2013,Number,M,20,Republika Srpska,6576
2013,Number,M,21,Republika Srpska,7089
2013,Number,M,22,Republika Srpska,7914
2013,Number,M,23,Republika Srpska,7872
2013,Number,M,24,Republika Srpska,7801
2013,Number,M,25,Republika Srpska,8267
2013,Number,M,26,Republika Srpska,8234
2013,Number,M,27,Republika Srpska,8197
2013,Number,M,28,Republika Srpska,8623
2013,Number,M,29,Republika Srpska,8900
2013,Number,M,30,Republika Srpska,8788
2013,Number,M,31,Republika Srpska,8854
2013,Number,M,32,Republika Srpska,8715
2013,Number,M,33,Republika Srpska,8746
2013,Number,M,34,Republika Srpska,8644
2013,Number,M,35,Republika Srpska,8818
2013,Number,M,36,Republika Srpska,8821
2013,Number,M,37,Republika Srpska,9154
2013,Number,M,38,Republika Srpska,8748
2013,Number,M,39,Republika Srpska,8540
2013,Number,M,40,Republika Srpska,8485
2013,Number,M,41,Republika Srpska,8652
2013,Number,M,42,Republika Srpska,8241
2013,Number,M,43,Republika Srpska,7740
2013,Number,M,44,Republika Srpska,8229
2013,Number,M,45,Republika Srpska,8297
2013,Number,M,46,Republika Srpska,8826
2013,Number,M,47,Republika Srpska,8964
2013,Number,M,48,Republika Srpska,9100
2013,Number,M,49,Republika Srpska,8870
2013,Number,M,50,Republika Srpska,8995
2013,Number,M,51,Republika Srpska,9574
2013,Number,M,52,Republika Srpska,9575
2013,Number,M,53,Republika Srpska,9548
2013,Number,M,54,Republika Srpska,9833
2013,Number,M,55,Republika Srpska,9160
2013,Number,M,56,Republika Srpska,8931
2013,Number,M,57,Republika Srpska,9518
2013,Number,M,58,Republika Srpska,9803
2013,Number,M,59,Republika Srpska,9734
2013,Number,M,60,Republika Srpska,9704
2013,Number,M,61,Republika Srpska,8999
2013,Number,M,62,Republika Srpska,8098
2013,Number,M,63,Republika Srpska,8022
2013,Number,M,64,Republika Srpska,7849
2013,Number,M,65,Republika Srpska,6607
2013,Number,M,66,Republika Srpska,7031
2013,Number,M,67,Republika Srpska,5391
2013,Number,M,68,Republika Srpska,4414
2013,Number,M,69,Republika Srpska,4439
2013,Number,M,70,Republika Srpska,4144
2013,Number,M,71,Republika Srpska,4446
2013,Number,M,72,Republika Srpska,5149
2013,Number,M,73,Republika Srpska,5273
2013,Number,M,74,Republika Srpska,4938
2013,Number,M,75,Republika Srpska,4752
2013,Number,M,76,Republika Srpska,4366
2013,Number,M,77,Republika Srpska,3935
2013,Number,M,78,Republika Srpska,3377
2013,Number,M,79,Republika Srpska,3135
2013,Number,M,80,Republika Srpska,2568
2013,Number,M,81,Republika Srpska,2288
