Year,AGE,Administrative area,UNIT_MEASURE,Value
2015,15 - 19,Republika Srpska,Number,311
2015,13 - 14,Brčko District of BiH,Number,1
2015,15 - 19,Brčko District of BiH,Number,55
2015,13 - 14,BiH,Number,5
2015,15 - 19,BiH,Number,1314
2016,13 - 14,Federation of BiH,Number,3
2016,15 - 19,Federation of BiH,Number,906
2016,13 - 14,Republika Srpska,Number,1
2016,15 - 19,Republika Srpska,Number,337
2016,13 - 14,Brčko District of BiH,Number,0
2016,15 - 19,Brčko District of BiH,Number,45
2016,13 - 14,BiH,Number,4
2016,15 - 19,BiH,Number,1288
2017,13 - 14,Federation of BiH,Number,6
2017,15 - 19,Federation of BiH,Number,734
2017,13 - 14,Republika Srpska,Number,0
2017,15 - 19,Republika Srpska,Number,280
2017,13 - 14,Brčko District of BiH,Number,4
2017,15 - 19,Brčko District of BiH,Number,50
2017,13 - 14,BiH,Number,10
2017,15 - 19,BiH,Number,1064
2018,13 - 14,Federation of BiH,Number,4
2018,15 - 19,Federation of BiH,Number,643
2018,13 - 14,Republika Srpska,Number,1
2018,15 - 19,Republika Srpska,Number,219
2018,13 - 14,Brčko District of BiH,Number,0
2018,15 - 19,Brčko District of BiH,Number,35
2018,13 - 14,BiH,Number,5
2018,15 - 19,BiH,Number,897
2019,13 - 14,Federation of BiH,Number,1
2019,15 - 19,Federation of BiH,Number,580
2019,13 - 14,Republika Srpska,Number,1
2019,15 - 19,Republika Srpska,Number,223
2019,13 - 14,Brčko District of BiH,Number,2
2019,15 - 19,Brčko District of BiH,Number,42
2019,13 - 14,BiH,Number,4
2019,15 - 19,BiH,Number,845
