Year,Administrative area,Sex,Infant Mortality Infant (up to 12 months of age) mortality rate,UNIT_MEASURE,Value
2019,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,15.0
1996,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,99.0
1997,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,93.0
1998,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,67.0
1999,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,68.0
2000,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,57.0
2001,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,41.0
2002,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,53.0
2003,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,32.0
2004,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,43.0
2005,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,20.0
2006,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,31.0
2007,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,18.0
2008,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,20.0
2009,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,29.0
2010,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,20.0
2011,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,26.0
2012,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,25.0
2013,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,21.0
2014,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,11.0
2015,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,9.0
2016,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,17.0
2017,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,13.0
2018,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,7.0
2019,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,7.0
1996,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,80.0
1997,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,63.0
1998,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,45.0
1999,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,51.0
2000,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,46.0
2001,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,32.0
2002,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,36.0
2003,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,32.0
2004,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,18.0
2005,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,17.0
2006,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,19.0
2007,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,20.0
2008,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,20.0
2009,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,22.0
2010,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,24.0
2011,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,17.0
2012,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,12.0
2013,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,12.0
2014,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,18.0
2015,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,17.0
2016,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,6.0
2017,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,13.0
2018,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,10.0
2019,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,8.0
