Year,SEX,Entity,UNIT_MEASURE,Value
2004,F,FBIH,Age,73.3
2005,F,FBIH,Age,73.7
2006,F,FBIH,Age,74.1
2007,F,FBIH,Age,74.3
2008,F,FBIH,Age,74.7
2009,F,FBIH,Age,75.0
2010,F,FBIH,Age,74.9
2011,F,FBIH,Age,75.0
2012,F,FBIH,Age,75.5
2013,F,FBIH,Age,75.6
2010,_T,RS,Age,72.1
2011,_T,RS,Age,72.5
2012,_T,RS,Age,73.0
2013,_T,RS,Age,73.0
2014,_T,RS,Age,73.0
2015,_T,RS,Age,73.7
2016,_T,RS,Age,73.8
2017,_T,RS,Age,74.5
2018,_T,RS,Age,74.5
2019,_T,RS,Age,74.5
2009,M,RS,Age,64.9
2011,M,RS,Age,65.2
2012,M,RS,Age,66.5
2013,M,RS,Age,66.3
2014,M,RS,Age,67.0
2015,M,RS,Age,67.0
2016,M,RS,Age,67.3
2017,M,RS,Age,67.6
2018,M,RS,Age,68.2
2019,M,RS,Age,68.3
1961,M,RS,Age,68.9
1971,M,RS,Age,69.4
1981,M,RS,Age,69.6
1991,M,RS,Age,70.1
1996,M,RS,Age,70.1
1997,M,RS,Age,70.5
1998,M,RS,Age,71.0
1999,M,RS,Age,71.0
2000,M,RS,Age,71.6
2001,M,RS,Age,71.6
2002,M,RS,Age,71.7
2009,F,RS,Age,70.8
2011,F,RS,Age,71.2
2012,F,RS,Age,71.3
2013,F,RS,Age,72.0
2014,F,RS,Age,72.0
2015,F,RS,Age,72.0
2016,F,RS,Age,72.5
2017,F,RS,Age,73.1
2018,F,RS,Age,74.0
2019,F,RS,Age,74.3
2003,F,RS,Age,74.4
2004,F,RS,Age,74.9
2005,F,RS,Age,75.5
2006,F,RS,Age,76.1
2007,F,RS,Age,76.0
2008,F,RS,Age,76.1
2009,F,RS,Age,76.5
2010,F,RS,Age,76.9
2011,F,RS,Age,77.4
2012,F,RS,Age,77.4
2013,F,RS,Age,77.4
2004,_T,BD,Age,70.6
2005,_T,BD,Age,71.2
2006,_T,BD,Age,71.5
2007,_T,BD,Age,70.3
2008,_T,BD,Age,70.7
2009,_T,BD,Age,71.5
2010,_T,BD,Age,72.1
2011,_T,BD,Age,73.3
2012,_T,BD,Age,70.9
2013,_T,BD,Age,73.2
2014,_T,BD,Age,71.7
2015,_T,BD,Age,76.2
2016,_T,BD,Age,75.3
2017,_T,BD,Age,75.5
2018,_T,BD,Age,75.2
2019,_T,BD,Age,75.8
2015,M,BD,Age,68.1
2016,M,BD,Age,68.4
2017,M,BD,Age,68.5
2018,M,BD,Age,67.7
2019,M,BD,Age,67.1
1961,M,BD,Age,70.6
1971,M,BD,Age,69.8
1981,M,BD,Age,69.9
1991,M,BD,Age,69.1
1996,M,BD,Age,70.8
1997,M,BD,Age,69.1
1998,M,BD,Age,74.8
1999,M,BD,Age,72.9
2000,M,BD,Age,73.5
2001,M,BD,Age,71.1
2002,M,BD,Age,74.0
2015,F,BD,Age,73.2
2016,F,BD,Age,74.1
2017,F,BD,Age,74.8
2018,F,BD,Age,73.0
2019,F,BD,Age,74.7
2003,F,BD,Age,74.3
2004,F,BD,Age,75.0
2005,F,BD,Age,75.7
2006,F,BD,Age,72.6
2007,F,BD,Age,75.7
2008,F,BD,Age,74.4
2009,F,BD,Age,77.7
2010,F,BD,Age,78.1
2011,F,BD,Age,77.5
2012,F,BD,Age,77.3
2013,F,BD,Age,77.6
