Year,UNIT_MEASURE,SEX,AGE,Municipality,Value
2013,NUMBER,F,Total,Orašje,9802
2013,NUMBER,_T,Total,Osmaci,6016
2013,NUMBER,M,Total,Osmaci,3065
2013,NUMBER,F,Total,Osmaci,2951
2013,NUMBER,_T,Total,Oštra Luka,2786
2013,NUMBER,M,Total,Oštra Luka,1440
2013,NUMBER,F,Total,Oštra Luka,1346
2013,NUMBER,_T,Total,Pale - FBiH,904
2013,NUMBER,M,Total,Pale - FBiH,456
2013,NUMBER,F,Total,Pale - FBiH,448
2013,NUMBER,_T,Total,Pale - RS,20909
2013,NUMBER,M,Total,Pale - RS,10038
2013,NUMBER,F,Total,Pale - RS,10871
2013,NUMBER,_T,Total,Pelagićevo,5220
2013,NUMBER,M,Total,Pelagićevo,2609
2013,NUMBER,F,Total,Pelagićevo,2611
2013,NUMBER,_T,Total,Petrovac,361
2013,NUMBER,M,Total,Petrovac,172
2013,NUMBER,F,Total,Petrovac,189
2013,NUMBER,_T,Total,Petrovo,6474
2013,NUMBER,M,Total,Petrovo,3124
2013,NUMBER,F,Total,Petrovo,3350
2013,NUMBER,_T,Total,Posušje,20477
2013,NUMBER,M,Total,Posušje,10287
2013,NUMBER,F,Total,Posušje,10190
2013,NUMBER,_T,Total,Prijedor,89397
2013,NUMBER,M,Total,Prijedor,43863
2013,NUMBER,F,Total,Prijedor,45534
2013,NUMBER,_T,Total,Prnjavor,35956
2013,NUMBER,M,Total,Prnjavor,17572
2013,NUMBER,F,Total,Prnjavor,18384
2013,NUMBER,_T,Total,Prozor,14280
2013,NUMBER,M,Total,Prozor,7210
2013,NUMBER,F,Total,Prozor,7070
2013,NUMBER,_T,Total,Ravno,3219
2013,NUMBER,M,Total,Ravno,1657
2013,NUMBER,F,Total,Ravno,1562
2013,NUMBER,_T,Total,Ribnik,6048
2013,NUMBER,M,Total,Ribnik,3009
2013,NUMBER,F,Total,Ribnik,3039
2013,NUMBER,_T,Total,Rogatica,10723
2013,NUMBER,M,Total,Rogatica,5270
2013,NUMBER,F,Total,Rogatica,5453
2013,NUMBER,_T,Total,Rudo,7963
2013,NUMBER,M,Total,Rudo,4050
2013,NUMBER,F,Total,Rudo,3913
2013,NUMBER,_T,Total,Sanski Most,41475
2013,NUMBER,M,Total,Sanski Most,20826
2013,NUMBER,F,Total,Sanski Most,20649
2013,NUMBER,_T,Total,Sapna,11178
2013,NUMBER,M,Total,Sapna,5739
2013,NUMBER,F,Total,Sapna,5439
2013,NUMBER,_T,Total,Sokolac,12021
2013,NUMBER,M,Total,Sokolac,5919
2013,NUMBER,F,Total,Sokolac,6102
2013,NUMBER,_T,Total,Srbac,17587
2013,NUMBER,M,Total,Srbac,8623
2013,NUMBER,F,Total,Srbac,8964
