Year,UNIT_MEASURE,Пол,Године,Ентитет,Value
2013,Број,Мушкарци,10-14,Федерација БиХ,64493
2013,Број,Мушкарци,15-19,Федерација БиХ,83298
2013,Број,Мушкарци,20-24,Федерација БиХ,77103
2013,Број,Мушкарци,25-29,Федерација БиХ,84119
2013,Број,Мушкарци,30-34,Федерација БиХ,81932
2013,Број,Мушкарци,35-39,Федерација БиХ,78939
2013,Број,Мушкарци,40-44,Федерација БиХ,77122
2013,Број,Мушкарци,45-49,Федерација БиХ,82594
2013,Број,Мушкарци,50-54,Федерација БиХ,85303
2013,Број,Мушкарци,55-59,Федерација БиХ,75568
2013,Број,Мушкарци,60-64,Федерација БиХ,59899
2013,Број,Мушкарци,65-69,Федерација БиХ,39438
2013,Број,Мушкарци,70-74,Федерација БиХ,34445
2013,Број,Мушкарци,75-79,Федерација БиХ,26695
2013,Број,Мушкарци,80-84,Федерација БиХ,13493
2013,Број,Мушкарци,85+,Федерација БиХ,4902
2013,Број,Мушкарци,Unknown,Федерација БиХ,0
2013,Број,Мушкарци,Total,Федерација БиХ,1087993
2013,Број,Мушкарци,0-14,Федерација БиХ,183143
2013,Број,Мушкарци,15-29,Федерација БиХ,244520
2013,Број,Мушкарци,15-49,Федерација БиХ,565107
2013,Број,Мушкарци,15-64,Федерација БиХ,785877
2013,Број,Мушкарци,65+,Федерација БиХ,118973
2013,Број,Мушкарци,75+,Федерација БиХ,45090
2013,Број,Жене,0-4,Федерација БиХ,55826
2013,Број,Жене,5-9,Федерација БиХ,56419
2013,Број,Жене,10-14,Федерација БиХ,61560
2013,Број,Жене,15-19,Федерација БиХ,78583
2013,Број,Жене,20-24,Федерација БиХ,73799
2013,Број,Жене,25-29,Федерација БиХ,80084
2013,Број,Жене,30-34,Федерација БиХ,79056
2013,Број,Жене,35-39,Федерација БиХ,78776
2013,Број,Жене,40-44,Федерација БиХ,77708
2013,Број,Жене,45-49,Федерација БиХ,84515
2013,Број,Жене,50-54,Федерација БиХ,88693
2013,Број,Жене,55-59,Федерација БиХ,80521
2013,Број,Жене,60-64,Федерација БиХ,68714
2013,Број,Жене,65-69,Федерација БиХ,48953
2013,Број,Жене,70-74,Федерација БиХ,46578
2013,Број,Жене,75-79,Федерација БиХ,38918
2013,Број,Жене,80-84,Федерација БиХ,21734
2013,Број,Жене,85+,Федерација БиХ,10790
2013,Број,Жене,Unknown,Федерација БиХ,0
2013,Број,Жене,Total,Федерација БиХ,1131227
2013,Број,Жене,0-14,Федерација БиХ,173805
2013,Број,Жене,15-29,Федерација БиХ,232466
2013,Број,Жене,15-49,Федерација БиХ,552521
2013,Број,Жене,15-64,Федерација БиХ,790449
2013,Број,Жене,65+,Федерација БиХ,166973
2013,Број,Жене,75+,Федерација БиХ,71442
2013,Број,Оба пола или без подјеле по полу,0-4,Република Српска,55056
2013,Број,Оба пола или без подјеле по полу,5-9,Република Српска,56616
2013,Број,Оба пола или без подјеле по полу,10-14,Република Српска,62018
2013,Број,Оба пола или без подјеле по полу,15-19,Република Српска,75538
2013,Број,Оба пола или без подјеле по полу,20-24,Република Српска,72218
2013,Број,Оба пола или без подјеле по полу,25-29,Република Српска,82386
2013,Број,Оба пола или без подјеле по полу,30-34,Република Српска,85654
2013,Број,Оба пола или без подјеле по полу,35-39,Република Српска,85445
2013,Број,Оба пола или без подјеле по полу,40-44,Република Српска,80163
2013,Број,Оба пола или без подјеле по полу,45-49,Република Српска,87246
2013,Број,Оба пола или без подјеле по полу,50-54,Република Српска,96006
2013,Број,Оба пола или без подјеле по полу,55-59,Република Српска,96673
2013,Број,Оба пола или без подјеле по полу,60-64,Република Српска,89490
2013,Број,Оба пола или без подјеле по полу,65-69,Република Српска,61270
2013,Број,Оба пола или без подјеле по полу,70-74,Република Српска,56073
2013,Број,Оба пола или без подјеле по полу,75-79,Република Српска,48791
2013,Број,Оба пола или без подјеле по полу,80-84,Република Српска,26009
2013,Број,Оба пола или без подјеле по полу,85+,Република Српска,11771
2013,Број,Оба пола или без подјеле по полу,Unknown,Република Српска,0
2013,Број,Оба пола или без подјеле по полу,Total,Република Српска,1228423
2013,Број,Оба пола или без подјеле по полу,0-14,Република Српска,173690
2013,Број,Оба пола или без подјеле по полу,15-29,Република Српска,230142
2013,Број,Оба пола или без подјеле по полу,15-49,Република Српска,568650
2013,Број,Оба пола или без подјеле по полу,15-64,Република Српска,850819
2013,Број,Оба пола или без подјеле по полу,65+,Република Српска,203914
2013,Број,Оба пола или без подјеле по полу,75+,Република Српска,86571
2013,Број,Мушкарци,0-4,Република Српска,28247
2013,Број,Мушкарци,5-9,Република Српска,29013
2013,Број,Мушкарци,10-14,Република Српска,31749
2013,Број,Мушкарци,15-19,Република Српска,38883
2013,Број,Мушкарци,20-24,Република Српска,37252
2013,Број,Мушкарци,25-29,Република Српска,42221
2013,Број,Мушкарци,30-34,Република Српска,43747
2013,Број,Мушкарци,35-39,Република Српска,44081
2013,Број,Мушкарци,40-44,Република Српска,41347
2013,Број,Мушкарци,45-49,Република Српска,44057
2013,Број,Мушкарци,50-54,Република Српска,47525
2013,Број,Мушкарци,55-59,Република Српска,47146
2013,Број,Мушкарци,60-64,Република Српска,42672
2013,Број,Мушкарци,65-69,Република Српска,27882
2013,Број,Мушкарци,70-74,Република Српска,23950
2013,Број,Мушкарци,75-79,Република Српска,19565
2013,Број,Мушкарци,80-84,Република Српска,9763
2013,Број,Мушкарци,85+,Република Српска,3927
2013,Број,Мушкарци,Unknown,Република Српска,0
2013,Број,Мушкарци,Total,Република Српска,603027
2013,Број,Мушкарци,0-14,Република Српска,89009
2013,Број,Мушкарци,15-29,Република Српска,118356
2013,Број,Мушкарци,15-49,Република Српска,291588
2013,Број,Мушкарци,15-64,Република Српска,428931
2013,Број,Мушкарци,65+,Република Српска,85087
2013,Број,Мушкарци,75+,Република Српска,33255
2013,Број,Жене,0-4,Република Српска,26809
2013,Број,Жене,5-9,Република Српска,27603
2013,Број,Жене,10-14,Република Српска,30269
2013,Број,Жене,15-19,Република Српска,36655
2013,Број,Жене,20-24,Република Српска,34966
2013,Број,Жене,25-29,Република Српска,40165
2013,Број,Жене,30-34,Република Српска,41907
2013,Број,Жене,35-39,Република Српска,41364
2013,Број,Жене,40-44,Република Српска,38816
2013,Број,Жене,45-49,Република Српска,43189
2013,Број,Жене,50-54,Република Српска,48481
2013,Број,Жене,55-59,Република Српска,49527
2013,Број,Жене,60-64,Република Српска,46818
2013,Број,Жене,65-69,Република Српска,33388
2013,Број,Жене,70-74,Република Српска,32123
2013,Број,Жене,75-79,Република Српска,29226
2013,Број,Жене,80-84,Република Српска,16246
2013,Број,Жене,85+,Република Српска,7844
2013,Број,Жене,Unknown,Република Српска,0
2013,Број,Жене,Total,Република Српска,625396
2013,Број,Жене,0-14,Република Српска,84681
2013,Број,Жене,15-29,Република Српска,111786
2013,Број,Жене,15-49,Република Српска,277062
2013,Број,Жене,15-64,Република Српска,421888
2013,Број,Жене,65+,Република Српска,118827
2013,Број,Жене,75+,Република Српска,53316
2013,Број,Оба пола или без подјеле по полу,0-4,Брчко Дистрикт БиХ,4165
2013,Број,Оба пола или без подјеле по полу,5-9,Брчко Дистрикт БиХ,4312
2013,Број,Оба пола или без подјеле по полу,10-14,Брчко Дистрикт БиХ,4604
2013,Број,Оба пола или без подјеле по полу,15-19,Брчко Дистрикт БиХ,5323
2013,Број,Оба пола или без подјеле по полу,20-24,Брчко Дистрикт БиХ,4936
2013,Број,Оба пола или без подјеле по полу,25-29,Брчко Дистрикт БиХ,5729
2013,Број,Оба пола или без подјеле по полу,30-34,Брчко Дистрикт БиХ,5991
2013,Број,Оба пола или без подјеле по полу,35-39,Брчко Дистрикт БиХ,6106
2013,Број,Оба пола или без подјеле по полу,40-44,Брчко Дистрикт БиХ,6145
2013,Број,Оба пола или без подјеле по полу,45-49,Брчко Дистрикт БиХ,6573
2013,Број,Оба пола или без подјеле по полу,50-54,Брчко Дистрикт БиХ,6573
2013,Број,Оба пола или без подјеле по полу,55-59,Брчко Дистрикт БиХ,5775
2013,Број,Оба пола или без подјеле по полу,60-64,Брчко Дистрикт БиХ,5148
2013,Број,Оба пола или без подјеле по полу,65-69,Брчко Дистрикт БиХ,3908
2013,Број,Оба пола или без подјеле по полу,70-74,Брчко Дистрикт БиХ,3359
2013,Број,Оба пола или без подјеле по полу,75-79,Брчко Дистрикт БиХ,2863
2013,Број,Оба пола или без подјеле по полу,80-84,Брчко Дистрикт БиХ,1400
2013,Број,Оба пола или без подјеле по полу,85+,Брчко Дистрикт БиХ,606
2013,Број,Оба пола или без подјеле по полу,Unknown,Брчко Дистрикт БиХ,0
2013,Број,Оба пола или без подјеле по полу,Total,Брчко Дистрикт БиХ,83516
2013,Број,Оба пола или без подјеле по полу,0-14,Брчко Дистрикт БиХ,13081
2013,Број,Оба пола или без подјеле по полу,15-29,Брчко Дистрикт БиХ,15988
2013,Број,Оба пола или без подјеле по полу,15-49,Брчко Дистрикт БиХ,40803
2013,Број,Оба пола или без подјеле по полу,15-64,Брчко Дистрикт БиХ,58299
2013,Број,Оба пола или без подјеле по полу,65+,Брчко Дистрикт БиХ,12136
2013,Број,Оба пола или без подјеле по полу,75+,Брчко Дистрикт БиХ,4869
2013,Број,Мушкарци,0-4,Брчко Дистрикт БиХ,2178
2013,Број,Мушкарци,5-9,Брчко Дистрикт БиХ,2235
2013,Број,Мушкарци,10-14,Брчко Дистрикт БиХ,2411
2013,Број,Мушкарци,15-19,Брчко Дистрикт БиХ,2719
2013,Број,Мушкарци,20-24,Брчко Дистрикт БиХ,2528
2013,Број,Мушкарци,25-29,Брчко Дистрикт БиХ,2908
2013,Број,Мушкарци,30-34,Брчко Дистрикт БиХ,2914
2013,Број,Мушкарци,35-39,Брчко Дистрикт БиХ,3125
2013,Број,Мушкарци,40-44,Брчко Дистрикт БиХ,3126
2013,Број,Мушкарци,45-49,Брчко Дистрикт БиХ,3436
2013,Број,Мушкарци,50-54,Брчко Дистрикт БиХ,3325
2013,Број,Мушкарци,55-59,Брчко Дистрикт БиХ,2862
2013,Број,Мушкарци,60-64,Брчко Дистрикт БиХ,2399
2013,Број,Мушкарци,65-69,Брчко Дистрикт БиХ,1746
2013,Број,Мушкарци,70-74,Брчко Дистрикт БиХ,1459
2013,Број,Мушкарци,75-79,Брчко Дистрикт БиХ,1143
2013,Број,Мушкарци,80-84,Брчко Дистрикт БиХ,513
2013,Број,Мушкарци,85+,Брчко Дистрикт БиХ,223
2013,Број,Мушкарци,Unknown,Брчко Дистрикт БиХ,0
2013,Број,Мушкарци,Total,Брчко Дистрикт БиХ,41250
2013,Број,Мушкарци,0-14,Брчко Дистрикт БиХ,6824
2013,Број,Мушкарци,15-29,Брчко Дистрикт БиХ,8155
2013,Број,Мушкарци,15-49,Брчко Дистрикт БиХ,20756
2013,Број,Мушкарци,15-64,Брчко Дистрикт БиХ,29342
2013,Број,Мушкарци,65+,Брчко Дистрикт БиХ,5084
2013,Број,Мушкарци,75+,Брчко Дистрикт БиХ,1879
2013,Број,Жене,0-4,Брчко Дистрикт БиХ,1987
2013,Број,Жене,5-9,Брчко Дистрикт БиХ,2077
2013,Број,Жене,10-14,Брчко Дистрикт БиХ,2193
2013,Број,Жене,15-19,Брчко Дистрикт БиХ,2604
2013,Број,Жене,20-24,Брчко Дистрикт БиХ,2408
2013,Број,Жене,25-29,Брчко Дистрикт БиХ,2821
2013,Број,Жене,30-34,Брчко Дистрикт БиХ,3077
2013,Број,Жене,35-39,Брчко Дистрикт БиХ,2981
2013,Број,Жене,40-44,Брчко Дистрикт БиХ,3019
2013,Број,Жене,45-49,Брчко Дистрикт БиХ,3137
2013,Број,Жене,50-54,Брчко Дистрикт БиХ,3248
2013,Број,Жене,55-59,Брчко Дистрикт БиХ,2913
2013,Број,Жене,60-64,Брчко Дистрикт БиХ,2749
2013,Број,Жене,65-69,Брчко Дистрикт БиХ,2162
2013,Број,Жене,70-74,Брчко Дистрикт БиХ,1900
2013,Број,Жене,75-79,Брчко Дистрикт БиХ,1720
2013,Број,Жене,80-84,Брчко Дистрикт БиХ,887
2013,Број,Жене,85+,Брчко Дистрикт БиХ,383
2013,Број,Жене,Unknown,Брчко Дистрикт БиХ,0
2013,Број,Жене,Total,Брчко Дистрикт БиХ,42266
2013,Број,Жене,0-14,Брчко Дистрикт БиХ,6257
2013,Број,Жене,15-29,Брчко Дистрикт БиХ,7833
2013,Број,Жене,15-49,Брчко Дистрикт БиХ,20047
2013,Број,Жене,15-64,Брчко Дистрикт БиХ,28957
2013,Број,Жене,65+,Брчко Дистрикт БиХ,7052
2013,Број,Жене,75+,Брчко Дистрикт БиХ,2990
