Year,UNIT_MEASURE,school_year_end,Type_of_school,Spol,Value
2013,Broj,2019/2020,religion_schools,Oba spola,518
2013,Broj,2010/2011,vocational_schools,Oba spola,8154
2013,Broj,2011/2012,vocational_schools,Oba spola,9386
2013,Broj,2012/2013,vocational_schools,Oba spola,10331
2013,Broj,2013/2014,vocational_schools,Oba spola,10806
2013,Broj,2014/2015,vocational_schools,Oba spola,8890
2013,Broj,2015/2016,vocational_schools,Oba spola,7161
2013,Broj,2016/2017,vocational_schools,Oba spola,7260
2013,Broj,2017/2018,vocational_schools,Oba spola,7224
2013,Broj,2018/2019,vocational_schools,Oba spola,7018
2013,Broj,2019/2020,vocational_schools,Oba spola,7149
2013,Broj,2010/2011,high_schools_for_children_with_special_needs,Oba spola,99
2013,Broj,2011/2012,high_schools_for_children_with_special_needs,Oba spola,102
2013,Broj,2012/2013,high_schools_for_children_with_special_needs,Oba spola,112
2013,Broj,2013/2014,high_schools_for_children_with_special_needs,Oba spola,196
2013,Broj,2014/2015,high_schools_for_children_with_special_needs,Oba spola,123
2013,Broj,2015/2016,high_schools_for_children_with_special_needs,Oba spola,118
2013,Broj,2016/2017,high_schools_for_children_with_special_needs,Oba spola,103
2013,Broj,2017/2018,high_schools_for_children_with_special_needs,Oba spola,120
2013,Broj,2018/2019,high_schools_for_children_with_special_needs,Oba spola,134
2013,Broj,2019/2020,high_schools_for_children_with_special_needs,Oba spola,106
2013,Broj,2010/2011,_T,M,18022
2013,Broj,2011/2012,_T,M,18153
2013,Broj,2012/2013,_T,M,20895
2013,Broj,2013/2014,_T,M,22589
2013,Broj,2014/2015,_T,M,22230
2013,Broj,2015/2016,_T,M,18464
2013,Broj,2016/2017,_T,M,16307
2013,Broj,2017/2018,_T,M,16580
2013,Broj,2018/2019,_T,M,16519
2013,Broj,2019/2020,_T,M,15982
2013,Broj,2010/2011,gymnasium,M,3246
2013,Broj,2011/2012,gymnasium,M,3021
2013,Broj,2012/2013,gymnasium,M,3642
2013,Broj,2013/2014,gymnasium,M,3946
2013,Broj,2014/2015,gymnasium,M,4428
2013,Broj,2015/2016,gymnasium,M,3412
2013,Broj,2016/2017,gymnasium,M,2895
2013,Broj,2017/2018,gymnasium,M,2869
2013,Broj,2018/2019,gymnasium,M,2819
2013,Broj,2019/2020,gymnasium,M,2538
2013,Broj,2010/2011,technical_schools,M,8794
2013,Broj,2011/2012,technical_schools,M,8333
2013,Broj,2012/2013,technical_schools,M,9735
2013,Broj,2013/2014,technical_schools,M,10569
2013,Broj,2014/2015,technical_schools,M,10911
2013,Broj,2015/2016,technical_schools,M,9580
2013,Broj,2016/2017,technical_schools,M,7882
2013,Broj,2017/2018,technical_schools,M,8200
2013,Broj,2018/2019,technical_schools,M,8309
2013,Broj,2019/2020,technical_schools,M,7844
2013,Broj,2010/2011,art_schools,M,113
2013,Broj,2011/2012,art_schools,M,120
2013,Broj,2012/2013,art_schools,M,137
