Year,UNIT_MEASURE,Године,Пол,Value
2020,Број,120+,Оба пола,0.0
2020,Број,120+,Оба пола,0.0
2020,_%,Total,Оба пола,100.0
2020,_%,0-4,Оба пола,4.27
2020,_%,5-9,Оба пола,4.6
2020,_%,10-14,Оба пола,5.17
2020,_%,15-19,Оба пола,5.21
2020,_%,20-24,Оба пола,6.22
2020,_%,25-29,Оба пола,6.24
2020,_%,30-34,Оба пола,6.89
2020,_%,35-39,Оба пола,7.23
2020,_%,40-44,Оба пола,7.14
2020,_%,45-49,Оба пола,7.0
2020,_%,50-54,Оба пола,7.04
2020,_%,55-59,Оба пола,7.65
2020,_%,60-64,Оба пола,7.35
2020,_%,65-69,Оба пола,6.45
2020,_%,70-74,Оба пола,4.76
2020,_%,75-79,Оба пола,2.88
2020,_%,80-84,Оба пола,2.46
2020,_%,85-89,Оба пола,1.1
2020,_%,90-94,Оба пола,0.29
2020,_%,95-99,Оба пола,0.04
2020,_%,100-104,Оба пола,0.0
2020,_%,105-109,Оба пола,0.0
2020,_%,110-114,Оба пола,0.0
2020,_%,115-119,Оба пола,0.0
2020,_%,120+,Оба пола,0.0
2020,_%,0-14,Оба пола,481568.97
2020,_%,0-18,Оба пола,623310.55
2020,_%,15-29,Оба пола,606202.92
2020,_%,15-49,Оба пола,1575631.46
2020,_%,15-64,Оба пола,2331831.29
2020,_%,65+,Оба пола,616916.09
2020,_%,75+,Оба пола,232410.25
2020,_%,85+,Оба пола,49351.73
2020,_%,100+,Оба пола,178.44
2020,_%,0-14,Оба пола,14.04
2020,_%,0-18,Оба пола,18.17
2020,_%,15-29,Оба пола,17.67
2020,_%,15-49,Оба пола,45.93
2020,_%,15-64,Оба пола,67.98
2020,_%,65+,Оба пола,17.98
2020,_%,75+,Оба пола,6.78
2020,_%,85+,Оба пола,1.44
2020,_%,100+,Оба пола,0.01
2025,Број,0-4,Оба пола,3269526.46
2025,Број,5-9,Оба пола,133214.28
2025,Број,10-14,Оба пола,143022.18
2025,Број,15-19,Оба пола,155594.32
2025,Број,20-24,Оба пола,172127.24
2025,Број,25-29,Оба пола,159922.25
2025,Број,30-34,Оба пола,185213.08
2025,Број,35-39,Оба пола,194146.16
2025,Број,40-44,Оба пола,220196.28
2025,Број,45-49,Оба пола,234442.56
2025,Број,50-54,Оба пола,234797.14
2025,Број,55-59,Оба пола,232812.25
2025,Број,60-64,Оба пола,235373.58
2025,Број,65-69,Оба пола,254390.2
2025,Број,70-74,Оба пола,239195.16
2025,Број,75-79,Оба пола,199277.81
2025,Број,80-84,Оба пола,135243.77
2025,Број,85-89,Оба пола,71693.48
2025,Број,90-94,Оба пола,49591.19
2025,Број,95-99,Оба пола,16258.46
2025,Број,100-104,Оба пола,2799.11
2025,Број,105-109,Оба пола,202.64
2025,Број,110-114,Оба пола,12.8
2025,Број,115-119,Оба пола,0.52
2025,Број,120+,Оба пола,0.0
2025,Број,120+,Оба пола,0.0
2025,_%,Total,Оба пола,100.0
2025,_%,0-4,Оба пола,4.07
2025,_%,5-9,Оба пола,4.37
2025,_%,10-14,Оба пола,4.76
2025,_%,15-19,Оба пола,5.26
2025,_%,20-24,Оба пола,4.89
2025,_%,25-29,Оба пола,5.66
2025,_%,30-34,Оба пола,5.94
2025,_%,35-39,Оба пола,6.73
2025,_%,40-44,Оба пола,7.17
2025,_%,45-49,Оба пола,7.18
2025,_%,50-54,Оба пола,7.12
2025,_%,55-59,Оба пола,7.2
2025,_%,60-64,Оба пола,7.78
2025,_%,65-69,Оба пола,7.32
2025,_%,70-74,Оба пола,6.1
2025,_%,75-79,Оба пола,4.14
2025,_%,80-84,Оба пола,2.19
2025,_%,85-89,Оба пола,1.52
2025,_%,90-94,Оба пола,0.5
2025,_%,95-99,Оба пола,0.09
2025,_%,100-104,Оба пола,0.01
2025,_%,105-109,Оба пола,0.0
2025,_%,110-114,Оба пола,0.0
2025,_%,115-119,Оба пола,0.0
2025,_%,120+,Оба пола,0.0
2025,_%,0-14,Оба пола,431830.78
2025,_%,0-18,Оба пола,571030.0
2025,_%,15-29,Оба пола,517262.57
2025,_%,15-49,Оба пола,1400844.72
2025,_%,15-64,Оба пола,2123420.75
2025,_%,65+,Оба пола,714274.93
2025,_%,75+,Оба пола,275801.96
2025,_%,85+,Оба пола,68864.72
2025,_%,100+,Оба пола,215.96
2025,_%,0-14,Оба пола,13.21
2025,_%,0-18,Оба пола,17.47
2025,_%,15-29,Оба пола,15.82
2025,_%,15-49,Оба пола,42.85
2025,_%,15-64,Оба пола,64.95
2025,_%,65+,Оба пола,21.85
2025,_%,75+,Оба пола,8.44
2025,_%,85+,Оба пола,2.11
2025,_%,100+,Оба пола,0.01
2030,Број,0-4,Оба пола,3097083.89
2030,Број,5-9,Оба пола,116752.27
2030,Број,10-14,Оба пола,130006.74
2030,Број,15-19,Оба пола,140970.97
2030,Број,20-24,Оба пола,150812.87
2030,Број,25-29,Оба пола,153773.24
2030,Број,30-34,Оба пола,140117.63
2030,Број,35-39,Оба пола,168543.51
2030,Број,40-44,Оба пола,181561.56
2030,Број,45-49,Оба пола,208350.45
2030,Број,50-54,Оба пола,224334.48
2030,Број,55-59,Оба пола,227351.48
2030,Број,60-64,Оба пола,226900.62
2030,Број,65-69,Оба пола,228863.35
2030,Број,70-74,Оба пола,241691.71
2030,Број,75-79,Оба пола,216615.3
2030,Број,80-84,Оба пола,167173.09
2030,Број,85-89,Оба пола,101165.28
2030,Број,90-94,Оба пола,43898.43
2030,Број,95-99,Оба пола,22740.2
2030,Број,100-104,Оба пола,4932.37
2030,Број,105-109,Оба пола,508.74
2030,Број,110-114,Оба пола,19.01
2030,Број,115-119,Оба пола,0.55
2030,Број,120+,Оба пола,0.01
2030,Број,120+,Оба пола,0.0
2030,_%,Total,Оба пола,100.0
2030,_%,0-4,Оба пола,3.77
2030,_%,5-9,Оба пола,4.2
2030,_%,10-14,Оба пола,4.55
2030,_%,15-19,Оба пола,4.87
2030,_%,20-24,Оба пола,4.97
2030,_%,25-29,Оба пола,4.52
2030,_%,30-34,Оба пола,5.44
2030,_%,35-39,Оба пола,5.86
2030,_%,40-44,Оба пола,6.73
2030,_%,45-49,Оба пола,7.24
2030,_%,50-54,Оба пола,7.34
2030,_%,55-59,Оба пола,7.33
2030,_%,60-64,Оба пола,7.39
2030,_%,65-69,Оба пола,7.8
2030,_%,70-74,Оба пола,6.99
2030,_%,75-79,Оба пола,5.4
2030,_%,80-84,Оба пола,3.27
2030,_%,85-89,Оба пола,1.42
2030,_%,90-94,Оба пола,0.73
2030,_%,95-99,Оба пола,0.16
2030,_%,100-104,Оба пола,0.02
2030,_%,105-109,Оба пола,0.0
2030,_%,110-114,Оба пола,0.0
2030,_%,115-119,Оба пола,0.0
2030,_%,120+,Оба пола,0.0
2030,_%,0-14,Оба пола,387729.98
2030,_%,0-18,Оба пола,506903.59
2030,_%,15-29,Оба пола,444703.74
2030,_%,15-49,Оба пола,1227493.74
2030,_%,15-64,Оба пола,1910609.19
2030,_%,65+,Оба пола,798744.71
2030,_%,75+,Оба пола,340437.69
2030,_%,85+,Оба пола,72099.33
2030,_%,100+,Оба пола,528.31
2030,_%,0-14,Оба пола,12.52
2030,_%,0-18,Оба пола,16.37
2030,_%,15-29,Оба пола,14.36
2030,_%,15-49,Оба пола,39.63
2030,_%,15-64,Оба пола,61.69
2030,_%,65+,Оба пола,25.79
2030,_%,75+,Оба пола,10.99
2030,_%,85+,Оба пола,2.33
2030,_%,100+,Оба пола,0.02
2035,Број,0-4,Оба пола,2912260.0
2035,Број,5-9,Оба пола,102244.06
2035,Број,10-14,Оба пола,114005.81
2035,Број,15-19,Оба пола,128059.42
2035,Број,20-24,Оба пола,136697.61
2035,Број,25-29,Оба пола,134518.71
2035,Број,30-34,Оба пола,134077.44
2035,Број,35-39,Оба пола,128486.8
2035,Број,40-44,Оба пола,158064.08
2035,Број,45-49,Оба пола,172499.94
2035,Број,50-54,Оба пола,199585.08
2035,Број,55-59,Оба пола,217107.79
2035,Број,60-64,Оба пола,221477.68
2035,Број,65-69,Оба пола,220921.33
2035,Број,70-74,Оба пола,218471.04
2035,Број,75-79,Оба пола,220252.7
2035,Број,80-84,Оба пола,183860.06
2035,Број,85-89,Оба пола,127465.74
2035,Број,90-94,Оба пола,64773.18
2035,Број,95-99,Оба пола,21199.63
2035,Број,100-104,Оба пола,7449.97
2035,Број,105-109,Оба пола,986.55
2035,Број,110-114,Оба пола,54.44
2035,Број,115-119,Оба пола,0.93
2035,Број,120+,Оба пола,0.01
2035,Број,120+,Оба пола,0.0
2035,_%,Total,Оба пола,100.0
2035,_%,0-4,Оба пола,3.51
2035,_%,5-9,Оба пола,3.91
2035,_%,10-14,Оба пола,4.4
2035,_%,15-19,Оба пола,4.69
2035,_%,20-24,Оба пола,4.62
2035,_%,25-29,Оба пола,4.6
2035,_%,30-34,Оба пола,4.41
2035,_%,35-39,Оба пола,5.43
2035,_%,40-44,Оба пола,5.92
2035,_%,45-49,Оба пола,6.85
2035,_%,50-54,Оба пола,7.45
2035,_%,55-59,Оба пола,7.61
2035,_%,60-64,Оба пола,7.59
2035,_%,65-69,Оба пола,7.5
2035,_%,70-74,Оба пола,7.56
2035,_%,75-79,Оба пола,6.31
2035,_%,80-84,Оба пола,4.38
2035,_%,85-89,Оба пола,2.22
2035,_%,90-94,Оба пола,0.73
2035,_%,95-99,Оба пола,0.26
2035,_%,100-104,Оба пола,0.03
2035,_%,105-109,Оба пола,0.0
2035,_%,110-114,Оба пола,0.0
2035,_%,115-119,Оба пола,0.0
2035,_%,120+,Оба пола,0.0
2035,_%,0-14,Оба пола,344309.29
2035,_%,0-18,Оба пола,453686.83
2035,_%,15-29,Оба пола,405293.76
2035,_%,15-49,Оба пола,1063929.66
2035,_%,15-64,Оба пола,1723436.46
2035,_%,65+,Оба пола,844514.24
2035,_%,75+,Оба пола,405790.51
2035,_%,85+,Оба пола,94464.7
2035,_%,100+,Оба пола,1041.92
2035,_%,0-14,Оба пола,11.82
2035,_%,0-18,Оба пола,15.58
2035,_%,15-29,Оба пола,13.92
2035,_%,15-49,Оба пола,36.53
2035,_%,15-64,Оба пола,59.18
2035,_%,65+,Оба пола,29.0
2035,_%,75+,Оба пола,13.93
2035,_%,85+,Оба пола,3.24
2035,_%,100+,Оба пола,0.04
2040,Број,0-4,Оба пола,2717957.73
2040,Број,5-9,Оба пола,91336.91
2040,Број,10-14,Оба пола,99891.25
2040,Број,15-19,Оба пола,112358.89
2040,Број,20-24,Оба пола,124063.16
2040,Број,25-29,Оба пола,122059.02
2040,Број,30-34,Оба пола,117398.0
2040,Број,35-39,Оба пола,122407.36
2040,Број,40-44,Оба пола,121328.15
2040,Број,45-49,Оба пола,150501.48
2040,Број,50-54,Оба пола,165820.11
2040,Број,55-59,Оба пола,193411.4
2040,Број,60-64,Оба пола,211527.66
2040,Број,65-69,Оба пола,215748.85
2040,Број,70-74,Оба пола,211538.7
2040,Број,75-79,Оба пола,200469.86
2040,Број,80-84,Оба пола,188975.74
2040,Број,85-89,Оба пола,142668.75
2040,Број,90-94,Оба пола,84066.88
2040,Број,95-99,Оба пола,33265.31
2040,Број,100-104,Оба пола,7387.63
2040,Број,105-109,Оба пола,1615.38
2040,Број,110-114,Оба пола,114.33
2040,Број,115-119,Оба пола,2.88
2040,Број,120+,Оба пола,0.02
2040,Број,120+,Оба пола,0.0
2040,_%,Total,Оба пола,100.0
2040,_%,0-4,Оба пола,3.36
2040,_%,5-9,Оба пола,3.68
2040,_%,10-14,Оба пола,4.13
2040,_%,15-19,Оба пола,4.56
2040,_%,20-24,Оба пола,4.49
2040,_%,25-29,Оба пола,4.32
2040,_%,30-34,Оба пола,4.5
2040,_%,35-39,Оба пола,4.46
2040,_%,40-44,Оба пола,5.54
2040,_%,45-49,Оба пола,6.1
2040,_%,50-54,Оба пола,7.12
2040,_%,55-59,Оба пола,7.78
2040,_%,60-64,Оба пола,7.94
2040,_%,65-69,Оба пола,7.78
2040,_%,70-74,Оба пола,7.38
2040,_%,75-79,Оба пола,6.95
2040,_%,80-84,Оба пола,5.25
2040,_%,85-89,Оба пола,3.09
2040,_%,90-94,Оба пола,1.22
2040,_%,95-99,Оба пола,0.27
2040,_%,100-104,Оба пола,0.06
2040,_%,105-109,Оба пола,0.0
2040,_%,110-114,Оба пола,0.0
2040,_%,115-119,Оба пола,0.0
2040,_%,120+,Оба пола,0.0
2040,_%,0-14,Оба пола,303587.05
2040,_%,0-18,Оба пола,402365.82
2040,_%,15-29,Оба пола,363520.19
2040,_%,15-49,Оба пола,923577.29
2040,_%,15-64,Оба пола,1544265.21
2040,_%,65+,Оба пола,870105.47
2040,_%,75+,Оба пола,458096.91
2040,_%,85+,Оба пола,126452.43
2040,_%,100+,Оба пола,1732.61
2040,_%,0-14,Оба пола,11.17
2040,_%,0-18,Оба пола,14.8
2040,_%,15-29,Оба пола,13.37
2040,_%,15-49,Оба пола,33.98
2040,_%,15-64,Оба пола,56.82
2040,_%,65+,Оба пола,32.01
2040,_%,75+,Оба пола,16.85
2040,_%,85+,Оба пола,4.65
2040,_%,100+,Оба пола,0.06
2045,Број,0-4,Оба пола,2518462.83
2045,Број,5-9,Оба пола,83042.03
2045,Број,10-14,Оба пола,89240.14
2045,Број,15-19,Оба пола,98520.77
2045,Број,20-24,Оба пола,108917.66
2045,Број,25-29,Оба пола,110645.5
2045,Број,30-34,Оба пола,106449.13
2045,Број,35-39,Оба пола,107361.45
2045,Број,40-44,Оба пола,115245.68
2045,Број,45-49,Оба пола,116234.44
2045,Број,50-54,Оба пола,144978.36
2045,Број,55-59,Оба пола,161252.4
2045,Број,60-64,Оба пола,188794.86
2045,Број,65-69,Оба пола,206299.37
2045,Број,70-74,Оба пола,207053.68
2045,Број,75-79,Оба пола,195373.66
2045,Број,80-84,Оба пола,173872.43
2045,Број,85-89,Оба пола,149056.97
2045,Број,90-94,Оба пола,96646.71
2045,Број,95-99,Оба пола,45021.33
2045,Број,100-104,Оба пола,12538.01
2045,Број,105-109,Оба пола,1711.02
2045,Број,110-114,Оба пола,200.84
2045,Број,115-119,Оба пола,6.31
2045,Број,120+,Оба пола,0.07
2045,Број,120+,Оба пола,0.0
2045,_%,Total,Оба пола,100.0
2045,_%,0-4,Оба пола,3.3
2045,_%,5-9,Оба пола,3.54
2045,_%,10-14,Оба пола,3.91
2045,_%,15-19,Оба пола,4.32
2045,_%,20-24,Оба пола,4.39
2045,_%,25-29,Оба пола,4.23
2045,_%,30-34,Оба пола,4.26
2045,_%,35-39,Оба пола,4.58
2045,_%,40-44,Оба пола,4.62
2045,_%,45-49,Оба пола,5.76
2045,_%,50-54,Оба пола,6.4
2045,_%,55-59,Оба пола,7.5
2045,_%,60-64,Оба пола,8.19
2045,_%,65-69,Оба пола,8.22
2045,_%,70-74,Оба пола,7.76
2045,_%,75-79,Оба пола,6.9
2045,_%,80-84,Оба пола,5.92
2045,_%,85-89,Оба пола,3.84
2045,_%,90-94,Оба пола,1.79
2045,_%,95-99,Оба пола,0.5
2045,_%,100-104,Оба пола,0.07
2045,_%,105-109,Оба пола,0.01
2045,_%,110-114,Оба пола,0.0
2045,_%,115-119,Оба пола,0.0
2045,_%,120+,Оба пола,0.0
2045,_%,0-14,Оба пола,270802.94
2045,_%,0-18,Оба пола,357437.99
2045,_%,15-29,Оба пола,326012.29
2045,_%,15-49,Оба пола,809832.21
2045,_%,15-64,Оба пола,1366178.85
2045,_%,65+,Оба пола,881481.04
2045,_%,75+,Оба пола,479053.69
2045,_%,85+,Оба пола,156124.3
2045,_%,100+,Оба пола,1918.25
2045,_%,0-14,Оба пола,10.75
2045,_%,0-18,Оба пола,14.19
2045,_%,15-29,Оба пола,12.94
2045,_%,15-49,Оба пола,32.16
2045,_%,15-64,Оба пола,54.25
2045,_%,65+,Оба пола,35.0
2045,_%,75+,Оба пола,19.02
2045,_%,85+,Оба пола,6.2
2045,_%,100+,Оба пола,0.08
2050,Број,0-4,Оба пола,2318700.67
2050,Број,5-9,Оба пола,75514.93
2050,Број,10-14,Оба пола,81099.46
2050,Број,15-19,Оба пола,88026.53
2050,Број,20-24,Оба пола,95572.11
2050,Број,25-29,Оба пола,97216.95
2050,Број,30-34,Оба пола,96425.27
2050,Број,35-39,Оба пола,97256.87
2050,Број,40-44,Оба пола,101196.15
2050,Број,45-49,Оба пола,110159.11
2050,Број,50-54,Оба пола,112554.52
2050,Број,55-59,Оба пола,141282.64
2050,Број,60-64,Оба пола,157969.95
2050,Број,65-69,Оба пола,184596.6
2050,Број,70-74,Оба пола,198504.56
2050,Број,75-79,Оба пола,192220.98
2050,Број,80-84,Оба пола,171318.47
2050,Број,85-89,Оба пола,139313.82
2050,Број,90-94,Оба пола,103447.9
2050,Број,95-99,Оба пола,53718.05
2050,Број,100-104,Оба пола,17901.92
2050,Број,105-109,Оба пола,3167.19
2050,Број,110-114,Оба пола,225.0
2050,Број,115-119,Оба пола,11.52
2050,Број,120+,Оба пола,0.16
2050,Број,120+,Оба пола,0.0
2050,_%,Total,Оба пола,100.0
2050,_%,0-4,Оба пола,3.26
2050,_%,5-9,Оба пола,3.5
2050,_%,10-14,Оба пола,3.8
2050,_%,15-19,Оба пола,4.12
2050,_%,20-24,Оба пола,4.19
2050,_%,25-29,Оба пола,4.16
2050,_%,30-34,Оба пола,4.19
2050,_%,35-39,Оба пола,4.36
2050,_%,40-44,Оба пола,4.75
2050,_%,45-49,Оба пола,4.85
2050,_%,50-54,Оба пола,6.09
2050,_%,55-59,Оба пола,6.81
2050,_%,60-64,Оба пола,7.96
2050,_%,65-69,Оба пола,8.56
2050,_%,70-74,Оба пола,8.29
2050,_%,75-79,Оба пола,7.39
2050,_%,80-84,Оба пола,6.01
2050,_%,85-89,Оба пола,4.46
2050,_%,90-94,Оба пола,2.32
2050,_%,95-99,Оба пола,0.77
2050,_%,100-104,Оба пола,0.14
2050,_%,105-109,Оба пола,0.01
2050,_%,110-114,Оба пола,0.0
2050,_%,115-119,Оба пола,0.0
2050,_%,120+,Оба пола,0.0
2050,_%,0-14,Оба пола,244640.93
2050,_%,0-18,Оба пола,320688.38
2050,_%,15-29,Оба пола,289214.33
2050,_%,15-49,Оба пола,710380.99
2050,_%,15-64,Оба пола,1194230.17
2050,_%,65+,Оба пола,879829.57
2050,_%,75+,Оба пола,489104.03
2050,_%,85+,Оба пола,178471.74
2050,_%,100+,Оба пола,3403.87
2050,_%,0-14,Оба пола,10.55
2050,_%,0-18,Оба пола,13.83
2050,_%,15-29,Оба пола,12.47
2050,_%,15-49,Оба пола,30.64
2050,_%,15-64,Оба пола,51.5
2050,_%,65+,Оба пола,37.94
2050,_%,75+,Оба пола,21.09
2050,_%,85+,Оба пола,7.7
2050,_%,100+,Оба пола,0.15
2055,Број,0-4,Оба пола,2123402.2
2055,Број,5-9,Оба пола,68410.55
2055,Број,10-14,Оба пола,73713.6
2055,Број,15-19,Оба пола,79956.88
2055,Број,20-24,Оба пола,85408.87
2055,Број,25-29,Оба пола,85383.67
2055,Број,30-34,Оба пола,84817.37
2055,Број,35-39,Оба пола,88064.28
2055,Број,40-44,Оба пола,91625.61
2055,Број,45-49,Оба пола,96826.2
2055,Број,50-54,Оба пола,106488.77
2055,Број,55-59,Оба пола,110217.64
2055,Број,60-64,Оба пола,138705.65
2055,Број,65-69,Оба пола,155066.87
2055,Број,70-74,Оба пола,178225.37
2055,Број,75-79,Оба пола,185199.11
2055,Број,80-84,Оба пола,170022.4
2055,Број,85-89,Оба пола,139464.62
2055,Број,90-94,Оба пола,98824.03
2055,Број,95-99,Оба пола,59369.78
2055,Број,100-104,Оба пола,22362.5
2055,Број,105-109,Оба пола,4783.57
2055,Број,110-114,Оба пола,451.25
2055,Број,115-119,Оба пола,13.29
2055,Број,120+,Оба пола,0.3
2055,Број,120+,Оба пола,0.0
2055,_%,Total,Оба пола,100.0
2055,_%,0-4,Оба пола,3.22
2055,_%,5-9,Оба пола,3.47
2055,_%,10-14,Оба пола,3.77
2055,_%,15-19,Оба пола,4.02
2055,_%,20-24,Оба пола,4.02
2055,_%,25-29,Оба пола,3.99
2055,_%,30-34,Оба пола,4.15
2055,_%,35-39,Оба пола,4.32
2055,_%,40-44,Оба пола,4.56
2055,_%,45-49,Оба пола,5.02
2055,_%,50-54,Оба пола,5.19
2055,_%,55-59,Оба пола,6.53
2055,_%,60-64,Оба пола,7.3
2055,_%,65-69,Оба пола,8.39
2055,_%,70-74,Оба пола,8.72
2055,_%,75-79,Оба пола,8.01
2055,_%,80-84,Оба пола,6.57
2055,_%,85-89,Оба пола,4.65
2055,_%,90-94,Оба пола,2.8
2055,_%,95-99,Оба пола,1.05
2055,_%,100-104,Оба пола,0.23
2055,_%,105-109,Оба пола,0.02
2055,_%,110-114,Оба пола,0.0
2055,_%,115-119,Оба пола,0.0
2055,_%,120+,Оба пола,0.0
2055,_%,0-14,Оба пола,222081.03
2055,_%,0-18,Оба пола,290210.23
2055,_%,15-29,Оба пола,255609.91
2055,_%,15-49,Оба пола,638614.77
2055,_%,15-64,Оба пола,1042604.93
2055,_%,65+,Оба пола,858716.24
2055,_%,75+,Оба пола,495291.75
2055,_%,85+,Оба пола,185804.72
2055,_%,100+,Оба пола,5248.42
2055,_%,0-14,Оба пола,10.46
2055,_%,0-18,Оба пола,13.67
2055,_%,15-29,Оба пола,12.04
2055,_%,15-49,Оба пола,30.08
2055,_%,15-64,Оба пола,49.1
2055,_%,65+,Оба пола,40.44
2055,_%,75+,Оба пола,23.33
2055,_%,85+,Оба пола,8.75
2055,_%,100+,Оба пола,0.25
2060,Број,0-4,Оба пола,1935400.33
2060,Број,5-9,Оба пола,61553.67
2060,Број,10-14,Оба пола,66759.13
2060,Број,15-19,Оба пола,72642.52
2060,Број,20-24,Оба пола,77551.04
2060,Број,25-29,Оба пола,76336.43
2060,Број,30-34,Оба пола,74585.31
2060,Број,35-39,Оба пола,77549.33
2060,Број,40-44,Оба пола,82943.6
2060,Број,45-49,Оба пола,87649.69
2060,Број,50-54,Оба пола,93699.44
2060,Број,55-59,Оба пола,104160.04
2060,Број,60-64,Оба пола,108725.98
2060,Број,65-69,Оба пола,136471.03
2060,Број,70-74,Оба пола,150376.2
2060,Број,75-79,Оба пола,167059.03
2060,Број,80-84,Оба пола,165104.19
2060,Број,85-89,Оба пола,140113.55
2060,Број,90-94,Оба пола,101142.95
2060,Број,95-99,Оба пола,58310.55
2060,Број,100-104,Оба пола,25662.47
2060,Број,105-109,Оба пола,6262.16
2060,Број,110-114,Оба пола,713.62
2060,Број,115-119,Оба пола,28.05
2060,Број,120+,Оба пола,0.35
2060,Број,120+,Оба пола,0.0
2060,_%,Total,Оба пола,100.0
2060,_%,0-4,Оба пола,3.18
2060,_%,5-9,Оба пола,3.45
2060,_%,10-14,Оба пола,3.75
2060,_%,15-19,Оба пола,4.01
2060,_%,20-24,Оба пола,3.94
2060,_%,25-29,Оба пола,3.85
2060,_%,30-34,Оба пола,4.01
2060,_%,35-39,Оба пола,4.29
2060,_%,40-44,Оба пола,4.53
2060,_%,45-49,Оба пола,4.84
2060,_%,50-54,Оба пола,5.38
2060,_%,55-59,Оба пола,5.62
2060,_%,60-64,Оба пола,7.05
2060,_%,65-69,Оба пола,7.77
2060,_%,70-74,Оба пола,8.63
2060,_%,75-79,Оба пола,8.53
2060,_%,80-84,Оба пола,7.24
2060,_%,85-89,Оба пола,5.23
2060,_%,90-94,Оба пола,3.01
2060,_%,95-99,Оба пола,1.33
2060,_%,100-104,Оба пола,0.32
2060,_%,105-109,Оба пола,0.04
2060,_%,110-114,Оба пола,0.0
2060,_%,115-119,Оба пола,0.0
2060,_%,120+,Оба пола,0.0
2060,_%,0-14,Оба пола,200955.32
2060,_%,0-18,Оба пола,262861.39
2060,_%,15-29,Оба пола,228472.78
2060,_%,15-49,Оба пола,570314.83
2060,_%,15-64,Оба пола,919671.89
