Year,UNIT_MEASURE,Spol,Godine,Entitet,Value
2013,Broj,Oba spola ili bez podjele po spolu,50-54,Brčko Distrikt BiH,6573
2013,Broj,Oba spola ili bez podjele po spolu,55-59,Brčko Distrikt BiH,5775
2013,Broj,Oba spola ili bez podjele po spolu,60-64,Brčko Distrikt BiH,5148
2013,Broj,Oba spola ili bez podjele po spolu,65-69,Brčko Distrikt BiH,3908
2013,Broj,Oba spola ili bez podjele po spolu,70-74,Brčko Distrikt BiH,3359
2013,Broj,Oba spola ili bez podjele po spolu,75-79,Brčko Distrikt BiH,2863
2013,Broj,Oba spola ili bez podjele po spolu,80-84,Brčko Distrikt BiH,1400
2013,Broj,Oba spola ili bez podjele po spolu,85+,Brčko Distrikt BiH,606
2013,Broj,Oba spola ili bez podjele po spolu,Unknown,Brčko Distrikt BiH,0
2013,Broj,Oba spola ili bez podjele po spolu,Total,Brčko Distrikt BiH,83516
2013,Broj,Oba spola ili bez podjele po spolu,0-14,Brčko Distrikt BiH,13081
2013,Broj,Oba spola ili bez podjele po spolu,15-29,Brčko Distrikt BiH,15988
2013,Broj,Oba spola ili bez podjele po spolu,15-49,Brčko Distrikt BiH,40803
2013,Broj,Oba spola ili bez podjele po spolu,15-64,Brčko Distrikt BiH,58299
2013,Broj,Oba spola ili bez podjele po spolu,65+,Brčko Distrikt BiH,12136
2013,Broj,Oba spola ili bez podjele po spolu,75+,Brčko Distrikt BiH,4869
2013,Broj,Muškarci,0-4,Brčko Distrikt BiH,2178
2013,Broj,Muškarci,5-9,Brčko Distrikt BiH,2235
2013,Broj,Muškarci,10-14,Brčko Distrikt BiH,2411
2013,Broj,Muškarci,15-19,Brčko Distrikt BiH,2719
2013,Broj,Muškarci,20-24,Brčko Distrikt BiH,2528
2013,Broj,Muškarci,25-29,Brčko Distrikt BiH,2908
2013,Broj,Muškarci,30-34,Brčko Distrikt BiH,2914
2013,Broj,Muškarci,35-39,Brčko Distrikt BiH,3125
2013,Broj,Muškarci,40-44,Brčko Distrikt BiH,3126
2013,Broj,Muškarci,45-49,Brčko Distrikt BiH,3436
2013,Broj,Muškarci,50-54,Brčko Distrikt BiH,3325
2013,Broj,Muškarci,55-59,Brčko Distrikt BiH,2862
2013,Broj,Muškarci,60-64,Brčko Distrikt BiH,2399
2013,Broj,Muškarci,65-69,Brčko Distrikt BiH,1746
2013,Broj,Muškarci,70-74,Brčko Distrikt BiH,1459
2013,Broj,Muškarci,75-79,Brčko Distrikt BiH,1143
2013,Broj,Muškarci,80-84,Brčko Distrikt BiH,513
2013,Broj,Muškarci,85+,Brčko Distrikt BiH,223
2013,Broj,Muškarci,Unknown,Brčko Distrikt BiH,0
2013,Broj,Muškarci,Total,Brčko Distrikt BiH,41250
2013,Broj,Muškarci,0-14,Brčko Distrikt BiH,6824
2013,Broj,Muškarci,15-29,Brčko Distrikt BiH,8155
2013,Broj,Muškarci,15-49,Brčko Distrikt BiH,20756
2013,Broj,Muškarci,15-64,Brčko Distrikt BiH,29342
2013,Broj,Muškarci,65+,Brčko Distrikt BiH,5084
2013,Broj,Muškarci,75+,Brčko Distrikt BiH,1879
2013,Broj,Žene,0-4,Brčko Distrikt BiH,1987
2013,Broj,Žene,5-9,Brčko Distrikt BiH,2077
2013,Broj,Žene,10-14,Brčko Distrikt BiH,2193
2013,Broj,Žene,15-19,Brčko Distrikt BiH,2604
2013,Broj,Žene,20-24,Brčko Distrikt BiH,2408
2013,Broj,Žene,25-29,Brčko Distrikt BiH,2821
2013,Broj,Žene,30-34,Brčko Distrikt BiH,3077
2013,Broj,Žene,35-39,Brčko Distrikt BiH,2981
2013,Broj,Žene,40-44,Brčko Distrikt BiH,3019
2013,Broj,Žene,45-49,Brčko Distrikt BiH,3137
2013,Broj,Žene,50-54,Brčko Distrikt BiH,3248
