Year,UNIT_MEASURE,Municipality,Spol,Godine,Value
2013,Broj,Ljubuški,Oba spola,Total,28184
2013,Broj,Ljubuški,Muškarci,Total,14022
2013,Broj,Ljubuški,Žene,Total,14162
2013,Broj,Maglaj,Oba spola,Total,23146
2013,Broj,Maglaj,Muškarci,Total,11430
2013,Broj,Maglaj,Žene,Total,11716
2013,Broj,Milići,Oba spola,Total,11441
2013,Broj,Milići,Muškarci,Total,5798
2013,Broj,Milići,Žene,Total,5643
2013,Broj,Modriča,Oba spola,Total,25720
2013,Broj,Modriča,Muškarci,Total,12561
2013,Broj,Modriča,Žene,Total,13159
2013,Broj,Mostar,Oba spola,Total,105797
2013,Broj,Mostar,Muškarci,Total,51210
2013,Broj,Mostar,Žene,Total,54587
2013,Broj,Mrkonjić Grad,Oba spola,Total,16671
2013,Broj,Mrkonjić Grad,Muškarci,Total,8096
2013,Broj,Mrkonjić Grad,Žene,Total,8575
2013,Broj,Neum,Oba spola,Total,4653
2013,Broj,Neum,Muškarci,Total,2344
2013,Broj,Neum,Žene,Total,2309
2013,Broj,Nevesinje,Oba spola,Total,12961
2013,Broj,Nevesinje,Muškarci,Total,6462
2013,Broj,Nevesinje,Žene,Total,6499
2013,Broj,Novi Grad,Oba spola,Total,27115
2013,Broj,Novi Grad,Muškarci,Total,13594
2013,Broj,Novi Grad,Žene,Total,13521
2013,Broj,Sarajevo - Novi Grad,Oba spola,Total,118553
2013,Broj,Sarajevo - Novi Grad,Muškarci,Total,55735
2013,Broj,Sarajevo - Novi Grad,Žene,Total,62818
2013,Broj,Novi Travnik,Oba spola,Total,23832
2013,Broj,Novi Travnik,Muškarci,Total,11862
2013,Broj,Novi Travnik,Žene,Total,11970
2013,Broj,Novo Goražde,Oba spola,Total,3117
2013,Broj,Novo Goražde,Muškarci,Total,1618
2013,Broj,Novo Goražde,Žene,Total,1499
2013,Broj,Sarajevo - Novo Sarajevo,Oba spola,Total,64814
2013,Broj,Sarajevo - Novo Sarajevo,Muškarci,Total,29580
2013,Broj,Sarajevo - Novo Sarajevo,Žene,Total,35234
2013,Broj,Odžak,Oba spola,Total,18821
2013,Broj,Odžak,Muškarci,Total,9373
2013,Broj,Odžak,Žene,Total,9448
2013,Broj,Olovo,Oba spola,Total,10175
2013,Broj,Olovo,Muškarci,Total,5084
2013,Broj,Olovo,Žene,Total,5091
2013,Broj,Orašje,Oba spola,Total,19861
2013,Broj,Orašje,Muškarci,Total,10059
2013,Broj,Orašje,Žene,Total,9802
2013,Broj,Osmaci,Oba spola,Total,6016
2013,Broj,Osmaci,Muškarci,Total,3065
2013,Broj,Osmaci,Žene,Total,2951
2013,Broj,Oštra Luka,Oba spola,Total,2786
2013,Broj,Oštra Luka,Muškarci,Total,1440
2013,Broj,Oštra Luka,Žene,Total,1346
2013,Broj,Pale - FBiH,Oba spola,Total,904
2013,Broj,Pale - FBiH,Muškarci,Total,456
2013,Broj,Pale - FBiH,Žene,Total,448
2013,Broj,Pale - RS,Oba spola,Total,20909
2013,Broj,Pale - RS,Muškarci,Total,10038
2013,Broj,Pale - RS,Žene,Total,10871
2013,Broj,Pelagićevo,Oba spola,Total,5220
2013,Broj,Pelagićevo,Muškarci,Total,2609
2013,Broj,Pelagićevo,Žene,Total,2611
2013,Broj,Petrovac,Oba spola,Total,361
2013,Broj,Petrovac,Muškarci,Total,172
2013,Broj,Petrovac,Žene,Total,189
2013,Broj,Petrovo,Oba spola,Total,6474
2013,Broj,Petrovo,Muškarci,Total,3124
2013,Broj,Petrovo,Žene,Total,3350
2013,Broj,Posušje,Oba spola,Total,20477
2013,Broj,Posušje,Muškarci,Total,10287
2013,Broj,Posušje,Žene,Total,10190
2013,Broj,Prijedor,Oba spola,Total,89397
2013,Broj,Prijedor,Muškarci,Total,43863
2013,Broj,Prijedor,Žene,Total,45534
2013,Broj,Prnjavor,Oba spola,Total,35956
2013,Broj,Prnjavor,Muškarci,Total,17572
2013,Broj,Prnjavor,Žene,Total,18384
2013,Broj,Prozor,Oba spola,Total,14280
2013,Broj,Prozor,Muškarci,Total,7210
2013,Broj,Prozor,Žene,Total,7070
2013,Broj,Ravno,Oba spola,Total,3219
2013,Broj,Ravno,Muškarci,Total,1657
2013,Broj,Ravno,Žene,Total,1562
2013,Broj,Ribnik,Oba spola,Total,6048
2013,Broj,Ribnik,Muškarci,Total,3009
2013,Broj,Ribnik,Žene,Total,3039
2013,Broj,Rogatica,Oba spola,Total,10723
2013,Broj,Rogatica,Muškarci,Total,5270
2013,Broj,Rogatica,Žene,Total,5453
2013,Broj,Rudo,Oba spola,Total,7963
2013,Broj,Rudo,Muškarci,Total,4050
2013,Broj,Rudo,Žene,Total,3913
2013,Broj,Sanski Most,Oba spola,Total,41475
2013,Broj,Sanski Most,Muškarci,Total,20826
2013,Broj,Sanski Most,Žene,Total,20649
2013,Broj,Sapna,Oba spola,Total,11178
2013,Broj,Sapna,Muškarci,Total,5739
2013,Broj,Sapna,Žene,Total,5439
2013,Broj,Sokolac,Oba spola,Total,12021
2013,Broj,Sokolac,Muškarci,Total,5919
2013,Broj,Sokolac,Žene,Total,6102
2013,Broj,Srbac,Oba spola,Total,17587
2013,Broj,Srbac,Muškarci,Total,8623
2013,Broj,Srbac,Žene,Total,8964
2013,Broj,Srebrenica,Oba spola,Total,13409
2013,Broj,Srebrenica,Muškarci,Total,6602
2013,Broj,Srebrenica,Žene,Total,6807
2013,Broj,Srebrenik,Oba spola,Total,39678
2013,Broj,Srebrenik,Muškarci,Total,19348
2013,Broj,Srebrenik,Žene,Total,20330
2013,Broj,Sarajevo - Stari Grad,Oba spola,Total,36976
2013,Broj,Sarajevo - Stari Grad,Muškarci,Total,17482
2013,Broj,Sarajevo - Stari Grad,Žene,Total,19494
2013,Broj,Stolac,Oba spola,Total,14502
2013,Broj,Stolac,Muškarci,Total,7326
2013,Broj,Stolac,Žene,Total,7176
2013,Broj,Šamac,Oba spola,Total,17273
2013,Broj,Šamac,Muškarci,Total,8385
2013,Broj,Šamac,Žene,Total,8888
2013,Broj,Šekovići,Oba spola,Total,6761
2013,Broj,Šekovići,Muškarci,Total,3360
2013,Broj,Šekovići,Žene,Total,3401
2013,Broj,Šipovo,Oba spola,Total,10293
2013,Broj,Šipovo,Muškarci,Total,5221
2013,Broj,Šipovo,Žene,Total,5072
2013,Broj,Široki Brijeg,Oba spola,Total,28929
2013,Broj,Široki Brijeg,Muškarci,Total,14381
2013,Broj,Široki Brijeg,Žene,Total,14548
2013,Broj,Teočak,Oba spola,Total,7424
